cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573618082,1573618086,0,0,0,0.1765246,0.000060335,0.42715,0.000051962,-1.290416,0.000238076
1,1573618129,1573618133,1,0,0,0.098541,0.000020579,0.254008,0.000034928,-0.828076,0.000176153
2,1573618153,1573618157,2,0,0,0.050914,0.000009592,0.135099,0.000007,-0.497472,0.000030332
3,1573618171,1573618175,3,0,0,0.021861,0.000008602,0.0629324,0.000002408,-0.290808,0.000044385
4,1573618198,1573618202,4,0,0,0.0044392,0.000009391,0.0228624,0.000016349,-0.1738286,0.000059773
5,1573618208,1573618212,5,0,0,-0.0045308,0.000005586,0.0044882,0.000006611,-0.1176492,0.000090009
6,1573618217,1573618221,6,0,0,-0.0094954,0.000016697,-0.0045922,0.000010616,-0.0861302,0.000072019
7,1573618226,1573618230,7,0,0,-0.0109222,0.000003564,-0.0094522,0.000001789,-0.0652478,0.000006099
8,1573618236,1573618240,8,0,0,-0.0077174,0.000001517,-0.0146488,0.00000228,-0.0387656,0.000008019
9,1573618245,1573618249,9,0,0,-0.002386,0.000006164,-0.0301302,0.000001924,0.0027612,0.00001152
10,1573618255,1573618259,10,0,0,-0.0103688,0.00000497,-0.1199542,0.000002049,-0.0755838,0.00001064
11,1573618266,1573618270,11,0,0,-0.013201,0.000004637,-0.1561594,0.000002302,-0.1957796,0.00000305
12,1573618276,1573618280,12,0,0,-0.0156874,0.000005857,-0.026302,0.000002,-0.1667612,0.000001304
13,1573618286,1573618290,13,0,0,-0.013003,0.000001581,0.009107,0.000014089,-0.1505194,0.000005857
14,1573618296,1573618300,14,0,0,-0.0040806,0.000006107,0.0229472,0.000012578,-0.1512404,0.000016906
15,1573618306,1573618310,15,0,0,0.0030586,0.000003507,0.037681,0.000004183,-0.1674908,0.000008983
16,1573618315,1573618319,16,0,0,-0.0025548,0.000042482,0.1123132,0.000014923,-0.110832,0.000038942
17,1573618324,1573618328,17,0,0,-0.002033,0.000000707,0.1926644,0.000009127,0.0154852,0.000010257
18,1573618333,1573618337,18,0,0,0.0008936,0.000010922,0.0675242,0.00000228,-0.021503,0.000009354
19,1573618343,1573618347,19,0,0,0.00208,0.000008,0.0223216,0.000002302,-0.0615326,0.000003847
20,1573618352,1573618356,20,0,0,0.0018048,0.000000837,0.0117632,0.000003768,-0.0920432,0.000011009
21,1573618361,1573618365,21,0,0,0.000018,0.000007176,0.0065404,0.000003578,-0.1349466,0.00000658
22,1573618371,1573618375,22,0,0,-0.005571,0.000020445,0.0027952,0.000002683,-0.214928,0.000008367
23,1573618381,1573618385,23,0,0,-0.0187312,0.00004851,-0.0001958,0.000001643,-0.367466,0.000015166
24,1573618390,1573618394,24,0,0,-0.0393856,0.00016036,-0.0003488,0.000008106,-0.592438,0.000046583
25,1573618399,1573618403,25,0,0,-0.0776144,0.000304287,0.0123154,0.00000493,-1.024194,0.000076026
26,1573618408,1573618412,26,0,0,-0.1406006,0.000151333,0.084622,0.000007714,-1.821184,0.000083546
27,1573618417,1573618421,27,0,0,-0.202666,0.000362257,0.27174,0.000023452,-2.73862,0.000044721
28,1573618429,1573618433,28,0,0,-0.274936,0.000228976,0.770608,0.001257406,-3.8197,0.002442335
29,1573618439,1573618443,29,0,0,-0.338844,0.000101637,1.483668,0.000023875,-4.42342,0.000130384
