cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573618604.66794,1573618608.65574,0,0,0,0.196804,0.000107145,0.455164,0.000026077,-1.384776,0.000108536
1,1573618615.78346,1573618619.77223,1,0,0,0.108565,0.000086804,0.268518,0.000017889,-0.882746,0.000121573
2,1573618625.88123,1573618629.86908,2,0,0,0.0559618,0.000019357,0.1409946,0.00002318,-0.525206,0.000035777
3,1573618637.09214,1573618641.08006,3,0,0,0.0241912,0.000033026,0.0639372,0.000107495,-0.30236,0.000279016
4,1573618646.93344,1573618650.9215,4,0,0,0.006644,0.000006285,0.0242778,0.00000295,-0.1863,0.00001
5,1573618656.03292,1573618660.02154,5,0,0,-0.0026834,0.000012779,0.005129,0.000007071,-0.1296626,0.0000177
6,1573618666.7744,1573618670.76238,6,0,0,-0.007738,0.000015953,-0.004702,0.000028098,-0.1005708,0.000107931
7,1573618679.61348,1573618683.60197,7,0,0,-0.007417,0.000004,-0.008198,0.000008775,-0.0919756,0.000021466
8,1573618688.74124,1573618692.73235,8,0,0,0.0026046,0.000001342,-0.0080384,0.000000548,-0.0927962,0.000007014
9,1573618698.05011,1573618702.03816,9,0,0,0.0328904,0.00000862,-0.0045404,0.00000114,-0.0986278,0.000004207
10,1573618706.94184,1573618710.93047,10,0,0,0.064086,0.000004,0.0049476,0.00000493,-0.1006376,0.000013777
11,1573618716.77517,1573618720.76265,11,0,0,0.048551,0.000005523,0.0133178,0.000034208,-0.090381,0.000014816
12,1573618726.38866,1573618730.37912,12,0,0,0.034617,0.000002,0.0118796,0.000012012,-0.0904758,0.000005119
13,1573618735.42419,1573618739.41181,13,0,0,0.0356448,0.000005263,0.0123032,0.000002864,-0.0952902,0.000003962
14,1573618744.80381,1573618748.79149,14,0,0,0.0549746,0.000003507,0.0246308,0.000003421,-0.0831526,0.000011194
15,1573618754.48079,1573618758.46882,15,0,0,0.0763862,0.000004147,0.028538,0.000008337,-0.0638156,0.000010991
16,1573618764.14263,1573618768.13219,16,0,0,0.0677622,0.000101127,0.0092774,0.000080581,-0.0601956,0.00005937
17,1573618773.88207,1573618777.87132,17,0,0,0.0287152,0.000109894,-0.018588,0.0000788,-0.0911756,0.000026595
18,1573618784.29977,1573618788.28742,18,0,0,0.0127652,0.000047552,0.0002666,0.000064717,-0.0916716,0.000006309
19,1573618795.14172,1573618799.12991,19,0,0,0.0062008,0.000011777,0.0078544,0.000005899,-0.0946972,0.000014202
20,1573618803.76557,1573618807.75494,20,0,0,0.0034044,0.000029997,0.0079364,0.000017672,-0.107804,0.000229517
21,1573618814.06602,1573618818.05517,21,0,0,0.0002004,0.000028112,0.0058004,0.000005505,-0.1422254,0.000031973
22,1573618824.19527,1573618828.18424,22,0,0,-0.0057838,0.000117259,0.0030614,0.000030924,-0.21214,0.000669216
23,1573618835.5721,1573618839.56005,23,0,0,-0.0188104,0.000307171,0.0001736,0.000039475,-0.350836,0.002522901
24,1573618846.05354,1573618850.04148,24,0,0,-0.0432746,0.000234983,-0.0005756,0.000079251,-0.605574,0.00297532
25,1573618856.52602,1573618860.51421,25,0,0,-0.08649,0.000233092,0.0140102,0.000182901,-1.083658,0.001359768
26,1573618866.55974,1573618870.5504,26,0,0,-0.1401854,0.000208439,0.0714718,0.000281248,-1.74748,0.001377044
27,1573618881.875,1573618885.86439,27,0,0,-0.210706,0.000227772,0.267018,0.0000502,-2.75484,0.000240832
28,1573618891.25543,1573618895.24354,28,0,0,-0.2869,0.000059161,0.76184,0.00009083,-3.83724,0.000207364
29,1573618901.54864,1573618905.53729,29,0,0,-0.3549,0.000196596,1.522744,0.000050299,-4.47524,0.000766812
