cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573620306.02741,1573620310.01623,0,0,0,0.1790736,0.000068697,0.443376,0.000019494,-1.296088,0.000076616
1,1573620315.18781,1573620319.17731,1,0,0,0.1004912,0.000208589,0.266048,0.000119038,-0.836494,0.00031477
2,1573620326.25332,1573620330.24193,2,0,0,0.0512622,0.000064247,0.1411346,0.000305651,-0.500084,0.000344137
3,1573620335.04526,1573620339.03425,3,0,0,0.0223782,0.000037212,0.0678766,0.000017213,-0.298056,0.000057706
4,1573620343.9817,1573620347.97231,4,0,0,0.0049958,0.000013755,0.0271288,0.000012194,-0.183748,0.000014832
5,1573620353.48648,1573620357.47508,5,0,0,-0.0048998,0.00001078,0.0066632,0.000004817,-0.125944,0.000023759
6,1573620363.8558,1573620367.84478,6,0,0,-0.010869,0.000005431,-0.0030794,0.000005857,-0.0982982,0.000021626
7,1573620374.36055,1573620378.35108,7,0,0,-0.014163,0.000002739,-0.0070028,0.000001924,-0.0885906,0.000005177
8,1573620384.44567,1573620388.43518,8,0,0,-0.0156134,0.000001517,-0.0074818,0.000003834,-0.0870328,0.000004868
9,1573620392.81721,1573620396.80453,9,0,0,-0.0152864,0.000003782,-0.0049902,0.000007791,-0.0882702,0.000019829
10,1573620402.62236,1573620406.61058,10,0,0,-0.0135286,0.000003507,-0.0015734,0.00000305,-0.0892794,0.000008649
11,1573620412.45016,1573620416.43844,11,0,0,-0.0111246,0.000003362,0.001436,0.000002,-0.0893834,0.000007668
12,1573620422.17176,1573620426.16197,12,0,0,-0.0085704,0.000003782,0.0036552,0.000004324,-0.088572,0.00000505
13,1573620430.43537,1573620434.42322,13,0,0,-0.0058406,0.000002408,0.0050324,0.000004506,-0.0872062,0.000013791
14,1573620439.66481,1573620443.65361,14,0,0,-0.0031054,0.000002302,0.0059022,0.000002168,-0.0855908,0.000008289
15,1573620447.93263,1573620451.92065,15,0,0,-0.0007898,0.000005933,0.0067878,0.000001924,-0.0839054,0.000004775
16,1573620455.8471,1573620459.83538,16,0,0,0.000849,0.000001414,0.0079426,0.000001517,-0.082306,0.000007211
17,1573620464.653,1573620468.64188,17,0,0,0.0019586,0.000000894,0.0094238,0.000001924,-0.0811042,0.000003194
18,1573620473.02488,1573620477.01302,18,0,0,0.002408,0.000009138,0.010441,0.000003606,-0.0819928,0.000009654
19,1573620481.50836,1573620485.49548,19,0,0,0.0021936,0.000026226,0.0101894,0.000004099,-0.0872036,0.000065056
20,1573620490.4681,1573620494.4565,20,0,0,0.00114,0.000006042,0.008438,0.000003536,-0.103338,0.000017219
21,1573620499.28062,1573620503.27026,21,0,0,-0.0012676,0.000015915,0.0058358,0.000005975,-0.137277,0.000016263
22,1573620508.03729,1573620512.02461,22,0,0,-0.0069688,0.000030793,0.0030796,0.000005505,-0.204692,0.000014832
23,1573620517.50952,1573620521.49919,23,0,0,-0.0206374,0.000088565,0.0003468,0.000013142,-0.345766,0.000016733
24,1573620525.65393,1573620529.64193,24,0,0,-0.046114,0.00005212,0.0002,0.000021897,-0.597024,0.000023022
25,1573620534.40183,1573620538.39028,25,0,0,-0.0898826,0.000224615,0.0141894,0.000085833,-1.037944,0.000073689
26,1573620542.59325,1573620546.58173,26,0,0,-0.1550774,0.000108645,0.0782494,0.000133553,-1.750936,0.00006269
27,1573620550.49711,1573620554.48741,27,0,0,-0.235288,0.000135351,0.280278,0.000055408,-2.7443,0
28,1573620559.122,1573620563.11187,28,0,0,-0.319208,0.000143422,0.74344,0.000176352,-3.75112,0.000334664
29,1573620567.09731,1573620571.0845,29,0,0,-0.40675,0.000374166,1.523444,0.000157099,-4.40738,0.000923038
