Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573713109.32728,1573713113.32784,-2,-1.1,-5,-0.018102,0.000003536,-0.0139078,0.000003271,-0.1372646,0.000013297
1,1573713124.86014,1573713128.86123,-2,-1.1,-6,-0.0161296,0.000004037,-0.0106108,0.00000502,-0.1113676,0.000035487
2,1573713153.66955,1573713157.67048,-2,-1.1,-7,-0.0132368,0.000001924,-0.0062122,0.000001924,-0.1063054,0.000005128
3,1573713165.7823,1573713169.78318,-2,-1.1,-8,-0.0075564,0.000002302,0.0020798,0.000001643,-0.1161728,0.000006979
4,1573713176.23487,1573713180.23449,-2,-1.1,-9,-0.000758,0.000008216,0.0222368,0.000001483,-0.1340518,0.00000531
5,1573713187.07824,1573713191.0788,-2,-1.1,-10,-0.0058676,0.000003782,0.0702414,0.000001817,-0.112827,0.00001032
6,1573713199.30345,1573713203.30559,-2,-1.1,-11,-0.0104326,0.000005413,0.1135544,0.000002966,-0.0448084,0.000038585
7,1573713211.51372,1573713215.51503,-2,-1.1,-12,-0.0067892,0.000002864,0.0700276,0.000003647,-0.0287082,0.000015881
8,1573713232.01987,1573713236.01971,-2,-1.1,-13,-0.0025682,0.000003633,0.0329998,0.000003114,-0.0295906,0.000007987
9,1573713242.50647,1573713246.50769,-2,-1.1,-14,-0.001259,0.00001032,0.0089234,0.000009555,-0.0270156,0.000049501
10,1573713253.60978,1573713257.61165,-2,-1.1,-15,-0.0041796,0.000002302,-0.0164688,0.000000837,-0.0238454,0.000010991
11,1573713264.44716,1573713268.44649,-2,-1.1,-16,-0.0123056,0.000004159,-0.0585214,0.000003975,-0.053209,0.000005788
12,1573713274.12618,1573713278.12717,-2,-1.1,-17,-0.0098068,0.000002683,-0.0914108,0.00000502,-0.1142108,0.000013027
13,1573713284.65146,1573713288.65325,-2,-1.1,-18,-0.002245,0.000001,-0.0500952,0.000002864,-0.1186588,0.000007855
14,1573713295.60551,1573713299.60554,-2,-1.1,-19,0.0052974,0.000007127,-0.0129914,0.000003715,-0.1082662,0.00002545
15,1573713306.03386,1573713310.03453,-2,-1.1,-20,0.0133538,0.000001924,0.0002238,0.00000249,-0.1121368,0.000001095
16,1573713317.84858,1573713321.84985,-2,-1.1,-21,0.024914,0.000001414,0.0062086,0.000000548,-0.13643,0.000008093
17,1573713330.02793,1573713334.02795,-2,-1.1,-22,0.045095,0.000004301,0.0118848,0.000001483,-0.1984316,0.000003286
18,1573713342.8386,1573713346.83857,-2,-1.1,-23,0.0757074,0.000007436,0.0206044,0.000004775,-0.314236,0.000081425
19,1573713354.51266,1573713358.51448,-2,-1.1,-24,0.1250612,0.000006099,0.0397222,0.000002387,-0.544908,0.000108028
20,1573713498.54911,1573713502.54963,0,-1.1,-5,-0.005938,0.000054005,-0.0151534,0.000041125,-0.1357916,0.000572715
21,1573713525.66355,1573713529.66508,0,-1.1,-6,-0.01304,0.000000707,-0.0117,0.000003162,-0.1085556,0.000032114
22,1573713537.36681,1573713541.36779,0,-1.1,-7,-0.0175388,0.000002775,-0.0069662,0.000002387,-0.104591,0.000014509
23,1573713552.75899,1573713556.75939,0,-1.1,-8,-0.0208254,0.000006189,0.0011124,0.000002074,-0.1156036,0.000036267
24,1573713566.15377,1573713570.15492,0,-1.1,-9,-0.024188,0.000008426,0.0211232,0.000003633,-0.134132,0.000072522
25,1573713577.24153,1573713581.24229,0,-1.1,-10,-0.0217116,0.000001342,0.06586,0.000003162,-0.1154238,0.000007259
26,1573713591.38644,1573713595.38659,0,-1.1,-11,-0.0126324,0.000002074,0.1082372,0.00000228,-0.0441036,0.000016087
27,1573713603.86164,1573713607.86374,0,-1.1,-12,-0.0080724,0.000002074,0.0680022,0.000001304,-0.0316528,0.000014636
28,1573713617.82853,1573713621.82886,0,-1.1,-13,-0.006037,0.000003536,0.0319456,0.000002608,-0.0319858,0.000015073
29,1573713630.46659,1573713634.46884,0,-1.1,-14,-0.0047374,0.000003578,0.0112132,0.000001483,-0.0274128,0.00000795
30,1573713642.88352,1573713646.88443,0,-1.1,-15,-0.001024,0.000005148,-0.013934,0.000008216,-0.024017,0.000022814
31,1573713654.18554,1573713658.18582,0,-1.1,-16,0.004052,0.000019925,-0.0535148,0.00000295,-0.0499468,0.000042582
32,1573713667.20204,1573713671.20389,0,-1.1,-17,0.0042086,0.000025851,-0.090653,0.000000707,-0.1144972,0.000055599
33,1573713681.28706,1573713685.28688,0,-1.1,-18,0.0031624,0.000003362,-0.0528876,0.000001342,-0.1216104,0.000026463
34,1573713693.68482,1573713697.68581,0,-1.1,-19,0.0022438,0.000003194,-0.0121514,0.000016349,-0.110858,0.000037762
35,1573713705.80335,1573713709.80358,0,-1.1,-20,0.0010568,0.000007085,0.0009262,0.000003701,-0.1150936,0.000015323
36,1573713718.16601,1573713722.16582,0,-1.1,-21,-0.0016608,0.000001095,0.007415,0.000001414,-0.1436142,0.000006058
37,1573713730.27284,1573713734.27427,0,-1.1,-22,-0.0075634,0.000004037,0.0129704,0.00000555,-0.206306,0.000020736
38,1573713742.29403,1573713746.29359,0,-1.1,-23,-0.0200986,0.000001342,0.0223562,0.000001643,-0.327988,0.000017889
39,1573713753.32745,1573713757.32765,0,-1.1,-24,-0.0454654,0.000199618,0.0424204,0.000042846,-0.56166,0.000666146
40,1573713925.28881,1573713929.28857,2,-1.1,-5,0.0040472,0.00001858,-0.0161572,0.000041415,-0.121605,0.000077795
41,1573713941.3836,1573713945.38413,2,-1.1,-6,-0.0116314,0.000001517,-0.012478,0.000003536,-0.1002196,0.000008142
42,1573713951.86267,1573713955.86337,2,-1.1,-7,-0.023443,0.000023206,-0.0079052,0.000022577,-0.0992386,0.000052133
43,1573713961.72496,1573713965.72536,2,-1.1,-8,-0.0343948,0.000001304,-0.0010616,0.000001517,-0.1114162,0.000012558
44,1573713973.50171,1573713977.50309,2,-1.1,-9,-0.0454922,0.000004712,0.0162662,0.000026167,-0.1304182,0.000020753
45,1573713986.16824,1573713990.16976,2,-1.1,-10,-0.037709,0.000022011,0.0558554,0.000056092,-0.1180154,0.000041693
46,1573713998.23137,1573714002.23294,2,-1.1,-11,-0.0186148,0.000011628,0.1001056,0.000001673,-0.0549732,0.000045285
47,1573714010.07372,1573714014.07444,2,-1.1,-12,-0.0140556,0.00000251,0.067081,0.000027704,-0.0359316,0.000005367
48,1573714020.75204,1573714024.75222,2,-1.1,-13,-0.0125626,0.00000251,0.034275,0.000009301,-0.0337876,0.000027826
49,1573714031.65977,1573714035.66041,2,-1.1,-14,-0.0086596,0.000009762,0.0099702,0.000037238,-0.029818,0.000054447
50,1573714052.15663,1573714056.15706,2,-1.1,-15,0.0043418,0.000001304,-0.0202548,0.000002387,-0.0296602,0.000007662
51,1573714062.68699,1573714066.68963,2,-1.1,-16,0.0208688,0.000033252,-0.0624208,0.000190631,-0.0635556,0.000251998
52,1573714073.15632,1573714077.15659,2,-1.1,-17,0.0176788,0.000009628,-0.0860124,0.000009889,-0.1159988,0.000047426
53,1573714085.09637,1573714089.09766,2,-1.1,-18,0.007955,0.000003536,-0.040596,0.000036558,-0.118242,0.000094242
54,1573714096.42646,1573714100.42865,2,-1.1,-19,-0.000525,0.000008124,-0.0086492,0.000013664,-0.1085526,0.000003975
55,1573714108.04342,1573714112.04381,2,-1.1,-20,-0.009974,0.000044435,0.0026692,0.000035926,-0.1118288,0.000149767
56,1573714120.08487,1573714124.08579,2,-1.1,-21,-0.027055,0.000011,0.0082826,0.00000251,-0.13817,0.000006519
57,1573714147.31963,1573714151.32116,2,-1.1,-22,-0.0589106,0.000040655,0.0135978,0.00000743,-0.1988044,0.000086984
58,1573714157.90259,1573714161.90401,2,-1.1,-23,-0.1113618,0.000160289,0.0220262,0.000017079,-0.306132,0.000172685
59,1573714172.05053,1573714176.05169,2,-1.1,-24,-0.203234,0.00014639,0.0392778,0.000020584,-0.509016,0.000345297
