Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573708156.65603,1573708160.65605,-3,0,-5,-0.0233146,0.000006618,0.0058696,0.000022996,-0.1231836,0.000087412
1,1573708167.31261,1573708171.31254,-3,0,-6,-0.0196566,0.000002608,-0.0030366,0.000002881,-0.0968778,0.000022399
2,1573708177.8495,1573708181.84962,-3,0,-7,-0.0175278,0.000002168,-0.0074344,0.000007701,-0.0870072,0.00000996
3,1573708188.02479,1573708192.02591,-3,0,-8,-0.0159224,0.000006504,-0.0081994,0.000003209,-0.0852344,0.000007503
4,1573708198.38235,1573708202.38259,-3,0,-9,-0.0142128,0.000001924,-0.005924,0.000002121,-0.085673,0.000007517
5,1573708208.50554,1573708212.50713,-3,0,-10,-0.0123922,0.000005805,-0.0024908,0.000003421,-0.0858922,0.000012538
6,1573708219.52745,1573708223.52768,-3,0,-11,-0.0103292,0.000010569,0.00082,0.000008337,-0.0854432,0.000032568
7,1573708231.52676,1573708235.52757,-3,0,-12,-0.0079836,0.000006841,0.0032342,0.000005933,-0.084398,0.00001745
8,1573708245.90315,1573708249.90403,-3,0,-13,-0.0053374,0.000001949,0.0044428,0.000002049,-0.0829032,0.000015944
9,1573708256.69325,1573708260.69282,-3,0,-14,-0.0023492,0.000001924,0.0047862,0.000002168,-0.081206,0.000002121
10,1573708268.80265,1573708272.80433,-3,0,-15,0.0009902,0.000001789,0.0049754,0.000001342,-0.0794988,0.000021277
11,1573708278.64139,1573708282.64261,-3,0,-16,0.0036362,0.00000295,0.0055322,0.000002775,-0.0783776,0.000012219
12,1573708301.61486,1573708305.61483,-3,0,-17,0.0065568,0.000004266,0.0068678,0.000003271,-0.0775182,0.000003493
13,1573708310.98369,1573708314.98372,-3,0,-18,0.010104,0.000003937,0.008198,0.000002,-0.0781652,0.000016843
14,1573708321.76578,1573708325.76825,-3,0,-19,0.0157984,0.000003782,0.0085392,0.000002387,-0.0828648,0.000008228
15,1573708332.94801,1573708336.94884,-3,0,-20,0.0264868,0.000111802,0.0075272,0.000018185,-0.0967192,0.000203695
16,1573708346.65612,1573708350.65628,-3,0,-21,0.0437466,0.000024735,0.005668,0.000002,-0.1236234,0.000041156
17,1573708358.06077,1573708362.06214,-3,0,-22,0.0794158,0.000033915,0.0024594,0.000007232,-0.1870014,0.000014502
18,1573708367.33319,1573708371.33297,-3,0,-23,0.1410794,0.000224039,-0.0020236,0.000015307,-0.311374,0.000256866
19,1573708379.0779,1573708383.07832,-3,0,-24,0.240396,0.000684164,-0.0087864,0.000973551,-0.550258,0.003048938
20,1573708604.1974,1573708608.19836,-1,0,-5,-0.0111768,0.00000614,0.0065158,0.000013065,-0.1288288,0.000042787
