Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573711505.0788,1573711509.08025,0,-1.1,-5,-0.0071186,0.000025735,-0.0155256,0.000017994,-0.1312436,0.000026369
1,1573711516.87352,1573711520.87517,0,-1.1,-6,-0.0130066,0.000007765,-0.0128032,0.00000295,-0.0996902,0.000003033
2,1573711528.81052,1573711532.81174,0,-1.1,-7,-0.0163506,0.000002408,-0.010169,0.000002121,-0.08631,0.000002345
3,1573711538.42431,1573711542.42378,0,-1.1,-8,-0.0172592,0.000002387,-0.008049,0.000003162,-0.0834188,0.000011077
4,1573711547.90603,1573711551.90601,0,-1.1,-9,-0.0164874,0.000002966,-0.0054378,0.000003768,-0.0840654,0.000005128
5,1573711558.142,1573711562.14202,0,-1.1,-10,-0.0145928,0.000005805,-0.002649,0.000003317,-0.0853426,0.00001717
6,1573711569.55281,1573711573.55344,0,-1.1,-11,-0.0120108,0.000001304,0.000171,0.000002915,-0.0862558,0.000003114
7,1573711580.88923,1573711584.88896,0,-1.1,-12,-0.0095554,0.000002191,0.002174,0.000002345,-0.0861804,0.000005683
8,1573711592.15124,1573711596.15143,0,-1.1,-13,-0.0072838,0.000001304,0.0033008,0.000002775,-0.0853166,0.00000945
9,1573711602.16575,1573711606.16607,0,-1.1,-14,-0.0049704,0.000016517,0.0039198,0.000003633,-0.08377,0.000018371
10,1573711614.17678,1573711618.17656,0,-1.1,-15,-0.0029014,0.000001817,0.0044944,0.000001342,-0.0819068,0.00000614
11,1573711624.77032,1573711628.77055,0,-1.1,-16,-0.001093,0.000005099,0.0054048,0.000002168,-0.0799822,0.000014738
12,1573711640.24192,1573711644.24226,0,-1.1,-17,0.000094,0.000042332,0.006614,0.000015764,-0.0787772,0.000082887
13,1573711651.92901,1573711655.9289,0,-1.1,-18,0.0006928,0.000006419,0.0076202,0.00000249,-0.079354,0.00000995
14,1573711665.25436,1573711669.25633,0,-1.1,-19,0.0007432,0.000008075,0.0085098,0.000001095,-0.0841892,0.000010035
15,1573711676.03387,1573711680.03369,0,-1.1,-20,-0.0001278,0.000004382,0.009252,0.000001871,-0.0988208,0.000012418
16,1573711689.24089,1573711693.24215,0,-1.1,-21,-0.002523,0.000019196,0.010749,0.000018561,-0.1297754,0.000049283
17,1573711715.25129,1573711719.25042,0,-1.1,-22,-0.0081622,0.000155646,0.0144724,0.000119676,-0.1875612,0.000107339
18,1573711726.93404,1573711730.93602,0,-1.1,-23,-0.020276,0.000050438,0.0237812,0.000044308,-0.300066,0.000061887
19,1573711737.71414,1573711741.71363,0,-1.1,-24,-0.0474172,0.000832302,0.0438772,0.001079166,-0.528802,0.00045472
20,1573711977.25779,1573711981.25838,2,-1.1,-5,0.005845,0.000011467,-0.0163538,0.000032391,-0.1183064,0.000052391
21,1573711989.8435,1573711993.84472,2,-1.1,-6,-0.0069794,0.00000114,-0.0134802,0.000001924,-0.092678,0.000011554
22,1573712003.64019,1573712007.6397,2,-1.1,-7,-0.0146618,0.000003834,-0.0108304,0.000001517,-0.0832866,0.000007829
23,1573712015.65073,1573712019.65143,2,-1.1,-8,-0.0178982,0.000001304,-0.0090904,0.000001949,-0.0827024,0.000003782
24,1573712026.98571,1573712030.9882,2,-1.1,-9,-0.0176156,0.000002608,-0.0073272,0.000005675,-0.0854868,0.000006301
25,1573712038.15039,1573712042.15122,2,-1.1,-10,-0.0151042,0.000000447,-0.0051744,0.00000114,-0.0882832,0.000002864
26,1573712049.97432,1573712053.97426,2,-1.1,-11,-0.0118696,0.000002074,-0.0026818,0.000001304,-0.0897388,0.000005215
27,1573712061.34619,1573712065.34675,2,-1.1,-12,-0.0091376,0.000001517,-0.0005182,0.000000837,-0.0896806,0.000001673
28,1573712072.59878,1573712076.59974,2,-1.1,-13,-0.0066904,0.000002074,0.001118,0.000001581,-0.088668,0.00000324
29,1573712085.43374,1573712089.43459,2,-1.1,-14,-0.00428,0.000008832,0.0025608,0.000001304,-0.0870634,0.000020948
30,1573712097.28836,1573712101.28913,2,-1.1,-15,-0.0022576,0.00000251,0.0041682,0.00000295,-0.0851276,0.000026444
31,1573712111.19964,1573712115.19997,2,-1.1,-16,-0.0008134,0.00000114,0.0060666,0.000003362,-0.0828074,0.000007829
32,1573712124.87996,1573712128.88209,2,-1.1,-17,-0.000422,0.000001,0.0077572,0.000004147,-0.0812292,0.000007791
33,1573712137.69197,1573712141.69293,2,-1.1,-18,-0.0014582,0.000002387,0.009177,0.000004301,-0.0812308,0.000019639
34,1573712151.69808,1573712155.69852,2,-1.1,-19,-0.0049738,0.000002775,0.01005,0.000002828,-0.0854474,0.000006189
35,1573712162.59445,1573712166.59693,2,-1.1,-20,-0.0123902,0.000003114,0.010591,0.000003162,-0.0982842,0.000013084
36,1573712174.59745,1573712178.59886,2,-1.1,-21,-0.027718,0.000000707,0.0118704,0.000002966,-0.1281492,0.000011777
37,1573712186.45829,1573712190.45832,2,-1.1,-22,-0.0577136,0.000004159,0.0159332,0.000001924,-0.1871372,0.00001033
38,1573712198.01422,1573712202.01481,2,-1.1,-23,-0.1119966,0.000007925,0.0249706,0.000001817,-0.29584,0.000027386
39,1573712209.3478,1573712213.34847,2,-1.1,-24,-0.210114,0.000070922,0.0452126,0.000015884,-0.505668,0.000052631
