cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573854604.55612,1573854606.67599,0,0,-5,-0.012137,0.000007874,-0.0013432,0.000003194,-0.1374088,0.000020765
1,1573854613.97634,1573854615.64429,0,0,-6,-0.017623,0.00001373,-0.0029946,0.000009317,-0.1119976,0.000095401
2,1573854620.84935,1573854622.51638,0,0,-7,-0.0211116,0.000004393,-0.0019476,0.000005413,-0.1064654,0.000009762
3,1573854627.0023,1573854628.6701,0,0,-8,-0.0224912,0.000004324,0.001638,0.000005657,-0.1158436,0.000009127
4,1573854633.78693,1573854635.45411,0,0,-9,-0.0236098,0.000020055,0.0138028,0.000006907,-0.143198,0.00000911
5,1573854639.93205,1573854641.59899,0,0,-10,-0.0196546,0.000023244,0.0465746,0.000006269,-0.1697318,0.000004868
6,1573854645.72028,1573854647.38716,0,0,-11,-0.0047114,0.000013278,0.1471628,0.000032889,-0.0773908,0.00003621
7,1573854651.26441,1573854652.93196,0,0,-12,-0.0004258,0.000005805,0.1381476,0.000012341,-0.0267286,0.000007701
8,1573854657.26141,1573854658.92802,0,0,-13,-0.0020798,0.000004438,0.0847772,0.00000563,-0.014324,0.000011554
9,1573854663.84413,1573854665.5112,0,0,-14,0.00015,0.000009899,0.0592102,0.000008585,0.0234916,0.000018008
10,1573854670.03992,1573854671.70614,0,0,-15,0.0063436,0.000009072,-0.010291,0.00000255,0.031147,0.000007517
11,1573854676.95788,1573854678.62371,0,0,-16,0.0095076,0.000008173,-0.1252752,0.000009985,-0.0824478,0.000007563
12,1573854683.66007,1573854685.32608,0,0,-17,0.0026478,0.000005215,-0.126537,0.000004062,-0.1572052,0.000003834
13,1573854689.63353,1573854691.30042,0,0,-18,-0.0008756,0.000004506,-0.0311902,0.000003347,-0.1254362,0.000006535
14,1573854695.25793,1573854696.9245,0,0,-19,-0.0035006,0.00000862,-0.0016746,0.000006148,-0.1075036,0.000016979
15,1573854702.50107,1573854704.16691,0,0,-20,-0.0067408,0.000011189,0.0058992,0.000001643,-0.109028,0.000008216
16,1573854708.72804,1573854710.39449,0,0,-21,-0.011643,0.000015984,0.0066882,0.000001789,-0.132693,0.000006819
17,1573854715.06649,1573854716.73329,0,0,-22,-0.021422,0.000022305,0.0058262,0.00001071,-0.1894378,0.000014721
18,1573854720.85456,1573854722.95956,0,0,-23,-0.0424322,0.000123686,0.0049406,0.000009397,-0.30532,0.000014142
19,1573854726.76908,1573854728.43508,0,0,-24,-0.0888042,0.000081263,0.0061128,0.000008319,-0.53937,0.00015248
