cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573855007.43452,1573855009.55449,0,0,-5,-0.0136584,0.000077777,-0.0030616,0.000049627,-0.1267968,0.000493339
1,1573855016.10993,1573855017.77629,0,0,-6,-0.019004,0.000003536,-0.0052344,0.00000114,-0.0984706,0.000016532
2,1573855022.80379,1573855024.47159,0,0,-7,-0.0190002,0.000000837,-0.0052404,0.00000114,-0.0984952,0.000003834
4,1573855072.74207,1573855074.40726,0,0,-8,-0.0299238,0.000001304,-0.004027,0.000001,-0.0860988,0.00000712
5,1573855079.84335,1573855081.51009,0,0,-9,-0.0464144,0.000000894,-0.001128,0.000000707,-0.0889708,0.000005263
6,1573855088.69583,1573855090.36356,0,0,-10,-0.0817694,0.000002302,0.0031256,0.00000114,-0.093994,0.000003391
7,1573855096.87314,1573855098.54049,0,0,-11,-0.0947018,0.000004087,0.0104624,0.000008989,-0.1011858,0.000024015
8,1573855103.49149,1573855105.1591,0,0,-12,-0.091757,0.000004123,0.0329726,0.00000555,-0.0948916,0.000008385
9,1573855110.98497,1573855112.65097,0,0,-13,-0.0866414,0.000001817,0.0461744,0.000003578,-0.079561,0.000001871
10,1573855117.33604,1573855119.00305,0,0,-14,-0.0766704,0.00000251,0.051936,0.000000707,-0.0527322,0.000003834
11,1573855123.75376,1573855125.41968,0,0,-15,-0.063762,0.000001,0.0293828,0.000001095,-0.0366478,0.000020813
12,1573855129.85883,1573855131.5237,0,0,-16,-0.035674,0.000002449,-0.0286638,0.000001924,-0.0813584,0.00000929
13,1573855136.66177,1573855138.32906,0,0,-17,-0.0123508,0.000001924,-0.0268498,0.000002387,-0.0990754,0.000004219
14,1573855144.51148,1573855146.17887,0,0,-18,-0.0044178,0.000003564,-0.0009536,0.000001673,-0.0920552,0.000015139
15,1573855153.78638,1573855155.45371,0,0,-19,-0.0026922,0.000002168,0.0057558,0.000002775,-0.0935636,0.000008325
16,1573855162.38551,1573855164.0521,0,0,-20,-0.004705,0.000001871,0.006277,0.000002646,-0.1101682,0.000005933
17,1573855170.53189,1573855172.19914,0,0,-21,-0.0102596,0.000002608,0.004599,0.000003674,-0.1478036,0.000011524
18,1573855176.90486,1573855179.00964,0,0,-22,-0.0235382,0.000003421,0.0025432,0.000001789,-0.228972,0.000008367
19,1573855183.66954,1573855185.33573,0,0,-23,-0.0477118,0.000011122,0.0011914,0.000003647,-0.364808,0.000031145
20,1573855190.36847,1573855192.03562,0,0,-24,-0.0960678,0.000051085,0.0025044,0.000018555,-0.626412,0.000220273
