cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573855946.23679,1573855948.35634,0,0,-5,-0.0121928,0.000009311,-0.00223,0.000022226,-0.1276918,0.000189509
1,1573855954.33736,1573855956.00324,0,0,-6,-0.0174328,0.000002683,-0.005395,0.000002,-0.094145,0.000015652
2,1573855961.71121,1573855963.37751,0,0,-7,-0.0201376,0.000000548,-0.0063066,0.000002074,-0.0787002,0.000006017
3,1573855968.66978,1573855970.33602,0,0,-8,-0.02076,0.000001581,-0.006661,0.000001,-0.0708566,0.000006066
4,1573855975.45683,1573855977.12169,0,0,-9,-0.0188326,0.00000114,-0.008448,0.000001225,-0.0626632,0.000008758
5,1573855981.65667,1573855983.32425,0,0,-10,-0.0166512,0.000001483,-0.0195814,0.000002408,-0.0585792,0.00000507
6,1573855988.57055,1573855990.23865,0,0,-11,-0.0279546,0.000000548,-0.0604838,0.000002775,-0.127781,0.00002053
7,1573855995.12636,1573855996.79432,0,0,-12,-0.0373646,0.000002408,-0.0115184,0.000004506,-0.123773,0.000001581
8,1573856001.5792,1573856003.24669,0,0,-13,-0.0373878,0.000001789,0.0422882,0.000002168,-0.0744394,0.000006025
9,1573856008.26135,1573856009.92763,0,0,-14,-0.0351074,0.000001342,0.0190826,0.000001817,-0.0718942,0.000006181
10,1573856014.95838,1573856016.62658,0,0,-15,-0.0327196,0.00000114,0.0065196,0.00000114,-0.0842218,0.000005357
11,1573856021.5211,1573856023.18823,0,0,-16,-0.021934,0.000001581,0.0112336,0.00000114,-0.0877068,0.000003271
12,1573856028.53002,1573856030.19622,0,0,-17,-0.0079048,0.000001095,0.0342486,0.000002074,-0.0627884,0.000005225
13,1573856035.5302,1573856037.19576,0,0,-18,-0.002744,0.000001,0.0172612,0.00000249,-0.066692,0.000008093
14,1573856042.13722,1573856043.80497,0,0,-19,-0.0019442,0.000001924,0.0095846,0.00000114,-0.075722,0.000019118
15,1573856049.68626,1573856051.35316,0,0,-20,-0.0038974,0.000005177,0.0055812,0.000004087,-0.094408,0.000039224
16,1573856056.80407,1573856058.47054,0,0,-21,-0.0084842,0.000010569,0.0024384,0.000000894,-0.1287222,0.000035372
17,1573856062.98862,1573856064.65547,0,0,-22,-0.0185332,0.000013293,-0.000559,0.000003674,-0.1960324,0.00002281
18,1573856070.50001,1573856072.60555,0,0,-23,-0.0387104,0.000010455,-0.0032658,0.000002168,-0.32037,0.000069282
19,1573856077.32204,1573856078.98765,0,0,-24,-0.0755322,0.000034888,-0.0049398,0.00000563,-0.544654,0.00012818
