cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573845884.6236,1573845886.74379,0,0,-5,-0.0081038,0.000003114,-0.0018918,0.000004087,-0.1415372,0.000010378
1,1573845893.51771,1573845895.18547,0,0,-6,-0.014012,0.000001414,-0.0060456,0.00000114,-0.11397,0.000001225
2,1573845901.28282,1573845902.94987,0,0,-7,-0.018547,0.000007778,-0.006377,0.000001,-0.1090104,0.000019295
3,1573845909.2341,1573845910.90109,0,0,-8,-0.0217482,0.000008438,-0.00233,0.000002236,-0.1224472,0.00000638
4,1573845917.31016,1573845918.97778,0,0,-9,-0.0263052,0.000015675,0.0137836,0.00000114,-0.1559728,0.000005541
5,1573845924.19705,1573845925.86414,0,0,-10,-0.0230596,0.000002302,0.0654636,0.000005595,-0.158959,0.00001631
6,1573845930.92259,1573845932.58976,0,0,-11,-0.0104814,0.000003362,0.1643258,0.00000295,-0.0254644,0.000003847
7,1573845937.72777,1573845939.39481,0,0,-12,-0.0052502,0.000000837,0.0772332,0.000002683,-0.0203228,0.000004712
8,1573845944.22865,1573845945.89589,0,0,-13,-0.0054278,0.000013065,0.0375798,0.000003701,-0.028334,0.000003674
9,1573845951.99236,1573845953.6603,0,0,-14,-0.007757,0.000001732,0.0216458,0.000003701,-0.0224072,0.000002588
10,1573845958.49404,1573845960.16059,0,0,-15,-0.0072528,0.000007259,0.0009424,0.000055012,-0.0080696,0.000027282
11,1573845964.8834,1573845966.55033,0,0,-16,0.0009064,0.000005225,-0.044535,0.000005099,-0.0163624,0.000005273
12,1573845971.20644,1573845972.87289,0,0,-17,0.0040922,0.000013882,-0.132861,0.0000151,-0.1353992,0.000019741
13,1573845977.98861,1573845979.6549,0,0,-18,0.0023552,0.000004382,-0.0685468,0.000018349,-0.145086,0.000002739
14,1573845983.82204,1573845985.48943,0,0,-19,0.0007734,0.000001673,-0.0135724,0.000003847,-0.12222,0.000003162
15,1573845991.4515,1573845993.11973,0,0,-20,-0.0016364,0.000008503,0.0024036,0.00002447,-0.1183466,0.000028754
16,1573845998.56146,1573846000.22933,0,0,-21,-0.005851,0.000008456,0.0053494,0.00000114,-0.1400472,0.000005167
17,1573846005.137,1573846006.80346,0,0,-22,-0.014308,0.000041122,0.0046506,0.000005128,-0.1966814,0.00001009
18,1573846012.02405,1573846014.12981,0,0,-23,-0.0311382,0.000070549,0.0030506,0.000006229,-0.307056,0.000011402
19,1573846019.34935,1573846021.01631,0,0,-24,-0.0642994,0.000018823,0.0021034,0.00000929,-0.519172,0.00005933
