cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573846516.6727,1573846518.79297,0,0,-5,-0.0108352,0.000003962,-0.0019004,0.000003209,-0.1346086,0.000012582
1,1573846523.96785,1573846525.63609,0,0,-6,-0.0172608,0.000012438,-0.00562,0.000006671,-0.1016438,0.000024448
2,1573846530.42416,1573846532.09142,0,0,-7,-0.0234122,0.000008044,-0.0069476,0.000008989,-0.0859188,0.000005167
3,1573846537.00662,1573846538.67326,0,0,-8,-0.034106,0.000002345,-0.007337,0.000001414,-0.0780028,0.000002168
4,1573846543.41791,1573846545.08361,0,0,-9,-0.0547696,0.000007956,-0.008709,0.000006205,-0.0712188,0.000020825
5,1573846550.06632,1573846551.73334,0,0,-10,-0.0828278,0.000000837,-0.0209052,0.000010849,-0.0754768,0.000015057
6,1573846556.11348,1573846557.78135,0,0,-11,-0.07363,0.000003391,-0.0388444,0.000005771,-0.1139476,0.000007403
7,1573846562.65948,1573846564.32595,0,0,-12,-0.0571928,0.000008815,-0.0063942,0.000006907,-0.1093374,0.000035739
8,1573846569.65071,1573846571.31717,0,0,-13,-0.0473828,0.000012215,0.015595,0.000008093,-0.0912932,0.00001737
9,1573846575.91265,1573846577.57986,0,0,-14,-0.0515036,0.000003435,0.0165178,0.000004438,-0.0792962,0.00000719
10,1573846583.14138,1573846584.8087,0,0,-15,-0.0616486,0.000002302,0.0072044,0.000002074,-0.0780138,0.000008136
11,1573846589.72457,1573846591.39134,0,0,-16,-0.056108,0.000002345,0.0028216,0.000006504,-0.0790534,0.000004722
12,1573846597.79932,1573846599.46632,0,0,-17,-0.0263148,0.000000447,0.0000158,0.000019842,-0.0841656,0.000017729
13,1573846603.94329,1573846605.60809,0,0,-18,-0.009552,0.000001,0.0064698,0.000004324,-0.0819678,0.000003033
14,1573846611.00827,1573846612.67516,0,0,-19,-0.0045308,0.00000249,0.0092242,0.000002683,-0.0839448,0.000008438
15,1573846617.49369,1573846619.16136,0,0,-20,-0.0043206,0.000022546,0.0086104,0.000032516,-0.0954244,0.00037713
16,1573846624.29767,1573846625.96426,0,0,-21,-0.0077456,0.000011971,0.006367,0.000001225,-0.12647,0.000008456
17,1573846632.61091,1573846634.27763,0,0,-22,-0.0154068,0.00000795,0.0040812,0.000001304,-0.1819062,0.000023994
18,1573846638.90912,1573846641.01434,0,0,-23,-0.0341232,0.000039582,0.001561,0.000006042,-0.301628,0.000027749
19,1573846647.2655,1573846648.93299,0,0,-24,-0.0696244,0.000069226,0.0000482,0.000005495,-0.519632,0.00017254
