cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573846981.61338,1573846983.7319,0,0,-5,-0.010647,0.000012748,-0.00178,0.000004301,-0.134352,0.000012021
1,1573846988.82867,1573846990.49479,0,0,-6,-0.0156734,0.000010644,-0.0054054,0.000028307,-0.1029332,0.000058298
2,1573846996.0285,1573846997.69568,0,0,-7,-0.0185732,0.000001643,-0.0064012,0.000000837,-0.0892866,0.000003209
3,1573847002.71537,1573847004.3822,0,0,-8,-0.019288,0.000001,-0.0056446,0.000001673,-0.0862084,0.00000503
4,1573847009.55795,1573847011.22484,0,0,-9,-0.0183232,0.000001924,-0.0034346,0.000000894,-0.0869278,0.000012235
5,1573847015.62076,1573847017.28675,0,0,-10,-0.0163792,0.000002683,-0.0006154,0.000003715,-0.087969,0.000011937
6,1573847022.10665,1573847023.77485,0,0,-11,-0.0136722,0.000003114,0.0023132,0.00000719,-0.0883804,0.00001753
7,1573847030.3824,1573847032.04958,0,0,-12,-0.0108402,0.000001095,0.0045224,0.000001517,-0.0878734,0.00000498
8,1573847036.55639,1573847038.22175,0,0,-13,-0.0082284,0.000004336,0.0057236,0.000003209,-0.0866692,0.000012398
9,1573847042.73002,1573847044.396,0,0,-14,-0.0053528,0.000003114,0.0064046,0.000001517,-0.0848498,0.000005404
10,1573847048.52558,1573847050.19253,0,0,-15,-0.002961,0.000001414,0.006945,0.00000255,-0.0828614,0.00000555
11,1573847055.10736,1573847056.77445,0,0,-16,-0.001026,0.000002,0.0077592,0.000001483,-0.08073,0.000005339
12,1573847062.10442,1573847063.77101,0,0,-17,0.0000708,0.00000687,0.0087566,0.000003578,-0.0789698,0.000097323
13,1573847069.62116,1573847071.28832,0,0,-18,0.0002342,0.000001789,0.0094118,0.000001789,-0.0792026,0.000004037
14,1573847076.02446,1573847077.69295,0,0,-19,-0.0007312,0.00000249,0.0091488,0.000002387,-0.0835402,0.000005762
15,1573847083.40687,1573847085.07395,0,0,-20,-0.0031082,0.000007463,0.0076358,0.000002864,-0.0969538,0.000001643
16,1573847090.33038,1573847091.99824,0,0,-21,-0.0082938,0.000043367,0.005015,0.000008337,-0.1299906,0.00016387
17,1573847097.15052,1573847098.81584,0,0,-22,-0.0184472,0.000029794,0.002422,0.000003536,-0.1912734,0.000004506
18,1573847104.52662,1573847106.63084,0,0,-23,-0.0409114,0.000034085,-0.000408,0.000003162,-0.316602,0.000008367
19,1573847111.73861,1573847113.40636,0,0,-24,-0.0831774,0.000377384,-0.0018958,0.000130078,-0.54395,0.000461898
