cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574123948,1574123951,0,0,-5,-0.0081814,0.000171398,-0.0009034,0.000197178,-0.1334916,0.000199663
1,1574123962,1574123964,0,0,-5.5,-0.0110948,0.000001924,-0.0022454,0.000002608,-0.1139306,0.00000695
2,1574123970,1574123972,0,0,-6,-0.0137486,0.000172409,-0.0031528,0.000200253,-0.098737,0.000200154
3,1574123977,1574123979,0,0,-6.5,-0.01537,0.000001871,-0.0033932,0.000002387,-0.0892448,0.000001304
4,1574123987,1574123989,0,0,-7,-0.016705,0.000049234,-0.0035908,0.000056592,-0.0820148,0.000061646
5,1574123995,1574123996,0,0,-7.5,-0.0174978,0.000167873,-0.003757,0.000201817,-0.0769992,0.000200663
6,1574124002,1574124003,0,0,-8,-0.0178248,0.000172329,-0.0039208,0.000200818,-0.0724292,0.000194541
7,1574124010,1574124011,0,0,-8.5,-0.0178008,0.000003701,-0.004358,0.000001581,-0.0674322,0.000006686
8,1574124017,1574124018,0,0,-9,-0.0178772,0.000025193,-0.005671,0.000033608,-0.0620066,0.000030386
9,1574124025,1574124027,0,0,-9.5,-0.0187096,0.00017129,-0.0095852,0.000200024,-0.054711,0.0002002
10,1574124032,1574124034,0,0,-10,-0.0207456,0.000001342,-0.0169344,0.000003507,-0.0513262,0.000009654
11,1574124040,1574124042,0,0,-10.5,-0.0233496,0.00000114,-0.0321612,0.000000837,-0.0626064,0.000002191
12,1574124049,1574124050,0,0,-11,-0.0233186,0.00017073,-0.0562794,0.000202144,-0.0951588,0.000202538
13,1574124060,1574124061,0,0,-11.5,-0.0210474,0.000001817,-0.0646732,0.000005357,-0.1173722,0.00001071
14,1574124067,1574124068,0,0,-12,-0.0183532,0.000001643,-0.0465296,0.000001517,-0.1226662,0.000002387
15,1574124078,1574124079,0,0,-12.5,-0.016494,0.000020137,-0.027937,0.000021875,-0.1207024,0.00002554
16,1574124085,1574124086,0,0,-13,-0.0152486,0.000170729,-0.0129494,0.000199926,-0.1181,0.00020013
17,1574124092,1574124094,0,0,-13.5,-0.0149728,0.000001789,-0.00515,0.000001,-0.1181946,0.000002302
18,1574124100,1574124102,0,0,-14,-0.0155056,0.000001517,-0.00037,0.000003674,-0.1214568,0.000007563
19,1574124109,1574124110,0,0,-14.5,-0.0162104,0.000170277,0.0046432,0.000200804,-0.1267996,0.000202098
20,1574124116,1574124118,0,0,-15,-0.0165598,0.000170067,0.0139162,0.000201371,-0.1323382,0.000200578
21,1574124125,1574124126,0,0,-15.5,-0.0160994,0.000166321,0.0283924,0.000199668,-0.1296902,0.000201774
22,1574124133,1574124134,0,0,-16,-0.0135136,0.000035451,0.0535456,0.000044959,-0.1053826,0.000041561
23,1574124140,1574124142,0,0,-16.5,-0.008411,0.000171381,0.087456,0.000209789,-0.0600862,0.000216655
24,1574124148,1574124150,0,0,-17,-0.004053,0.000170504,0.0902998,0.000202254,-0.0408108,0.000201955
25,1574124160,1574124161,0,0,-17.5,-0.0017366,0.000000548,0.0697788,0.000002588,-0.0424486,0.000002966
26,1574124167,1574124169,0,0,-18,-0.0000494,0.000172088,0.0447042,0.00020312,-0.0505584,0.000202157
27,1574124177,1574124178,0,0,-18.5,0.0009654,0.000012876,0.0295198,0.000001304,-0.0593134,0.000005128
28,1574124184,1574124185,0,0,-19,0.0011884,0.000004827,0.0208594,0.000001517,-0.0686232,0.000002168
29,1574124191,1574124192,0,0,-19.5,0.0008058,0.000172079,0.0167562,0.00020248,-0.0768306,0.000200364
30,1574124197,1574124199,0,0,-20,0.0001898,0.000006797,0.014105,0.000001225,-0.0865362,0.000003962
31,1574124207,1574124208,0,0,-20.5,-0.0012446,0.000007701,0.0116606,0.000006768,-0.1021524,0.000012522
32,1574124338,1574124340,0,0,-21,-0.0054384,0.000014993,0.0073432,0.00000228,-0.1238074,0.000004393
33,1574124346,1574124347,0,0,-21.5,-0.0080552,0.000015928,0.0060474,0.000001673,-0.1466908,0.000002588
34,1574124352,1574124354,0,0,-22,-0.01267,0.000020199,0.004758,0.000001,-0.183514,0.000004472
35,1574124360,1574124362,0,0,-22.5,-0.0190616,0.000020756,0.003707,0.000001,-0.23113,0
36,1574124368,1574124369,0,0,-23,-0.0284232,0.000051475,0.0027824,0.000003209,-0.2974,0.000017321
37,1574124375,1574124377,0,0,-23.5,-0.039596,0.00003515,0.002176,0.000003082,-0.37417,0.000017321
38,1574124382,1574124384,0,0,-24,-0.0593628,0.00010041,0.002239,0.000019912,-0.508398,0.000290293
