cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574125248.95256,1574125251.07251,0,0,-5,-0.010095,0.000001732,-0.0049622,0.000001095,-0.1369968,0.00000563
1,1574125257.54355,1574125259.21153,0,0,-5.5,-0.0129828,0.000002168,-0.006419,0.000001871,-0.1170012,0.000017035
2,1574125303.0037,1574125304.67112,0,0,-6,-0.0153578,0.000002049,-0.007213,0.000001871,-0.1015678,0.000016177
3,1574125322.90742,1574125324.5746,0,0,-6.5,-0.0166372,0.000002775,-0.0074258,0.000000837,-0.092772,0.000001414
4,1574125333.97002,1574125335.63624,0,0,-7,-0.0170672,0.000001095,-0.007385,0.000001,-0.0876586,0.000006804
5,1574125379.53339,1574125381.20112,0,0,-7.5,-0.0166378,0.000000837,-0.0071528,0.000001924,-0.0842496,0.000006348
6,1574125391.42765,1574125393.09439,0,0,-8,-0.0148294,0.000001517,-0.0067102,0.000002683,-0.0819084,0.000009127
7,1574125401.85139,1574125403.51851,0,0,-8.5,-0.0115128,0.000001095,-0.0062438,0.000002683,-0.0802226,0.000006731
8,1574125409.78338,1574125411.44889,0,0,-9,-0.0063662,0.000046013,-0.0059564,0.000010854,-0.0781338,0.000273172
9,1574125420.5101,1574125422.1766,0,0,-9.5,0.0015664,0.000001673,-0.006291,0.000003464,-0.0760234,0.000013126
10,1574125474.42442,1574125476.09109,0,0,-10,0.0106396,0.000001817,-0.0081992,0.000000837,-0.0759462,0.000004438
11,1574125481.25791,1574125482.92587,0,0,-10.5,0.0159454,0.000001949,-0.0132474,0.00000114,-0.0809738,0.000006535
12,1574125487.47656,1574125489.14287,0,0,-11,0.016215,0.000001581,-0.0223734,0.000005177,-0.0948936,0.000003209
13,1574125494.10871,1574125495.77479,0,0,-11.5,0.0155792,0.000001789,-0.0235576,0.000002302,-0.1001458,0.000003114
14,1574125500.51143,1574125502.17938,0,0,-12,0.0154016,0.00000114,-0.0165316,0.000003435,-0.1018152,0.000002588
15,1574125507.15193,1574125508.81882,0,0,-12.5,0.016237,0.000001225,-0.0103278,0.000000837,-0.1008654,0.00000503
16,1574125513.56985,1574125515.23723,0,0,-13,0.0183476,0.000001949,-0.0054894,0.000002074,-0.0994736,0.000002408
17,1574125521.25455,1574125522.92092,0,0,-13.5,0.0215884,0.00000114,-0.0027736,0.000001517,-0.0986236,0.000001673
18,1574125527.33734,1574125529.00346,0,0,-14,0.026001,0.000008485,-0.0012348,0.000002864,-0.0991902,0.000034996
19,1574125534.68868,1574125536.35496,0,0,-14.5,0.0303616,0.00000251,-0.0000194,0.000002881,-0.1012732,0.00001429
20,1574125541.95267,1574125543.6198,0,0,-15,0.0331838,0.000004712,0.0028118,0.000002168,-0.1034568,0.000033833
21,1574125550.85385,1574125552.52161,0,0,-15.5,0.0311726,0.0000109,0.0095366,0.000002793,-0.1011356,0.000062564
22,1574125557.02512,1574125558.69316,0,0,-16,0.0243034,0.000001517,0.0207672,0.000000837,-0.0906358,0.00000497
23,1574125564.44287,1574125566.1105,0,0,-16.5,0.0155014,0.000002608,0.0349146,0.000001817,-0.0729824,0.000005683
24,1574125570.57834,1574125572.24393,0,0,-17,0.0104184,0.000001949,0.0369858,0.000002168,-0.0662306,0.000002302
25,1574125577.46175,1574125579.12782,0,0,-17.5,0.0067916,0.00000114,0.0280112,0.000002168,-0.0668504,0.000002881
26,1574125586.04428,1574125587.7104,0,0,-18,0.0043386,0.000007301,0.0184678,0.000005404,-0.0705648,0.000029072
27,1574125592.84592,1574125594.51285,0,0,-18.5,0.002991,0.000007348,0.0140552,0.000005357,-0.0740814,0.000033516
28,1574125599.30664,1574125600.97454,0,0,-19,0.0017384,0.000002302,0.0111714,0.000001517,-0.07866,0.000016047
29,1574125606.28013,1574125607.94822,0,0,-19.5,0.0003124,0.000003975,0.009002,0.000002449,-0.085916,0.000022989
30,1574125615.41081,1574125617.07817,0,0,-20,-0.0009978,0.000001304,0.007662,0.000003808,-0.0942346,0.000003847
31,1574125623.72613,1574125625.39216,0,0,-20.5,-0.0031734,0.000020611,0.0060396,0.000004669,-0.1099188,0.000035982
32,1574125629.50468,1574125631.17219,0,0,-21,-0.0050118,0.000010826,0.0050704,0.000007021,-0.123818,0.000055132
33,1574125636.75153,1574125638.41799,0,0,-21.5,-0.0082102,0.000004025,0.0039158,0.000001643,-0.1477132,0.000014789
34,1574125643.62823,1574125645.29371,0,0,-22,-0.0136894,0.000008562,0.0027338,0.000008319,-0.18655,0.000093456
35,1574125650.96329,1574125653.06929,0,0,-22.5,-0.0206864,0.000013297,0.001801,0.000003162,-0.23374,0.000061237
36,1574125657.54324,1574125659.21101,0,0,-23,-0.0310544,0.000011327,0.00097,0.000004062,-0.301228,0.000093648
37,1574125664.05673,1574125665.72253,0,0,-23.5,-0.0439212,0.000004712,0.0004396,0.000001517,-0.383138,0.000031145
38,1574125670.2662,1574125671.93319,0,0,-24,-0.0693122,0.000054219,0.0009012,0.000006573,-0.543248,0.000060166
