cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574125942.92515,1574125945.0452,0,0,-5,-0.0104758,0.000007791,-0.0036336,0.000018202,-0.139845,0.000236057
1,1574125950.06536,1574125951.7319,0,0,-5.5,-0.0137808,0.000006611,-0.0053806,0.000009555,-0.118178,0.000078457
2,1574125955.6167,1574125957.28294,0,0,-6,-0.015955,0.000003674,-0.0061226,0.000002302,-0.1056088,0.000044757
3,1574125961.88805,1574125963.55414,0,0,-6.5,-0.0178004,0.000002074,-0.0064116,0.00000114,-0.0963004,0.00000532
4,1574125969.02742,1574125970.69439,0,0,-7,-0.0190174,0.000001517,-0.0063568,0.00000228,-0.090989,0.000003742
5,1574125975.75756,1574125977.42406,0,0,-7.5,-0.0196792,0.000001304,-0.0059774,0.000000548,-0.0883272,0.000000837
6,1574125981.9907,1574125983.65735,0,0,-8,-0.0198092,0.000001924,-0.0053014,0.000001817,-0.087469,0.000001
7,1574125989.01091,1574125990.67883,0,0,-8.5,-0.0194794,0.000000548,-0.004219,0.000002236,-0.087577,0.000006671
8,1574125994.91769,1574125996.58364,0,0,-9,-0.0187864,0.000001342,-0.0029072,0.000000837,-0.0880968,0.000004324
9,1574126001.2404,1574126002.90689,0,0,-9.5,-0.017863,0.000001871,-0.001504,0.000002,-0.0886422,0.000015255
10,1574126008.7487,1574126010.41625,0,0,-10,-0.0165982,0.000002387,0.0000798,0.000001789,-0.0891896,0.000003435
11,1574126015.33125,1574126016.99869,0,0,-10.5,-0.0154426,0.000001517,0.0013374,0.000002793,-0.0895046,0.000008735
12,1574126022.13555,1574126023.80129,0,0,-11,-0.0139396,0.000001517,0.0027532,0.000001643,-0.0896324,0.000005367
13,1574126028.87951,1574126030.54785,0,0,-11.5,-0.012752,0.000029223,0.0037174,0.000008173,-0.089634,0.000049422
14,1574126037.58361,1574126039.25107,0,0,-12,-0.0112662,0.000007294,0.0046904,0.000002881,-0.0893476,0.00002614
15,1574126048.98727,1574126050.65448,0,0,-12.5,-0.0100342,0.000001304,0.0053258,0.000002049,-0.0886514,0.000033798
16,1574126066.13812,1574126067.80443,0,0,-13,-0.00863,0.000006519,0.005758,0.000002828,-0.0879416,0.000028298
17,1574126083.62407,1574126085.29028,0,0,-13.5,-0.0071272,0.000001304,0.006012,0.000004183,-0.0872328,0.000010918
18,1574126089.88683,1574126091.55228,0,0,-14,-0.0058794,0.00000503,0.0061862,0.000007662,-0.0864006,0.000025589
19,1574126103.24003,1574126104.90762,0,0,-14.5,-0.0045164,0.000004037,0.0063552,0.000005891,-0.0853866,0.00001161
20,1574126109.72649,1574126111.39324,0,0,-15,-0.0032616,0.000003209,0.0065616,0.000005505,-0.0843218,0.000031807
21,1574126116.89364,1574126118.56014,0,0,-15.5,-0.0021846,0.000001342,0.006806,0.000001,-0.0834124,0.000002608
22,1574126122.96323,1574126124.63028,0,0,-16,-0.0012978,0.000001304,0.0071046,0.000002793,-0.0825148,0.00000996
23,1574126129.65574,1574126131.32274,0,0,-16.5,-0.0004262,0.000000837,0.0075492,0.000002387,-0.0815408,0.000004087
24,1574126135.73296,1574126137.40039,0,0,-17,0.0001648,0.000004324,0.0079952,0.000004764,-0.0808464,0.000013353
25,1574126142.7955,1574126144.46289,0,0,-17.5,0.0005318,0.000001924,0.008426,0.000001225,-0.0804842,0.000013103
26,1574126149.36204,1574126151.02985,0,0,-18,0.0006626,0.000002881,0.008738,0.000006205,-0.0807618,0.000016407
27,1574126156.99678,1574126158.66275,0,0,-18.5,0.000696,0.000021342,0.0089118,0.000007694,-0.0818348,0.000048782
28,1574126163.58438,1574126165.25131,0,0,-19,0.0002612,0.000003633,0.0087578,0.000003962,-0.0848516,0.000003847
29,1574126171.20428,1574126172.87042,0,0,-19.5,-0.000477,0.000002,0.008335,0.000001581,-0.0896544,0.000004669
30,1574126177.56997,1574126179.23815,0,0,-20,-0.0015194,0.000001673,0.007668,0.000001871,-0.097081,0.000001581
31,1574126184.33661,1574126186.00482,0,0,-20.5,-0.0031784,0.000002966,0.0066942,0.000001095,-0.1097298,0.000004147
32,1574126189.99147,1574126191.65871,0,0,-21,-0.005514,0.000003317,0.0056356,0.000003578,-0.1278016,0.00001469
33,1574126200.50341,1574126202.17109,0,0,-21.5,-0.0089304,0.00001004,0.0045694,0.000003507,-0.1531928,0.000024448
34,1574126206.4393,1574126208.10576,0,0,-22,-0.0137888,0.000008379,0.003615,0.000001871,-0.1872526,0.000024755
35,1574126213.33095,1574126215.43633,0,0,-22.5,-0.0208452,0.00001071,0.002706,0.000002121,-0.23466,0
36,1574126220.75829,1574126222.42481,0,0,-23,-0.0312908,0.000011756,0.0018738,0.00000295,-0.301802,0.000025884
37,1574126227.77006,1574126229.43721,0,0,-23.5,-0.045882,0.00001416,0.0012908,0.000001304,-0.39394,0
38,1574126234.00318,1574126235.67037,0,0,-24,-0.0662598,0.000409228,0.0015012,0.000052323,-0.52076,0.001040745
