Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574192430.42049,1574192432.54057,0,0,-5,-0.0110268,0.000001304,-0.0041186,0.000002408,-0.1298952,0.000011323
1,1574192449.70087,1574192451.36653,0,0,-5.5,-0.0144154,0.000001949,-0.0058544,0.000003362,-0.1091706,0.00001842
2,1574192459.18574,1574192460.85275,0,0,-6,-0.0160568,0.000001924,-0.0063982,0.000001643,-0.1003276,0.000011866
3,1574192470.96344,1574192472.63114,0,0,-6.5,-0.0179536,0.000001673,-0.0067282,0.00000228,-0.0912326,0.000012178
4,1574192492.26736,1574192493.93489,0,0,-7,-0.0192128,0.000001643,-0.0066996,0.000002302,-0.0862126,0.000005413
5,1574192500.16703,1574192501.83288,0,0,-7.5,-0.01992,0.000001225,-0.0063702,0.000002387,-0.0836898,0.000003701
6,1574192507.19,1574192508.85747,0,0,-8,-0.020126,0.000001,-0.0056696,0.000001517,-0.0828116,0.000006542
7,1574192514.60203,1574192516.27029,0,0,-8.5,-0.019925,0.000001581,-0.0048602,0.000001095,-0.0829312,0.000001924
8,1574192521.12416,1574192522.79089,0,0,-9,-0.0192636,0.000001342,-0.003489,0.000001225,-0.0835338,0.000003421
9,1574192528.21207,1574192529.87897,0,0,-9.5,-0.0184548,0.000001643,-0.002226,0.000001225,-0.0841456,0.000003286
10,1574192534.69596,1574192536.36288,0,0,-10,-0.0174012,0.000001643,-0.0008498,0.000000837,-0.0847338,0.000002168
11,1574192541.34161,1574192543.00711,0,0,-10.5,-0.0159814,0.000000548,0.0007214,0.000000548,-0.085234,0.000003536
12,1574192547.48697,1574192549.15318,0,0,-11,-0.014554,0.000001414,0.0020568,0.000001789,-0.0854316,0.000002302
13,1574192554.25801,1574192555.92483,0,0,-11.5,-0.0132932,0.00000228,0.0030572,0.000000837,-0.0853904,0.000003209
14,1574192561.13906,1574192562.80545,0,0,-12,-0.0121974,0.000000894,0.0037852,0.000000837,-0.0851862,0.000003033
15,1574192567.6895,1574192569.35552,0,0,-12.5,-0.0107548,0.000000837,0.0045214,0.000001673,-0.0847092,0.000011345
16,1574192574.00261,1574192575.66787,0,0,-13,-0.0096432,0.000001095,0.0049088,0.000002168,-0.08422,0.000005244
17,1574192580.44214,1574192582.10742,0,0,-13.5,-0.0080184,0.000000894,0.0052758,0.000002775,-0.0833586,0.000002074
18,1574192586.61431,1574192588.28188,0,0,-14,-0.0065102,0.000001643,0.0054896,0.000001817,-0.0824184,0.000012582
19,1574192593.23811,1574192594.90306,0,0,-14.5,-0.0053808,0.000001483,0.0056118,0.000004207,-0.0816376,0.000004506
20,1574192599.78688,1574192601.45402,0,0,-15,-0.0039106,0.000000894,0.0058236,0.000000548,-0.080492,0.000003082
21,1574192606.75587,1574192608.42032,0,0,-15.5,-0.0029574,0.000001817,0.0060356,0.00000114,-0.0796772,0.000002588
22,1574192613.3562,1574192615.02411,0,0,-16,-0.0018722,0.000001483,0.0063862,0.000002168,-0.0786636,0.000004615
23,1574192620.15456,1574192621.82184,0,0,-16.5,-0.0010682,0.000001924,0.0067984,0.000002074,-0.0778164,0.000005505
24,1574192626.2457,1574192627.91289,0,0,-17,-0.0003974,0.000001342,0.007309,0.000001871,-0.0771012,0.000003114
25,1574192633.95784,1574192635.62487,0,0,-17.5,0.000007,0.000001581,0.0077646,0.00000114,-0.0767528,0.000004207
26,1574192639.87964,1574192641.54705,0,0,-18,0.0002038,0.000001924,0.0081704,0.000001342,-0.0769222,0.000003962
27,1574192646.75116,1574192648.41811,0,0,-18.5,0.00014,0.000001581,0.0083488,0.000001789,-0.077848,0.000006205
28,1574192653.19683,1574192654.86302,0,0,-19,-0.0001954,0.000002302,0.0082802,0.000002775,-0.0800678,0.000001304
29,1574192660.28153,1574192661.94882,0,0,-19.5,-0.0008256,0.000002881,0.0079302,0.000001924,-0.0842002,0.000015123
30,1574192666.5712,1574192668.23895,0,0,-20,-0.0020196,0.000002702,0.007128,0.000001581,-0.0928174,0.000003578
31,1574192673.19324,1574192674.86015,0,0,-20.5,-0.003495,0.000005701,0.0061548,0.00000249,-0.1045468,0.00000228
32,1574192680.12296,1574192681.79095,0,0,-21,-0.0054684,0.000005683,0.005117,0.000001871,-0.1204996,0.000004336
33,1574192687.19328,1574192688.86009,0,0,-21.5,-0.0077964,0.000005941,0.0041958,0.000001789,-0.138974,0.000005292
34,1574192693.09349,1574192694.76044,0,0,-22,-0.0118158,0.000009203,0.0030892,0.000001095,-0.169471,0.000003742
35,1574192699.36033,1574192701.46513,0,0,-22.5,-0.0183916,0.000006148,0.001904,0.000001414,-0.21657,0
36,1574192706.37118,1574192708.03898,0,0,-23,-0.0256216,0.00000498,0.0010084,0.000002074,-0.26611,0
37,1574192712.80671,1574192714.47486,0,0,-23.5,-0.039547,0.000013964,-0.0000674,0.00000251,-0.358268,0.000017889
38,1574192719.02967,1574192720.696,0,0,-24,-0.0567834,0.000007503,-0.000513,0.000006782,-0.470576,0.000011402
