Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574196241.02495,1574196243.14484,0,0,-5,-0.0098366,0.00000503,-0.0024526,0.000001342,-0.1420366,0.000009423
1,1574196253.08006,1574196254.74655,0,0,-5.5,-0.0132902,0.000003347,-0.0042762,0.000001304,-0.1206796,0.000002608
2,1574196263.19816,1574196264.86699,0,0,-6,-0.0158862,0.000005357,-0.0051328,0.000001304,-0.1071126,0.000006107
3,1574196271.60331,1574196273.27116,0,0,-6.5,-0.018236,0.000001871,-0.0055146,0.000002881,-0.0974068,0.000001483
4,1574196281.88542,1574196283.55289,0,0,-7,-0.0201782,0.000001483,-0.0055672,0.000001304,-0.0917542,0.000003033
5,1574196290.76906,1574196292.43658,0,0,-7.5,-0.0222454,0.000002966,-0.0053176,0.000001517,-0.0883546,0.000008735
6,1574196300.0043,1574196301.6717,0,0,-8,-0.0242188,0.000001643,-0.004885,0.000002646,-0.0870026,0.00000305
7,1574196307.59879,1574196309.26633,0,0,-8.5,-0.0278856,0.000001949,-0.0041358,0.000002864,-0.0859972,0.000012029
8,1574196317.47396,1574196319.14108,0,0,-9,-0.031445,0.000002345,-0.0036958,0.000001924,-0.0853394,0.00002002
9,1574196326.83571,1574196328.5016,0,0,-9.5,-0.0393282,0.000000837,-0.0034366,0.00000114,-0.0841524,0.000005683
10,1574196336.87976,1574196338.54706,0,0,-10,-0.0517858,0.000001304,-0.0044362,0.00000249,-0.083443,0.000008155
11,1574196344.45247,1574196346.12012,0,0,-10.5,-0.0651982,0.000003114,-0.0078024,0.000006841,-0.087037,0.00001259
12,1574196356.91065,1574196358.57886,0,0,-11,-0.0809002,0.000003114,-0.0152226,0.00000937,-0.099407,0.000004899
13,1574196364.39373,1574196366.06105,0,0,-11.5,-0.0929804,0.00000114,-0.0170246,0.000013957,-0.1073366,0.000007893
14,1574196374.71014,1574196376.37798,0,0,-12,-0.1054248,0.000000447,-0.0095004,0.00001417,-0.1105682,0.000005404
15,1574196386.14134,1574196387.80761,0,0,-12.5,-0.116537,0.000000707,0.0011016,0.000012219,-0.1072676,0.00000503
16,1574196396.82592,1574196398.49167,0,0,-13,-0.1203268,0.000001924,0.0117378,0.000019867,-0.0985842,0.00000563
17,1574196405.44993,1574196407.11786,0,0,-13.5,-0.1121708,0.000002387,0.0240774,0.000018325,-0.0809306,0.000024511
18,1574196422.00446,1574196423.67049,0,0,-14,-0.1001886,0.000002881,0.0286954,0.000035253,-0.0641144,0.0000127
19,1574196429.53215,1574196431.20038,0,0,-14.5,-0.0850262,0.000001789,0.0229374,0.000026548,-0.0526552,0.000029474
20,1574196439.34901,1574196441.01632,0,0,-15,-0.0670442,0.000004438,0.0100074,0.000005899,-0.0514876,0.000014876
21,1574196448.52405,1574196450.19181,0,0,-15.5,-0.0470092,0.000003347,-0.0076228,0.000020765,-0.0599018,0.000045019
22,1574196458.59588,1574196460.26359,0,0,-16,-0.0295864,0.000005177,-0.0247802,0.000020092,-0.0779976,0.000012681
23,1574196469.81615,1574196471.48383,0,0,-16.5,-0.0152232,0.00000228,-0.0358452,0.000018966,-0.097426,0.000017479
24,1574196481.18583,1574196482.85284,0,0,-17,-0.0091042,0.000001483,-0.0276414,0.000008414,-0.0992194,0.000015534
25,1574196492.03098,1574196493.69722,0,0,-17.5,-0.0051684,0.000002302,-0.0140464,0.000005128,-0.096345,0.000016233
26,1574196501.98639,1574196503.65271,0,0,-18,-0.002507,0.000001,-0.0028678,0.000003493,-0.092588,0.000030191
27,1574196520.06464,1574196521.7317,0,0,-18.5,-0.0010456,0.000004722,0.0035736,0.00000114,-0.0905934,0.000006914
28,1574196535.07298,1574196536.74005,0,0,-19,-0.0005546,0.000003286,0.0064748,0.000001304,-0.0909462,0.000003899
29,1574196544.94,1574196546.60696,0,0,-19.5,-0.0006982,0.000005119,0.0077334,0.000000548,-0.093743,0.000006519
30,1574196554.79033,1574196556.45644,0,0,-20,-0.0015478,0.000008556,0.0080514,0.000002302,-0.1014802,0.000011798
31,1574196563.14095,1574196564.80845,0,0,-20.5,-0.0030754,0.000015726,0.0076172,0.000002168,-0.114197,0.000010296
32,1574196575.19831,1574196576.86543,0,0,-21,-0.004961,0.000011533,0.0070122,0.000001304,-0.129296,0.000001732
33,1574196584.73936,1574196586.40559,0,0,-21.5,-0.0079892,0.000022786,0.006247,0.000000707,-0.1523442,0.000001789
34,1574196598.0268,1574196599.69415,0,0,-22,-0.0136394,0.000020804,0.005334,0.000001581,-0.1926282,0.000034208
35,1574196607.00881,1574196609.1146,0,0,-22.5,-0.0217438,0.000035605,0.004561,0.000007246,-0.246806,0.000066558
36,1574196618.13935,1574196619.80722,0,0,-23,-0.0325396,0.000043833,0.0039752,0.000001304,-0.31622,0.000021213
37,1574196626.91554,1574196628.58328,0,0,-23.5,-0.047314,0.000053805,0.0037322,0.000002775,-0.408456,0.000037815
38,1574196636.34001,1574196638.00786,0,0,-24,-0.0642458,0.000043379,0.0041952,0.000001643,-0.512814,0.000016733
