Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574197027.91594,1574197030.03639,0,0,-5,-0.0087508,0.000005167,-0.0035278,0.000001789,-0.1430372,0.000015189
1,1574197037.35427,1574197039.02104,0,0,-5.5,-0.0122248,0.000011841,-0.0053226,0.000002191,-0.1189208,0.000020462
2,1574197047.79332,1574197049.45965,0,0,-6,-0.0146468,0.000004207,-0.0061056,0.00000114,-0.1035714,0.000002702
3,1574197055.19328,1574197056.85916,0,0,-6.5,-0.0164932,0.000001924,-0.0064862,0.000001483,-0.0922154,0.000003578
4,1574197063.75573,1574197065.42331,0,0,-7,-0.0175034,0.000001817,-0.0066376,0.00000114,-0.085155,0.000005148
5,1574197065.84586,1574197067.5123,0,0,-7,-0.0174998,0.000002387,-0.0066316,0.000001949,-0.0851632,0.000002168
6,1574197108.35745,1574197110.02535,0,0,-7.5,-0.0179296,0.000005128,-0.0067362,0.000005586,-0.0792684,0.00003676
7,1574197125.30079,1574197126.96772,0,0,-8,-0.0176758,0.000001095,-0.0069142,0.000001095,-0.0744972,0.000004604
8,1574197132.83949,1574197134.50639,0,0,-8.5,-0.01686,0.000002345,-0.0074372,0.000001304,-0.0690862,0.000001924
9,1574197141.89345,1574197143.55981,0,0,-9,-0.0153008,0.000003962,-0.0089276,0.000001342,-0.0617416,0.000008295
10,1574197150.12359,1574197151.79182,0,0,-9.5,-0.0133564,0.000005128,-0.0118816,0.000001673,-0.0536972,0.000004087
12,1574197170.73129,1574197172.39762,0,0,-10.5,-0.0106,0.000007176,-0.0398984,0.000004336,-0.0467832,0.000007791
13,1574197204.66239,1574197206.32929,0,0,-11,-0.0125006,0.00000747,-0.0656036,0.000002191,-0.0695936,0.000004879
14,1574197211.81839,1574197213.48603,0,0,-11.5,-0.0153774,0.000002408,-0.0956196,0.000004393,-0.1092846,0.000009017
15,1574197221.44534,1574197223.1123,0,0,-12,-0.0178232,0.000001304,-0.1066908,0.000001095,-0.1526552,0.000003564
16,1574197230.27051,1574197231.93617,0,0,-12.5,-0.019568,0.000002121,-0.0945738,0.00000249,-0.1871564,0.00000445
17,1574197240.47108,1574197242.57596,0,0,-13,-0.0207916,0.000018447,-0.064344,0.000002739,-0.205138,0.000008367
18,1574197249.12587,1574197250.79268,0,0,-13.5,-0.0216908,0.000034881,-0.0135188,0.00000228,-0.207376,0.000005477
19,1574197259.01067,1574197260.67819,0,0,-14,-0.0219046,0.000044669,0.047578,0.000004848,-0.189632,0.000004472
20,1574197267.52677,1574197269.60685,0,0,-14.5,-0.0215218,0.00002543,0.0895534,0.000005857,-0.1661984,0.000002302
21,1574197282.0737,1574197283.74127,0,0,-15,-0.0199366,0.000016426,0.135946,0.000004301,-0.1247016,0.000002702
22,1574197291.36264,1574197293.03117,0,0,-15.5,-0.0177024,0.00003974,0.1601028,0.000008843,-0.0877692,0.000012458
23,1574197304.45392,1574197306.11974,0,0,-16,-0.0129676,0.000029704,0.1706354,0.000008385,-0.042184,0.000013874
24,1574197312.73502,1574197314.40225,0,0,-16.5,-0.0074954,0.000007956,0.1565344,0.00000313,-0.0127,0.000003937
25,1574197323.30286,1574197324.97051,0,0,-17,-0.003361,0.000007348,0.1076366,0.00000493,-0.0169536,0.000006656
26,1574197330.929,1574197332.59583,0,0,-17.5,-0.0017006,0.00000498,0.0723046,0.000009965,-0.029125,0.000003536
27,1574197340.10103,1574197341.76847,0,0,-18,-0.0004364,0.000007893,0.042465,0.000001414,-0.0442696,0.000004159
28,1574197347.77922,1574197349.44642,0,0,-18.5,0.0001164,0.000004561,0.0270554,0.000001949,-0.0565418,0.00000455
29,1574197356.34657,1574197358.01525,0,0,-19,0.0001346,0.000003507,0.019369,0.000000707,-0.0663442,0.000001643
30,1574197363.80456,1574197365.47143,0,0,-19.5,-0.0003336,0.000005857,0.0143548,0.000002387,-0.0775136,0.00000445
31,1574197373.54939,1574197375.21559,0,0,-20,-0.0011536,0.000009915,0.0115898,0.000003271,-0.0885504,0.000014639
32,1574197383.54382,1574197385.21164,0,0,-20.5,-0.0026056,0.000007503,0.0093204,0.000001517,-0.1041482,0.000006979
33,1574197393.45781,1574197395.12361,0,0,-21,-0.0045718,0.000015271,0.0077202,0.00000295,-0.1223996,0.000014519
34,1574197402.67347,1574197404.34086,0,0,-21.5,-0.0073714,0.000011194,0.0064268,0.000003114,-0.1458964,0.000003578
35,1574197413.5441,1574197415.21064,0,0,-22,-0.0124372,0.000012377,0.0051654,0.000001673,-0.1843516,0.000016994
36,1574197427.25421,1574197429.36033,0,0,-22.5,-0.018422,0.000033159,0.0042906,0.000000894,-0.22658,0
37,1574197437.42663,1574197439.09496,0,0,-23,-0.0292274,0.000053102,0.0033944,0.000005595,-0.29851,0.000023452
38,1574197450.40585,1574197452.07334,0,0,-23.5,-0.0455568,0.000046821,0.0029118,0.000001643,-0.402918,0.000034928
39,1574197459.9211,1574197461.58918,0,0,-24,-0.0630112,0.000043263,0.003281,0.000001225,-0.512454,0.000020736
