Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574200291.59077,1574200293.71002,0,0,-5,-0.0070372,0.000003114,-0.003577,0.000002,-0.141241,0.000002236
1,1574200309.19227,1574200310.85958,0,0,-5.5,-0.0105992,0.000004764,-0.0052838,0.000000837,-0.1174678,0.000004147
2,1574200320.81937,1574200322.48707,0,0,-6,-0.013394,0.000008093,-0.0062254,0.000004159,-0.0997624,0.000009317
3,1574200330.14412,1574200331.8107,0,0,-6.5,-0.0151742,0.00000531,-0.0067216,0.000002074,-0.0882132,0.000006979
4,1574200340.90884,1574200342.5756,0,0,-7,-0.0163552,0.000001643,-0.0071412,0.000000837,-0.0792596,0.000000548
5,1574200355.04468,1574200356.71217,0,0,-7.5,-0.017258,0.000002121,-0.007853,0.000001,-0.0688062,0.00000249
6,1574200363.37586,1574200365.04309,0,0,-8,-0.0171834,0.000001817,-0.0089772,0.000000837,-0.0596998,0.000004817
7,1574200370.99142,1574200372.65965,0,0,-8.5,-0.016534,0.000001414,-0.0110052,0.000001304,-0.0490552,0.000001304
8,1574200381.33007,1574200382.99553,0,0,-9,-0.0153594,0.000001949,-0.0148644,0.000000548,-0.0355404,0.000002608
9,1574200390.28523,1574200391.95296,0,0,-9.5,-0.0137448,0.000003033,-0.0228434,0.000005413,-0.0178764,0.000011283
10,1574200400.0782,1574200401.74642,0,0,-10,-0.0128412,0.000003633,-0.0410936,0.000004159,-0.0002716,0.000001342
11,1574200408.50384,1574200410.17087,0,0,-10.5,-0.0149484,0.000004506,-0.0766632,0.000008075,-0.0103872,0.000010663
12,1574200418.30356,1574200419.97152,0,0,-11,-0.018542,0.000004472,-0.1365588,0.000005762,-0.0710028,0.000009066
13,1574200429.98837,1574200431.65499,0,0,-11.5,-0.0205108,0.000003271,-0.1770466,0.000001949,-0.123777,0.000003937
14,1574200445.12983,1574200446.79718,0,0,-12,-0.0216332,0.000001095,-0.1714702,0.000001304,-0.1572762,0.000004494
15,1574200458.56342,1574200460.22943,0,0,-12.5,-0.02192,0.000001225,-0.1418768,0.000001924,-0.1804284,0.000004393
16,1574200472.28461,1574200473.95208,0,0,-13,-0.0203294,0.000000548,-0.1085798,0.000001304,-0.1972162,0.000003564
17,1574200481.3327,1574200483.43816,0,0,-13.5,-0.01783,0.000000707,-0.079535,0.000004743,-0.21152,0.000007071
18,1574200491.75714,1574200493.42469,0,0,-14,-0.0147706,0.000001517,-0.0473996,0.000003435,-0.223192,0.000004472
19,1574200498.99493,1574200500.66255,0,0,-14.5,-0.0119336,0.000002881,-0.0042722,0.000008729,-0.21776,0
20,1574200510.47144,1574200512.13922,0,0,-15,-0.0092742,0.000007328,0.053497,0.000007969,-0.198616,0.000015166
21,1574200522.59015,1574200524.6705,0,0,-15.5,-0.0081638,0.000002387,0.0954692,0.00000228,-0.1718248,0.000001924
22,1574200537.36155,1574200539.02919,0,0,-16,-0.0067082,0.00000497,0.1510358,0.000003701,-0.102569,0.000005148
23,1574200553.64203,1574200555.30894,0,0,-16.5,-0.0043074,0.000002408,0.1943838,0.000001095,-0.0236856,0.000001817
24,1574200564.55865,1574200566.22556,0,0,-17,-0.0024352,0.000004087,0.1902962,0.000003564,0.0073504,0.000006877
25,1574200572.92349,1574200574.59034,0,0,-17.5,-0.0002894,0.000002702,0.085198,0.000009192,-0.015736,0.000005339
26,1574200634.88043,1574200636.54773,0,0,-18,0.0004624,0.000003782,0.0579746,0.000001517,-0.0274416,0.000007232
27,1574200645.12213,1574200646.79005,0,0,-18.5,0.000605,0.000001,0.0468092,0.000001643,-0.03464,0.000001732
28,1574200660.10712,1574200661.77449,0,0,-19,0.0007158,0.000006611,0.0284194,0.000001517,-0.0512334,0.000003782
29,1574200669.54662,1574200671.21464,0,0,-19.5,0.0005318,0.000009149,0.0207974,0.000001949,-0.0624416,0.00001031
30,1574200683.17161,1574200684.83784,0,0,-20,0.0000542,0.000004604,0.0154838,0.000000447,-0.0749858,0.000001924
31,1574200694.47903,1574200696.14618,0,0,-20.5,-0.0008044,0.000010213,0.0116708,0.000001924,-0.0908014,0.000004827
32,1574200707.03696,1574200708.70477,0,0,-21,-0.0020894,0.000002702,0.0091006,0.000001342,-0.1096804,0.000002074
33,1574200718.23239,1574200719.8983,0,0,-21.5,-0.004335,0.000017635,0.0069226,0.000001817,-0.1378236,0.000010262
34,1574200730.09898,1574200731.766,0,0,-22,-0.0076174,0.000032715,0.0053278,0.000003114,-0.1735556,0.000036767
35,1574200742.52005,1574200744.62442,0,0,-22.5,-0.0139202,0.000026423,0.0037178,0.00000249,-0.235086,0.000005477
36,1574200754.21656,1574200755.88405,0,0,-23,-0.0194234,0.000008414,0.002867,0.000001581,-0.28569,0
37,1574200765.52393,1574200767.19088,0,0,-23.5,-0.0275238,0.000045768,0.002088,0.000001225,-0.357742,0.000035637
38,1574200778.70616,1574200780.37303,0,0,-24,-0.0409392,0.000037319,0.0016558,0.000005119,-0.474708,0.000017889
