Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574200928.0094,1574200930.13002,0,0,-5,-0.0090658,0.000003114,-0.0048962,0.000002168,-0.1367396,0.000016891
1,1574200938.83052,1574200940.49758,0,0,-5.5,-0.0116524,0.00000695,-0.006189,0.000001225,-0.1184952,0.000002588
2,1574200952.07316,1574200953.73904,0,0,-6,-0.0137058,0.000004266,-0.0068682,0.000002049,-0.1040264,0.000002881
3,1574200960.29091,1574200961.95775,0,0,-6.5,-0.0148808,0.000000837,-0.0070388,0.000002775,-0.0932102,0.000004382
4,1574200971.18481,1574200972.85101,0,0,-7,-0.0146942,0.000001483,-0.0068582,0.000000837,-0.0883968,0.000003564
5,1574200978.77647,1574200980.44319,0,0,-7.5,-0.01345,0.000002,-0.0065052,0.000001095,-0.0859062,0.00000545
6,1574200988.33126,1574200989.99821,0,0,-8,-0.0095448,0.000000837,-0.0057042,0.000000837,-0.084631,0.000011662
7,1574200996.23154,1574200997.89897,0,0,-8.5,-0.0032734,0.000001673,-0.004684,0.000001225,-0.084637,0.000002236
8,1574201005.9716,1574201007.63916,0,0,-9,0.0087904,0.00000114,-0.0031262,0.000000837,-0.085197,0.00000255
9,1574201014.49691,1574201016.16331,0,0,-9.5,0.025009,0.000001871,-0.0014268,0.000001095,-0.0857498,0.000012377
10,1574201033.89139,1574201035.55921,0,0,-10,0.0438598,0.000004324,0.0004584,0.000002881,-0.0856282,0.000002864
11,1574201044.32164,1574201045.98934,0,0,-10.5,0.0632846,0.000003578,0.0028346,0.000004561,-0.0834166,0.000016257
12,1574201054.25146,1574201055.91833,0,0,-11,0.0792428,0.00000507,0.005446,0.000013435,-0.0775738,0.000020216
13,1574201065.86697,1574201067.53436,0,0,-11.5,0.0918018,0.000000837,0.0053876,0.00000747,-0.0715734,0.000004827
14,1574201076.2545,1574201077.92197,0,0,-12,0.1020046,0.000001517,-0.0023568,0.000002588,-0.0721616,0.000003647
15,1574201085.04493,1574201086.71248,0,0,-12.5,0.10663,0.000006595,-0.012349,0.000019532,-0.078362,0.000006285
16,1574201097.50618,1574201099.17418,0,0,-13,0.1062214,0.000004159,-0.0212518,0.000012215,-0.08816,0.000002
17,1574201105.72863,1574201107.39672,0,0,-13.5,0.1009684,0.00000695,-0.0252624,0.000029382,-0.0980116,0.000007232
18,1574201116.01149,1574201117.6783,0,0,-14,0.0929588,0.000002387,-0.0221018,0.000008758,-0.1045402,0.000003114
19,1574201125.34518,1574201127.01254,0,0,-14.5,0.0843196,0.000002408,-0.0131978,0.000003564,-0.1063758,0.000003701
20,1574201136.84203,1574201138.50892,0,0,-15,0.0720068,0.000001304,0.0018016,0.000017329,-0.1017314,0.000010991
21,1574201150.74286,1574201152.40989,0,0,-15.5,0.061409,0.000001414,0.0121354,0.000008735,-0.0951628,0.00000228
22,1574201160.83953,1574201162.50671,0,0,-16,0.0427046,0.000002302,0.0254462,0.000008585,-0.0810458,0.000011411
23,1574201172.01146,1574201173.67867,0,0,-16.5,0.0273494,0.000005595,0.0322926,0.000009711,-0.0694128,0.00000507
24,1574201184.43982,1574201186.1058,0,0,-17,0.01794,0.000002915,0.028706,0.000008185,-0.0669652,0.000003347
25,1574201192.41199,1574201194.07783,0,0,-17.5,0.012756,0.000007517,0.0215466,0.000007092,-0.0683598,0.00000753
26,1574201202.97392,1574201204.64054,0,0,-18,0.0086032,0.000005357,0.0149678,0.000003701,-0.0711654,0.00000532
27,1574201210.73314,1574201212.4015,0,0,-18.5,0.006512,0.000007778,0.0122118,0.000001643,-0.0734708,0.00001071
28,1574201221.93987,1574201223.60705,0,0,-19,0.0045166,0.000000548,0.0102002,0.000001304,-0.0771726,0.000003362
29,1574201231.14782,1574201232.81338,0,0,-19.5,0.0032058,0.000006611,0.0090756,0.00000114,-0.081886,0.000021036
30,1574201243.19997,1574201244.86794,0,0,-20,0.0020946,0.000005273,0.0081654,0.000001517,-0.0880098,0.000010474
31,1574201255.34899,1574201257.01628,0,0,-20.5,0.0003606,0.000006542,0.0067972,0.00000249,-0.1012036,0.000013921
32,1574201265.173,1574201266.84007,0,0,-21,-0.0016058,0.000001643,0.0055422,0.000001304,-0.1187546,0.000002608
33,1574201273.57122,1574201275.23777,0,0,-21.5,-0.004252,0.000007517,0.0043454,0.000001949,-0.1427542,0.000005495
34,1574201285.1235,1574201286.79132,0,0,-22,-0.0076818,0.000007855,0.0032932,0.000001643,-0.173067,0.000009192
35,1574201294.33037,1574201296.43644,0,0,-22.5,-0.0131232,0.000013918,0.0021916,0.000002191,-0.21893,0.00006892
36,1574201304.57436,1574201306.24258,0,0,-23,-0.0204046,0.000006387,0.0012268,0.000000837,-0.278026,0.000040373
37,1574201314.56824,1574201316.23608,0,0,-23.5,-0.0309566,0.00002078,0.0004286,0.000003209,-0.361572,0.000021679
38,1574201324.56084,1574201326.22819,0,0,-24,-0.044001,0.000015556,0.0002334,0.000003435,-0.463226,0.000058138
