cyc,times,time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574208520.16575,1574208522.28621,0,0,-5,-0.0080572,0.000002588,-0.0027778,0.000000837,-0.1415674,0.00000445
1,1574208536.53399,1574208538.20162,0,0,-5.5,-0.0107746,0.000001673,-0.0040288,0.000002049,-0.1261772,0.000012617
2,1574208549.12121,1574208550.78902,0,0,-6,-0.0136028,0.000001304,-0.004632,0.000001871,-0.1140302,0.000010257
3,1574208556.69898,1574208558.36594,0,0,-6.5,-0.0162858,0.000001483,-0.004609,0.000001581,-0.1058656,0.000015582
4,1574208565.09352,1574208566.76055,0,0,-7,-0.018045,0.000000707,-0.004028,0.000002915,-0.1037862,0.000012795
5,1574208574.33505,1574208576.00235,0,0,-7.5,-0.0195994,0.000001817,-0.0023606,0.000000548,-0.1071004,0.00001445
6,1574208584.15516,1574208585.82288,0,0,-8,-0.0202142,0.000033885,-0.0004242,0.000009418,-0.1127392,0.0001096
7,1574208611.25476,1574208612.92231,0,0,-8.5,-0.0208588,0.000004147,0.0030082,0.000005718,-0.1225634,0.000020416
8,1574208619.69298,1574208621.36099,0,0,-9,-0.0216034,0.000006189,0.0107136,0.000004037,-0.1407386,0.00000999
9,1574208627.94494,1574208629.61215,0,0,-9.5,-0.0220792,0.000006058,0.0208742,0.000003114,-0.1585242,0.000020535
10,1574208638.67872,1574208640.34597,0,0,-10,-0.021415,0.000006364,0.0406034,0.000002608,-0.176938,0.000046513
11,1574208645.89699,1574208647.56357,0,0,-10.5,-0.0179986,0.000002408,0.0754364,0.000002408,-0.172499,0.00000255
12,1574208654.69875,1574208656.36619,0,0,-11,-0.012773,0.000002739,0.1393936,0.000003507,-0.1141458,0.000005541
13,1574208662.01404,1574208663.67912,0,0,-11.5,-0.008687,0.000006964,0.1903284,0.000100982,-0.0516742,0.000043309
14,1574208670.88185,1574208672.54891,0,0,-12,-0.005848,0.000002739,0.1853414,0.00000498,-0.0196328,0.000003962
15,1574208677.83943,1574208679.50767,0,0,-12.5,-0.0034678,0.000004207,0.157101,0.000004848,0.0049452,0.000012029
16,1574208687.80688,1574208689.473,0,0,-13,-0.0021628,0.00000295,0.1327874,0.000001342,0.0196242,0.000004764
17,1574208695.87231,1574208697.53852,0,0,-13.5,-0.0020608,0.000008379,0.1003862,0.000006017,0.0372946,0.000018902
18,1574208705.20873,1574208706.87488,0,0,-14,-0.0024488,0.00000295,0.0686734,0.000004827,0.0526094,0.000016087
19,1574208712.5304,1574208714.19649,0,0,-14.5,-0.002558,0.000004301,0.0214826,0.000002074,0.0498606,0.000008989
20,1574208725.49262,1574208727.15962,0,0,-15,-0.0022328,0.000003033,-0.0265506,0.000008385,0.0355216,0.000031509
21,1574208733.85391,1574208735.52084,0,0,-15.5,-0.0005404,0.000002074,-0.0741086,0.000003209,0.0093042,0.00001467
22,1574208746.38722,1574208748.05525,0,0,-16,0.0017414,0.00000114,-0.1235156,0.000001817,-0.0466536,0.000003507
23,1574208760.17686,1574208761.84389,0,0,-16.5,0.0026716,0.000002074,-0.1758154,0.000001817,-0.1370642,0.000001304
24,1574208769.65262,1574208771.31807,0,0,-17,0.0027858,0.000005167,-0.1729482,0.000004658,-0.1685166,0.000006656
25,1574208778.06539,1574208779.73172,0,0,-17.5,0.0029058,0.000001924,-0.120167,0.000002,-0.1625564,0.000012341
26,1574208790.05791,1574208791.72412,0,0,-18,0.0030076,0.000002074,-0.0584442,0.000007759,-0.1419092,0.000022016
27,1574208797.98026,1574208799.64688,0,0,-18.5,0.0029858,0.000001924,-0.0250954,0.000001949,-0.1251168,0.00000228
28,1574208811.74882,1574208813.41584,0,0,-19,0.0028176,0.000001517,-0.00962,0.000001581,-0.1153138,0.000001483
29,1574208844.01907,1574208845.68727,0,0,-19.5,0.002441,0.000023633,0.0002584,0.000011632,-0.109249,0.000012981
30,1574208853.18888,1574208854.85404,0,0,-20,0.0020216,0.000003647,0.0037422,0.000001924,-0.1097008,0.000008927
31,1574208863.31698,1574208864.98269,0,0,-20.5,0.0013574,0.000002966,0.0056476,0.000002074,-0.115171,0.00001241
32,1574208872.80509,1574208874.47138,0,0,-21,0.0003924,0.000002881,0.006318,0.000003391,-0.128227,0.000005244
33,1574208880.80007,1574208882.46576,0,0,-21.5,-0.0010554,0.000002702,0.006187,0.000005431,-0.1479876,0.000038305
34,1574208891.52941,1574208893.19735,0,0,-22,-0.0035634,0.000003782,0.005654,0.000002646,-0.1818548,0.00000563
35,1574208898.39533,1574208900.50094,0,0,-22.5,-0.006797,0.000008573,0.004983,0.000011247,-0.222834,0.000019494
36,1574208908.35898,1574208910.02536,0,0,-23,-0.0124538,0.000009834,0.0040598,0.000011212,-0.290198,0.0000502
37,1574208916.45072,1574208918.11836,0,0,-23.5,-0.019609,0.000004,0.0034474,0.000000894,-0.371882,0.000021679
38,1574208926.91281,1574208928.58033,0,0,-24,-0.0297922,0.000004868,0.0032912,0.000002775,-0.48473,0.000029155
