cyc,times,time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574209200.43418,1574209202.55414,0,0,-5,-0.0087752,0.000001789,-0.0037696,0.000004159,-0.1348796,0.000008204
1,1574209208.14037,1574209209.80692,0,0,-5,-0.0122984,0.000010784,-0.0051628,0.000005805,-0.1163056,0.000047131
2,1574209261.04148,1574209262.70816,0,0,-6,-0.0152766,0.000005857,-0.0058402,0.000008526,-0.1028674,0.00001743
3,1574209269.07954,1574209270.74655,0,0,-6.5,-0.017651,0.000003082,-0.0060772,0.000001643,-0.0945828,0.00001577
4,1574209277.95024,1574209279.61773,0,0,-7,-0.0203378,0.000000447,-0.0060612,0.000001483,-0.0881616,0.00000555
5,1574209284.73353,1574209286.40024,0,0,-7.5,-0.023128,0.00000255,-0.0057954,0.000001817,-0.0846342,0.000007791
6,1574209293.23164,1574209294.89847,0,0,-8,-0.0262708,0.000001643,-0.0053728,0.000003421,-0.0829346,0.000005983
7,1574209300.51944,1574209302.18675,0,0,-8.5,-0.0309644,0.000001817,-0.0047078,0.000003564,-0.0820744,0.000007635
8,1574209309.26219,1574209310.92926,0,0,-9,-0.039241,0.000001581,-0.0039686,0.00000114,-0.0813688,0.000011628
9,1574209316.63981,1574209318.30681,0,0,-9.5,-0.0516534,0.000000894,-0.003597,0.000000707,-0.0807036,0.000004827
10,1574209326.91994,1574209328.58553,0,0,-10,-0.0681498,0.000002168,-0.0040696,0.000000894,-0.080753,0.000002828
11,1574209336.94557,1574209338.61152,0,0,-10.5,-0.0851392,0.000002049,-0.0058818,0.000003033,-0.0840132,0.00000249
12,1574209348.07926,1574209349.745,0,0,-11,-0.1019722,0.000004604,-0.010903,0.000007036,-0.0977958,0.00004681
13,1574209356.03533,1574209357.70298,0,0,-11.5,-0.1111264,0.000003975,-0.012402,0.000011662,-0.111468,0.000011916
14,1574209365.76019,1574209367.42789,0,0,-12,-0.1166164,0.000003435,-0.0052078,0.000003271,-0.116369,0.000005701
15,1574209374.22834,1574209375.89346,0,0,-12.5,-0.1205364,0.000005683,0.0114326,0.000012012,-0.1137866,0.000010922
16,1574209383.60145,1574209385.26843,0,0,-13,-0.1195422,0.000005933,0.0299852,0.0000137,-0.1030668,0.00000563
17,1574209391.06718,1574209392.73541,0,0,-13.5,-0.113282,0.000003391,0.0440398,0.000009731,-0.087673,0.00000745
18,1574209402.80312,1574209404.47074,0,0,-14,-0.1028606,0.00000114,0.049135,0.000005568,-0.0719212,0.00000676
19,1574209415.86037,1574209417.52682,0,0,-14.5,-0.0955978,0.000004764,0.0463062,0.000010035,-0.0646722,0.000014202
20,1574209433.4615,1574209435.12872,0,0,-15,-0.0864816,0.000001517,0.0388294,0.000003286,-0.0601128,0.000004604
21,1574209442.56823,1574209444.2353,0,0,-15.5,-0.072824,0.000001,0.0262108,0.000003834,-0.0601856,0.000010334
22,1574209456.25644,1574209457.92362,0,0,-16,-0.056186,0.000004062,0.01415,0.000003742,-0.0644494,0.000032122
23,1574209463.23326,1574209464.89817,0,0,-16.5,-0.0344092,0.000004817,0.002149,0.000007616,-0.0734528,0.000011498
24,1574209471.64197,1574209473.30898,0,0,-17,-0.0221954,0.000001673,-0.0013522,0.000001304,-0.0772538,0.000000837
25,1574209479.13004,1574209480.79762,0,0,-17.5,-0.0127664,0.000003507,0.0010462,0.00000719,-0.0778968,0.000041823
26,1574209488.15554,1574209489.82174,0,0,-18,-0.0064152,0.000001304,0.0051212,0.000003033,-0.0776014,0.000002702
27,1574209495.77726,1574209497.44436,0,0,-18.5,-0.0023562,0.000007328,0.0076546,0.000006387,-0.0783336,0.000021663
28,1574209503.8668,1574209505.53414,0,0,-19,-0.000711,0.000000707,0.0084596,0.000002702,-0.0803154,0.000015093
29,1574209511.59302,1574209513.2579,0,0,-19.5,0.0001272,0.000005541,0.0086066,0.000007503,-0.084548,0.000004123
30,1574209520.44732,1574209522.1153,0,0,-20,0.0002838,0.000001789,0.008346,0.000001581,-0.0906364,0.000003912
31,1574209529.25773,1574209530.92472,0,0,-20.5,-0.0000642,0.000002683,0.0077714,0.000017897,-0.0999918,0.000047039
32,1574209537.85922,1574209539.5263,0,0,-21,-0.001285,0.000004,0.006796,0.000006819,-0.119032,0.000006819
33,1574209546.78752,1574209548.455,0,0,-21.5,-0.0032524,0.000003782,0.00587,0.000001581,-0.1432628,0.000003114
34,1574209556.0495,1574209557.71614,0,0,-22,-0.006833,0.000008031,0.0048594,0.000011781,-0.1812858,0.000035323
35,1574209565.02265,1574209567.12793,0,0,-22.5,-0.0106406,0.000016876,0.0042104,0.000010359,-0.218684,0.000016733
36,1574209574.92961,1574209576.59707,0,0,-23,-0.01665,0.000009747,0.0034694,0.000005941,-0.274152,0.000013038
37,1574209581.86785,1574209583.53512,0,0,-23.5,-0.027044,0.000021714,0.0027792,0.000033966,-0.366372,0.000028636
38,1574209590.14962,1574209591.81717,0,0,-24,-0.040108,0.00003152,0.0028094,0.000006025,-0.480282,0.000023875
