cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574295381.64176,1574295383.76097,0,0,-5,-0.0063584,0.000003209,-0.004591,0.000001414,-0.1373536,0.000015421
1,1574295396.96161,1574295398.62888,0,0,-5.5,-0.0101724,0.000001517,-0.0066836,0.00000114,-0.1119754,0.000002191
2,1574295406.52053,1574295408.18807,0,0,-6,-0.0129492,0.000005541,-0.0078014,0.000003507,-0.093905,0.000012268
3,1574295413.73112,1574295415.39858,0,0,-6.5,-0.014541,0.000001732,-0.0084132,0.000001095,-0.0825126,0.000003209
4,1574295421.91418,1574295423.58163,0,0,-7,-0.0155186,0.00000114,-0.0090482,0.000001483,-0.0720676,0.000003362
5,1574295428.67721,1574295430.34447,0,0,-7.5,-0.0156304,0.000002074,-0.0096506,0.000000548,-0.0649176,0.00000555
6,1574295436.46179,1574295438.12842,0,0,-8,-0.0148326,0.000001817,-0.0110056,0.000000894,-0.0544206,0.000001949
7,1574295443.19445,1574295444.86231,0,0,-8.5,-0.0129982,0.000006535,-0.0134918,0.000001095,-0.042472,0.000015411
8,1574295451.46591,1574295453.1319,0,0,-9,-0.0103908,0.000001304,-0.0176394,0.00000114,-0.029189,0.000005568
9,1574295458.59602,1574295460.26336,0,0,-9.5,-0.0064638,0.000002168,-0.027682,0.000003082,-0.0102236,0.000009127
10,1574295467.26334,1574295468.93001,0,0,-10,-0.004293,0.00000495,-0.0463464,0.000002074,0.002208,0.000003082
11,1574295476.17557,1574295477.84198,0,0,-10.5,-0.0055072,0.000001483,-0.0890148,0.000001924,-0.0197648,0.000007396
12,1574295486.96276,1574295488.62876,0,0,-11,-0.0072598,0.000003271,-0.1448104,0.000004506,-0.0789942,0.000013864
13,1574295493.43781,1574295495.10482,0,0,-11.5,-0.0080838,0.000003564,-0.1750836,0.000002608,-0.1274966,0.000022678
14,1574295502.69571,1574295504.36267,0,0,-12,-0.0083304,0.000001517,-0.1613338,0.000001304,-0.1570774,0.000003578
15,1574295509.50969,1574295511.17695,0,0,-12.5,-0.009341,0.000002236,-0.1312938,0.000004764,-0.1747514,0.000001517
16,1574295518.72907,1574295520.39495,0,0,-13,-0.0105704,0.000000894,-0.1054382,0.000002387,-0.1921026,0.000003209
17,1574295524.80711,1574295526.91233,0,0,-13.5,-0.0106796,0.000000894,-0.0800448,0.00000502,-0.21086,0
18,1574295533.56326,1574295535.23086,0,0,-14,-0.0096884,0.000001949,-0.039767,0.000004637,-0.220292,0.000004472
19,1574295539.67833,1574295541.34597,0,0,-14.5,-0.0091498,0.000002168,0.0088944,0.000009017,-0.213692,0.000008367
20,1574295548.31682,1574295549.98504,0,0,-15,-0.0097636,0.000001673,0.051956,0.000002121,-0.198354,0.000008944
21,1574295554.66751,1574295556.74651,0,0,-15.5,-0.0116572,0.000006058,0.10223,0.000008573,-0.1620466,0.000005595
22,1574295564.04109,1574295565.70757,0,0,-16,-0.0109868,0.000007694,0.1615438,0.000003701,-0.080471,0.000003674
23,1574295571.18606,1574295572.85371,0,0,-16.5,-0.0069796,0.00000532,0.1995188,0.000004324,-0.0042558,0.0000137
24,1574295581.17026,1574295582.83817,0,0,-17,-0.0039394,0.000002702,0.1782896,0.000001517,0.011934,0.000003082
25,1574295587.477,1574295589.14309,0,0,-17.5,-0.001411,0.000001414,0.1161224,0.000007829,-0.0003264,0.000003782
26,1574295595.38674,1574295597.05307,0,0,-18,0.0002208,0.000000447,0.0682214,0.000000894,-0.0191082,0.000001095
27,1574295602.07514,1574295603.74246,0,0,-18.5,0.0013024,0.00000305,0.03863,0.000002915,-0.0377808,0.000006535
28,1574295609.68346,1574295611.35029,0,0,-19,0.0017374,0.000001517,0.0265866,0.00000114,-0.0496632,0.000004324
29,1574295616.36553,1574295618.03264,0,0,-19.5,0.0018216,0.00000251,0.0172956,0.000001517,-0.064703,0.000003742
30,1574295625.0709,1574295626.73796,0,0,-20,0.0015866,0.000002074,0.0134678,0.000001095,-0.075516,0.000009434
31,1574295630.94277,1574295632.60958,0,0,-20.5,0.0010474,0.000003578,0.0105516,0.000001673,-0.0890674,0.00000305
32,1574295638.16789,1574295639.8351,0,0,-21,-0.0001144,0.000003912,0.0080346,0.000000548,-0.109682,0.000006042
33,1574295644.20091,1574295645.86643,0,0,-21.5,-0.0019738,0.00000497,0.0062442,0.000001095,-0.135894,0.000006364
34,1574295652.27228,1574295653.94024,0,0,-22,-0.005516,0.000011895,0.0046166,0.000002966,-0.1778438,0.00000795
35,1574295661.25637,1574295663.36125,0,0,-22.5,-0.0098428,0.000018075,0.0035298,0.000002588,-0.223578,0.000023875
36,1574295670.72466,1574295672.39264,0,0,-23,-0.016871,0.000008456,0.002482,0.000001225,-0.293264,0.000008944
37,1574295680.10616,1574295681.77297,0,0,-23.5,-0.0264276,0.000016712,0.0017518,0.000003114,-0.384392,0.000017889
38,1574295687.73689,1574295689.40326,0,0,-24,-0.038806,0.000041219,0.0017404,0.000005128,-0.500548,0.0000249
