cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574295826.0089,1574295828.12869,0,0,-5,-0.007982,0.000001871,-0.0058284,0.000002191,-0.1368222,0.000001304
1,1574295833.5294,1574295835.19557,0,0,-5.5,-0.010048,0.000002121,-0.0068144,0.000001673,-0.123174,0.000004
2,1574295841.19685,1574295842.86451,0,0,-6,-0.0124856,0.000000548,-0.0076132,0.000001304,-0.1073958,0.000002683
3,1574295847.59871,1574295849.26657,0,0,-6.5,-0.0136944,0.000000894,-0.007795,0.000001225,-0.0989312,0.000009859
4,1574295855.78041,1574295857.44821,0,0,-7,-0.0141344,0.000000548,-0.007642,0.000000707,-0.0922264,0.000007021
5,1574295864.02122,1574295865.68761,0,0,-7.5,-0.0129526,0.00000114,-0.007075,0.000003162,-0.0889464,0.000005367
6,1574295872.20261,1574295873.87107,0,0,-8,-0.0102348,0.000002588,-0.00626,0.000001581,-0.0880738,0.00000502
7,1574295879.06844,1574295880.73485,0,0,-8.5,-0.0043362,0.000001483,-0.0048702,0.000001304,-0.0884888,0.000003633
8,1574295888.12384,1574295889.79109,0,0,-9,0.0044016,0.000001342,-0.003231,0.000001871,-0.0896922,0.000004494
9,1574295895.3931,1574295897.06071,0,0,-9.5,0.0189724,0.000000894,-0.0009434,0.000002074,-0.091419,0.000006325
10,1574295904.18552,1574295905.85204,0,0,-10,0.0388558,0.000002168,0.0020688,0.00000228,-0.0928858,0.000009094
11,1574295913.35287,1574295915.01937,0,0,-10.5,0.061972,0.00000255,0.0071766,0.000005367,-0.0905902,0.000012438
12,1574295922.42434,1574295924.09214,0,0,-11,0.0778836,0.00000114,0.0140282,0.000007294,-0.0808338,0.000009039
13,1574295929.30405,1574295930.972,0,0,-11.5,0.0899718,0.000003271,0.0169722,0.000004764,-0.071612,0.000004848
14,1574295937.17594,1574295938.84426,0,0,-12,0.0980888,0.000001483,0.0103082,0.000000837,-0.0702196,0.000005941
15,1574295944.05511,1574295945.72294,0,0,-12.5,0.104486,0.000001225,-0.0018004,0.00000114,-0.0741686,0.000001673
16,1574295951.98605,1574295953.65221,0,0,-13,0.1074786,0.00000114,-0.01385,0.000003317,-0.0825504,0.000000894
17,1574295959.00479,1574295960.67249,0,0,-13.5,0.1064632,0.000001924,-0.020045,0.000006403,-0.0907348,0.000010941
18,1574295967.83348,1574295969.50177,0,0,-14,0.101351,0.000003317,-0.021307,0.00001077,-0.0999098,0.000017992
19,1574295975.27942,1574295976.94634,0,0,-14.5,0.0946338,0.000001304,-0.0162792,0.000018033,-0.1049482,0.000006907
20,1574295986.81654,1574295988.4835,0,0,-15,0.0854928,0.000000837,-0.0062694,0.000004159,-0.105527,0.000010724
21,1574295993.28301,1574295994.9498,0,0,-15.5,0.0727832,0.000002864,0.0055326,0.000001949,-0.1010638,0.000005215
22,1574296002.08916,1574296003.75566,0,0,-16,0.0553176,0.000001517,0.0178752,0.000009783,-0.0907842,0.000002588
23,1574296008.4596,1574296010.12808,0,0,-16.5,0.038352,0.000003464,0.0288292,0.00001033,-0.0774766,0.000002966
24,1574296016.94911,1574296018.61713,0,0,-17,0.0262174,0.00000114,0.0335424,0.000008385,-0.0692852,0.000002588
25,1574296023.11413,1574296024.78161,0,0,-17.5,0.0157314,0.00000114,0.026513,0.000002121,-0.0683218,0.000006419
26,1574296031.04482,1574296032.71038,0,0,-18,0.0105686,0.00000114,0.018343,0.000001581,-0.0712012,0.000004764
27,1574296037.39435,1574296039.06036,0,0,-18.5,0.0075054,0.000003209,0.0137262,0.000001095,-0.0746576,0.000001673
28,1574296044.44221,1574296046.10999,0,0,-19,0.0056448,0.000001789,0.0114592,0.00000249,-0.0784656,0.000006348
29,1574296050.4092,1574296052.07499,0,0,-19.5,0.0042994,0.000002302,0.0100786,0.000003209,-0.0832742,0.000010592
30,1574296058.28109,1574296059.9482,0,0,-20,0.003121,0.000002739,0.0089588,0.000002864,-0.0902232,0.00000676
31,1574296065.70574,1574296067.37234,0,0,-20.5,0.0017322,0.000006419,0.0077264,0.000002408,-0.1021636,0.000016562
32,1574296075.05644,1574296076.72416,0,0,-21,0.000193,0.000001414,0.0065792,0.000002775,-0.1183996,0.000006656
33,1574296081.57447,1574296083.24109,0,0,-21.5,-0.001797,0.000003317,0.00552,0.000001225,-0.1402274,0.000005413
34,1574296090.21088,1574296091.87768,0,0,-22,-0.0050226,0.000012621,0.0043898,0.000005718,-0.17441,0.00002495
35,1574296100.53985,1574296102.64498,0,0,-22.5,-0.009348,0.000010198,0.0034244,0.000001673,-0.217418,0.000004472
36,1574296108.14692,1574296109.81493,0,0,-23,-0.015662,0.000008944,0.002496,0.000007483,-0.277754,0.000027019
37,1574296114.42236,1574296116.0906,0,0,-23.5,-0.0241732,0.000013554,0.0017188,0.000003271,-0.35668,0.000018708
38,1574296129.59825,1574296131.26499,0,0,-24,-0.038457,0.000012981,0.001471,0.000005831,-0.48694,0.00011619
