cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574286051.08872,1574286053.20845,0,0,-5,-0.0066092,0.000007085,-0.0024658,0.00000497,-0.139414,0.000026542
1,1574286063.45147,1574286065.11825,0,0,-5.5,-0.010679,0.000001,-0.0040452,0.000001304,-0.1195288,0.000008871
2,1574286071.6184,1574286073.28556,0,0,-6,-0.013241,0.000167705,-0.0045644,0.000198792,-0.110356,0.000196264
3,1574286079.33473,1574286081.00202,0,0,-6.5,-0.0157334,0.000111024,-0.0043936,0.000129934,-0.1045498,0.000135634
4,1574286087.42744,1574286089.09527,0,0,-7,-0.0175644,0.000003912,-0.0035982,0.00000507,-0.103709,0.000005701
5,1574286094.03238,1574286095.69993,0,0,-7.5,-0.0193504,0.000168041,-0.002187,0.00019957,-0.107245,0.000198454
6,1574286102.15407,1574286103.82199,0,0,-8,-0.0212844,0.00017142,0.0009698,0.000201142,-0.1163548,0.000200204
7,1574286108.82499,1574286110.492,0,0,-8.5,-0.0234828,0.000169607,0.0060422,0.000199165,-0.1298788,0.000203636
8,1574286116.37142,1574286118.03849,0,0,-9,-0.0259838,0.000169507,0.0125594,0.00020147,-0.1448084,0.000192325
9,1574286123.94842,1574286125.61509,0,0,-9.5,-0.0302084,0.000034019,0.025007,0.000045293,-0.1665322,0.000036928
10,1574286131.60578,1574286133.27254,0,0,-10,-0.0369102,0.000163486,0.0519522,0.000198676,-0.1910556,0.000199813
11,1574286138.32796,1574286139.99561,0,0,-10.5,-0.0413956,0.000168502,0.0929906,0.000204604,-0.1848682,0.000203656
12,1574286148.08385,1574286149.7516,0,0,-11,-0.0487518,0.000002588,0.1615458,0.00001006,-0.1224326,0.000007635
13,1574286157.75101,1574286159.85498,0,0,-11.5,-0.0571724,0.000002702,0.219864,0.000203544,-0.0528022,0.000012458
14,1574286167.91782,1574286169.58575,0,0,-12,-0.0600386,0.000011437,0.221874,0.000005477,-0.000892,0.000006205
15,1574286175.02216,1574286176.68989,0,0,-12.5,-0.0597064,0.000004336,0.205526,0.000005477,0.0347502,0.000012498
16,1574286183.91592,1574286185.99471,0,0,-13,-0.0555246,0.000004393,0.1676124,0.000008325,0.0535042,0.000029945
17,1574286190.79231,1574286192.45844,0,0,-13.5,-0.0472846,0.000173157,0.115088,0.000215943,0.064087,0.000201839
18,1574286199.27378,1574286200.93833,0,0,-14,-0.0392928,0.000004324,0.0789952,0.000009731,0.0736254,0.000002074
19,1574286208.56474,1574286210.23213,0,0,-14.5,-0.0282302,0.00017321,0.037905,0.000203043,0.0818654,0.000202641
20,1574286217.09,1574286218.75657,0,0,-15,-0.0143078,0.000172883,-0.008553,0.000200866,0.0801992,0.000199837
21,1574286225.3138,1574286226.98108,0,0,-15.5,0.0024144,0.000174992,-0.0733886,0.00021164,0.0479348,0.000210534
22,1574286238.50692,1574286240.17491,0,0,-16,0.0126622,0.000171737,-0.15836,0.000201876,-0.0437414,0.000202184
23,1574286246.03909,1574286248.14274,0,0,-16.5,0.0132452,0.000006907,-0.224494,0.000093167,-0.1422408,0.000020801
24,1574286254.83516,1574286256.50258,0,0,-17,0.0111258,0.000012677,-0.219412,0.000023875,-0.1844802,0.000017254
25,1574286262.61652,1574286264.6963,0,0,-17.5,0.0091108,0.000174312,-0.1399902,0.000201263,-0.1742876,0.000200966
26,1574286271.81873,1574286273.48584,0,0,-18,0.0079522,0.000173429,-0.075221,0.000205166,-0.152049,0.000213262
27,1574286278.8789,1574286280.54457,0,0,-18.5,0.0071518,0.000172067,-0.0372002,0.000207388,-0.1332428,0.000204174
28,1574286297.73303,1574286299.40066,0,0,-19,0.0065554,0.00000114,-0.0157774,0.000001517,-0.1197196,0.000002608
29,1574286306.50809,1574286308.17521,0,0,-19.5,0.005709,0.000133056,-0.0026386,0.000160132,-0.1111272,0.0001595
30,1574286315.35725,1574286317.02416,0,0,-20,0.0049924,0.000177511,0.0026922,0.00020528,-0.109953,0.000205165
31,1574286321.87222,1574286323.53876,0,0,-20.5,0.004117,0.000004301,0.0057298,0.00000545,-0.1145986,0.000006189
32,1574286329.66777,1574286331.33265,0,0,-21,0.0027116,0.00000503,0.0069188,0.000001643,-0.1276982,0.000004324
33,1574286336.84469,1574286338.51167,0,0,-21.5,0.0011338,0.000012677,0.0070574,0.000002074,-0.1448156,0.000007021
34,1574286344.70709,1574286346.37397,0,0,-22,-0.001912,0.000003808,0.0067254,0.000000894,-0.177868,0.000007036
35,1574286351.64121,1574286353.74614,0,0,-22.5,-0.0056662,0.00017933,0.0061272,0.000203596,-0.216728,0.000202534
36,1574286361.48317,1574286363.15072,0,0,-23,-0.0117884,0.000164106,0.005414,0.000203537,-0.278818,0.000208014
37,1574286369.21247,1574286370.87958,0,0,-23.5,-0.0204836,0.000187989,0.0047794,0.000204273,-0.364874,0.00021019
38,1574286378.86789,1574286380.53579,0,0,-24,-0.0318938,0.000030153,0.0048262,0.000001789,-0.477048,0.000004472
