cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574286505.95542,1574286508.0757,0,0,-5,-0.0068946,0.000107027,-0.002507,0.000124726,-0.137562,0.000169725
1,1574286513.92852,1574286515.59646,0,0,-5.5,-0.0107502,0.000075998,-0.0041112,0.000091012,-0.1165926,0.000094751
2,1574286521.99018,1574286523.65598,0,0,-6,-0.013976,0.000174449,-0.0049676,0.000205958,-0.1026332,0.00021174
3,1574286529.01248,1574286530.67803,0,0,-6.5,-0.0170988,0.000175086,-0.005298,0.000205722,-0.0927202,0.00020564
4,1574286537.78003,1574286539.44653,0,0,-7,-0.0197424,0.000207423,-0.005364,0.000244411,-0.0877054,0.000243947
5,1574286545.48107,1574286547.1476,0,0,-7.5,-0.0228562,0.000152511,-0.0049734,0.000178668,-0.0843324,0.000174759
6,1574286553.98264,1574286555.64988,0,0,-8,-0.027191,0.000174418,-0.0044042,0.000206167,-0.0826544,0.000205512
7,1574286563.1771,1574286564.845,0,0,-8.5,-0.03461,0.000000707,-0.0033558,0.000001304,-0.0814946,0.000005505
8,1574286571.81191,1574286573.47769,0,0,-9,-0.0451994,0.000001517,-0.0024324,0.00000114,-0.0806326,0.000002302
9,1574286580.3646,1574286582.03327,0,0,-9.5,-0.060711,0.000176656,-0.0017676,0.000206503,-0.0793536,0.000203215
10,1574286594.18831,1574286595.85424,0,0,-10,-0.084422,0.000176092,-0.001451,0.000204607,-0.0766368,0.000204733
11,1574286601.7174,1574286603.38394,0,0,-10.5,-0.1064068,0.000164468,-0.0023086,0.000191994,-0.0731842,0.00020008
12,1574286611.12318,1574286612.79009,0,0,-11,-0.1232246,0.000000894,-0.0074218,0.000003271,-0.0740398,0.000002588
13,1574286618.6674,1574286620.33285,0,0,-11.5,-0.1270852,0.000001789,-0.020413,0.000007583,-0.092159,0.000003937
14,1574286629.4419,1574286631.1093,0,0,-12,-0.127484,0.000097837,-0.03293,0.000099151,-0.1167062,0.000109497
15,1574286636.52952,1574286638.19757,0,0,-12.5,-0.1289162,0.00017602,-0.0325522,0.000215969,-0.1386102,0.000205065
16,1574286645.91365,1574286647.58059,0,0,-13,-0.131858,0.00017397,-0.0118344,0.000200012,-0.1464408,0.000204725
17,1574286653.28947,1574286654.95568,0,0,-13.5,-0.1330708,0.00000507,0.0258002,0.000024884,-0.1295366,0.000004159
18,1574286662.51759,1574286664.18535,0,0,-14,-0.1313224,0.000174196,0.0579244,0.00020222,-0.0991354,0.000203919
19,1574286687.72475,1574286689.39257,0,0,-14.5,-0.1276672,0.000177133,0.0826786,0.000213018,-0.0611068,0.000209952
20,1574286695.62975,1574286697.29728,0,0,-15,-0.1188096,0.000176888,0.083429,0.000204701,-0.0292602,0.000207994
21,1574286701.97466,1574286703.64117,0,0,-15.5,-0.105655,0.000176095,0.060409,0.000200259,-0.0293664,0.000204383
22,1574286711.06562,1574286712.73173,0,0,-16,-0.0761304,0.000171531,0.0170646,0.000199061,-0.0505438,0.000201918
23,1574286719.4935,1574286721.15785,0,0,-16.5,-0.0519406,0.000109276,-0.005543,0.000122607,-0.0670522,0.000119051
24,1574286736.91976,1574286738.58779,0,0,-17,-0.030291,0.000103429,-0.0109662,0.000115212,-0.0761754,0.000117208
25,1574286744.63396,1574286746.30189,0,0,-17.5,-0.016352,0.00017499,-0.003559,0.000206837,-0.0773216,0.000202758
26,1574286755.65983,1574286757.32673,0,0,-18,-0.0071968,0.000175099,0.0047836,0.000207739,-0.0765232,0.000204073
27,1574286766.9424,1574286768.60981,0,0,-18.5,-0.0030374,0.000173092,0.008183,0.000202291,-0.0766968,0.000193041
28,1574286780.18998,1574286781.85703,0,0,-19,-0.000139,0.000175535,0.010131,0.000206289,-0.0781566,0.000204011
29,1574286792.49477,1574286794.16184,0,0,-19.5,0.001278,0.000178331,0.0108116,0.000206072,-0.081259,0.000196312
30,1574286805.46922,1574286807.13613,0,0,-20,0.0019376,0.000177558,0.0108888,0.0002073,-0.0874864,0.000206457
31,1574286812.43957,1574286814.10652,0,0,-20.5,0.0018766,0.00010716,0.0104908,0.00012179,-0.0980388,0.000130848
32,1574286821.69753,1574286823.36469,0,0,-21,0.0011264,0.000067656,0.0098294,0.000082087,-0.1134072,0.00007992
33,1574286829.41156,1574286831.07861,0,0,-21.5,-0.0003138,0.000007694,0.0090826,0.000002302,-0.1347322,0.000009011
34,1574286837.63882,1574286839.30617,0,0,-22,-0.0033172,0.000014167,0.008156,0.000017706,-0.170861,0.000013096
35,1574286845.01402,1574286847.11954,0,0,-22.5,-0.0070992,0.000013312,0.007493,0.000003082,-0.211398,0.000220159
36,1574286853.13896,1574286854.80646,0,0,-23,-0.0127438,0.000083293,0.0067668,0.000108898,-0.267788,0.000101833
37,1574286860.1604,1574286861.8274,0,0,-23.5,-0.0206034,0.000192003,0.0061972,0.000207532,-0.343206,0.000198822
38,1574286868.51347,1574286870.1811,0,0,-24,-0.031762,0.000030323,0.0062634,0.000021279,-0.449212,0.000046043
