cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574286991,1574286993,0,0,-5,-0.0080968,0.000001789,-0.0039614,0.000001517,-0.1412748,0.000028709
1,1574286999,1574287001,0,0,-5.5,-0.0113778,0.000001095,-0.0055572,0.000002387,-0.1214188,0.000007791
2,1574287008,1574287010,0,0,-6,-0.0145342,0.000007791,-0.006577,0.000001,-0.1046062,0.000035181
3,1574287016,1574287018,0,0,-6.5,-0.0165738,0.000001483,-0.0068812,0.000002683,-0.0953062,0.000013255
4,1574287026,1574287028,0,0,-7,-0.0177608,0.000000837,-0.0068356,0.000001949,-0.0905218,0.00001333
5,1574287035,1574287037,0,0,-7.5,-0.018561,0.000005477,-0.006452,0.000003162,-0.0874782,0.000030178
6,1574287046,1574287048,0,0,-8,-0.0187794,0.000001517,-0.0057782,0.000001789,-0.0863926,0.000005079
7,1574287054,1574287056,0,0,-8.5,-0.0185534,0.000001949,-0.0046876,0.00000251,-0.0862358,0.000013405
8,1574287066,1574287068,0,0,-9,-0.017962,0.000000707,-0.0033634,0.00000114,-0.0866136,0.000017053
9,1574287079,1574287081,0,0,-9.5,-0.0170996,0.000002191,-0.0018726,0.00000114,-0.0870306,0.000015947
10,1574287088,1574287090,0,0,-10,-0.015974,0.000001225,-0.0002726,0.000001949,-0.0874806,0.000021185
11,1574287097,1574287098,0,0,-10.5,-0.014774,0.000001225,0.0011822,0.000001304,-0.0878334,0.000005899
12,1574287106,1574287108,0,0,-11,-0.0133502,0.000001304,0.0026708,0.000001304,-0.087997,0.00003527
13,1574287114,1574287115,0,0,-11.5,-0.0121166,0.000001817,0.0037536,0.000002074,-0.0879418,0.000003701
14,1574287122,1574287124,0,0,-12,-0.0107966,0.000001517,0.0046654,0.000001342,-0.0876202,0.000002775
15,1574287131,1574287133,0,0,-12.5,-0.009535,0.000000707,0.005316,0.000003808,-0.0871476,0.000001517
16,1574287142,1574287144,0,0,-13,-0.0082062,0.000001924,0.0057488,0.000000447,-0.0864348,0.000029567
17,1574287150,1574287151,0,0,-13.5,-0.0068482,0.000001095,0.0060156,0.00000114,-0.0856238,0.000005541
18,1574287158,1574287160,0,0,-14,-0.0054954,0.000001517,0.0061976,0.00000114,-0.084824,0.000012349
19,1574287165,1574287167,0,0,-14.5,-0.0042194,0.000000548,0.0063242,0.000001095,-0.0839132,0.000019136
20,1574287174,1574287175,0,0,-15,-0.002956,0.000001414,0.0064944,0.000002881,-0.0829082,0.000004324
21,1574287181,1574287183,0,0,-15.5,-0.0016692,0.000001483,0.0067768,0.000001483,-0.081882,0.000005788
22,1574287197,1574287199,0,0,-16,-0.0008472,0.00000228,0.0069944,0.000000548,-0.081112,0.000013802
23,1574287206,1574287207,0,0,-16.5,0.0002604,0.000001517,0.0074694,0.000000894,-0.0799062,0.000027289
24,1574287215,1574287216,0,0,-17,0.0010536,0.000002608,0.0079614,0.000002608,-0.0790658,0.000007259
25,1574287223,1574287224,0,0,-17.5,0.0017724,0.000002608,0.0085946,0.000004159,-0.078342,0.000006042
26,1574287232,1574287234,0,0,-18,0.0022012,0.00000249,0.0090994,0.000001517,-0.078209,0.000001225
27,1574287240,1574287242,0,0,-18.5,0.002404,0.000003674,0.0094264,0.00000305,-0.078908,0.000033407
28,1574287250,1574287252,0,0,-19,0.0023628,0.000003271,0.009562,0.000002236,-0.081033,0.000006124
29,1574287257,1574287259,0,0,-19.5,0.0020768,0.000001789,0.0093346,0.000004775,-0.085192,0.000013454
30,1574287270,1574287271,0,0,-20,0.0015932,0.000004764,0.008904,0.00000255,-0.0916512,0.00000531
31,1574287281,1574287282,0,0,-20.5,0.0009208,0.000007362,0.0082794,0.000001817,-0.100692,0.000020579
32,1574287411,1574287413,0,0,-21,-0.0002862,0.000004087,0.0073644,0.000001342,-0.1163442,0.000003114
33,1574287419,1574287420,0,0,-21.5,-0.0019858,0.000007596,0.0064708,0.00000295,-0.1373356,0.000012542
34,1574287427,1574287428,0,0,-22,-0.0049128,0.000004494,0.005498,0.000000707,-0.1701718,0.000014078
35,1574287436,1574287438,0,0,-22.5,-0.0091692,0.000001789,0.0046202,0.000002775,-0.214276,0.000021909
36,1574287444,1574287446,0,0,-23,-0.0147282,0.000011476,0.0038372,0.000006419,-0.268926,0.000019494
37,1574287452,1574287454,0,0,-23.5,-0.0236002,0.000052822,0.0031812,0.000000837,-0.352572,0.000039623
38,1574287462,1574287463,0,0,-24,-0.035796,0.000036097,0.0031078,0.000000837,-0.46587,0.000012247
