cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574292365.97965,1574292368.0998,0,0,-5,-0.006485,0.000003536,-0.0050084,0.00000114,-0.1276928,0.000008408
1,1574292375.03288,1574292376.70042,0,0,-5.5,-0.0090514,0.000001673,-0.0067096,0.000000894,-0.1100728,0.00000497
2,1574292382.74553,1574292384.41299,0,0,-6,-0.0115716,0.000003362,-0.0080582,0.000001789,-0.092186,0.00000255
3,1574292389.54682,1574292391.21269,0,0,-6.5,-0.0131122,0.000001095,-0.0089966,0.00000114,-0.0790286,0.000003782
4,1574292397.27438,1574292398.94177,0,0,-7,-0.013852,0.000000707,-0.0101048,0.000002168,-0.0663444,0.000001949
5,1574292403.53013,1574292405.19692,0,0,-7.5,-0.0135248,0.000003962,-0.0115852,0.000001304,-0.054934,0.000001
6,1574292411.25768,1574292412.92472,0,0,-8,-0.0120366,0.00000251,-0.014157,0.000001581,-0.0415056,0.000004278
7,1574292418.26303,1574292419.93198,0,0,-8.5,-0.0083748,0.000004087,-0.020108,0.000001581,-0.0211308,0.000001643
8,1574292428.35328,1574292430.01901,0,0,-9,-0.0045642,0.00000249,-0.0274472,0.000000837,-0.0043414,0.000003362
9,1574292435.83005,1574292437.49635,0,0,-9.5,0.0013816,0.000002966,-0.044512,0.00000255,0.0179198,0.000004266
10,1574292444.38108,1574292446.04672,0,0,-10,0.0053416,0.000001517,-0.0800284,0.000001673,0.0231058,0.000007855
11,1574292451.61581,1574292453.28415,0,0,-10.5,0.0039728,0.000001304,-0.143295,0.000003162,-0.0322756,0.000004037
12,1574292461.74191,1574292463.84461,0,0,-11,0.0003262,0.000002588,-0.21408,0,-0.1256786,0.000001517
13,1574292470.4547,1574292472.55983,0,0,-11.5,-0.0038798,0.000001304,-0.222488,0.000004472,-0.208316,0.000008944
14,1574292480.24232,1574292481.90953,0,0,-12,-0.004477,0.000001871,-0.183668,0.000004472,-0.22453,0.00001
15,1574292487.9691,1574292490.04833,0,0,-12.5,-0.005267,0.000001581,-0.1225758,0.000001095,-0.232804,0.000008944
16,1574292496.37151,1574292498.03975,0,0,-13,-0.0070364,0.000000894,-0.078146,0.000001871,-0.233802,0.000004472
17,1574292503.75279,1574292505.42031,0,0,-13.5,-0.0091026,0.000001673,-0.030562,0.000005431,-0.233578,0.000008367
18,1574292517.50572,1574292519.1721,0,0,-14,-0.0092512,0.000002049,0.0123716,0.000001517,-0.231848,0.000004472
19,1574292534.55428,1574292536.22202,0,0,-14.5,-0.0092356,0.00000114,0.0499248,0.000001643,-0.226898,0.000004472
20,1574292548.6092,1574292550.27588,0,0,-15,-0.0117152,0.00001467,0.096556,0.000002915,-0.211018,0.000049699
21,1574292554.92261,1574292557.00286,0,0,-15.5,-0.0151712,0.000008526,0.149299,0.000017861,-0.1679884,0.000021443
22,1574292565.52023,1574292567.62382,0,0,-16,-0.0147284,0.00000445,0.211334,0.000008944,-0.0812376,0.000016935
23,1574292573.15861,1574292574.82567,0,0,-16.5,-0.0103224,0.000009711,0.260974,0.000005477,0.0127694,0.000006229
24,1574292583.0709,1574292584.73825,0,0,-17,-0.0057838,0.000003194,0.233392,0.000004472,0.0431088,0.00000545
25,1574292590.76094,1574292592.83985,0,0,-17.5,-0.0024418,0.000003962,0.1436176,0.000005899,0.0236274,0.000009711
26,1574292599.72376,1574292601.39107,0,0,-18,-0.0007252,0.000002168,0.0881102,0.00000545,0.0007206,0.000007232
27,1574292610.95954,1574292612.62689,0,0,-18.5,0.0004462,0.000001304,0.0524938,0.000000447,-0.0213748,0.00000502
28,1574292618.91453,1574292620.58177,0,0,-19,0.001089,0.000001581,0.0317844,0.000001342,-0.0411236,0.000006189
29,1574292627.01685,1574292628.68304,0,0,-19.5,0.001219,0.000003391,0.0222714,0.00000114,-0.055368,0.000004848
30,1574292636.57506,1574292638.24077,0,0,-20,0.000944,0.000002236,0.0152698,0.000002168,-0.0728208,0.00000634
31,1574292644.10342,1574292645.77151,0,0,-20.5,0.000418,0.000003391,0.0119332,0.000001304,-0.0872296,0.000011675
32,1574292651.68393,1574292653.34881,0,0,-21,-0.0008334,0.000004393,0.0088604,0.000001673,-0.1106312,0.000006099
33,1574292658.79358,1574292660.46076,0,0,-21.5,-0.0024656,0.00000532,0.0071156,0.00000305,-0.1343118,0.00000545
34,1574292668.30829,1574292669.97504,0,0,-22,-0.0054976,0.000013759,0.0054898,0.000003114,-0.1714766,0.000026539
35,1574292676.73462,1574292678.83964,0,0,-22.5,-0.0100182,0.00000634,0.0042582,0.000003033,-0.220042,0.000008367
36,1574292685.97653,1574292687.64502,0,0,-23,-0.0168542,0.000008167,0.0031812,0.000003421,-0.28822,0.000012247
37,1574292693.81376,1574292695.48059,0,0,-23.5,-0.0254314,0.000023384,0.0024584,0.000002302,-0.370492,0.0000249
38,1574292702.93812,1574292704.60562,0,0,-24,-0.0362094,0.000029168,0.0023382,0.000001789,-0.471444,0.000024083
