cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574292850.33468,1574292852.45429,0,0,-5,-0.0067708,0.000002683,-0.0052096,0.000002702,-0.1441466,0.000013164
1,1574292858.51759,1574292860.18628,0,0,-5.5,-0.00987,0.000001225,-0.0068364,0.000004159,-0.1236424,0.000012178
2,1574292866.33292,1574292868.00033,0,0,-5.6,-0.0123946,0.00000114,-0.007767,0.000000707,-0.10706,0.000005196
3,1574292959.49735,1574292961.1655,0,0,-6.5,-0.013468,0.000001732,-0.0080066,0.00000114,-0.0984424,0.000002191
4,1574292968.31857,1574292969.98638,0,0,-7,-0.0133784,0.000000894,-0.0078416,0.000000894,-0.0925546,0.000001817
5,1574292974.74077,1574292976.40707,0,0,-7.5,-0.0114468,0.000001304,-0.0072856,0.000000894,-0.0902098,0.000004207
6,1574292983.31217,1574292984.97826,0,0,-8,-0.0077946,0.000002702,-0.006461,0.000001871,-0.090026,0.000007036
7,1574292991.42025,1574292993.08774,0,0,-8.5,-0.0011322,0.000001643,-0.0052174,0.000001673,-0.0911312,0.000008106
8,1574292999.02628,1574293000.69338,0,0,-9,0.008274,0.000001225,-0.003772,0.000001414,-0.0930648,0.000003114
9,1574293007.82528,1574293009.4924,0,0,-9.5,0.024651,0.000002915,-0.0016952,0.000001304,-0.096454,0.000006403
10,1574293022.65484,1574293024.32234,0,0,-10,0.0537748,0.000004025,0.001705,0.000002449,-0.1024356,0.000003578
11,1574293028.9823,1574293030.64687,0,0,-10.5,0.0820644,0.00000498,0.0061994,0.000003209,-0.1089958,0.000010183
12,1574293038.03809,1574293039.70478,0,0,-11,0.0998592,0.00000228,0.0133862,0.000003633,-0.1118672,0.000014007
13,1574293045.19665,1574293046.86299,0,0,-11.5,0.106293,0.000003391,0.026136,0.000011832,-0.1052676,0.000008414
14,1574293055.3263,1574293056.99388,0,0,-12,0.1078416,0.00000114,0.0386592,0.000008319,-0.0951254,0.00000945
15,1574293064.36719,1574293066.03472,0,0,-12.5,0.1096038,0.000000447,0.041945,0.000004301,-0.0892666,0.000002702
16,1574293072.21005,1574293073.87724,0,0,-13,0.1127898,0.000000837,0.0407462,0.000006261,-0.0852452,0.000003701
17,1574293079.06592,1574293080.73224,0,0,-13.5,0.115937,0.000001581,0.038008,0.000001581,-0.082906,0.000007874
18,1574293087.20257,1574293088.86859,0,0,-14,0.1183764,0.000000894,0.0361478,0.000004207,-0.0807672,0.000003271
19,1574293095.0142,1574293096.68127,0,0,-14.5,0.119728,0.000000707,0.0358892,0.000002387,-0.0777682,0.000006301
20,1574293103.18672,1574293104.85447,0,0,-15,0.1148206,0.000002702,0.0367882,0.000010035,-0.0711186,0.000002966
21,1574293112.27874,1574293113.94645,0,0,-15.5,0.1020702,0.000001095,0.0374382,0.00001152,-0.0643458,0.00000531
22,1574293128.22103,1574293129.88839,0,0,-16,0.0787706,0.000002608,0.035518,0.000011683,-0.0589484,0.000007925
23,1574293135.59825,1574293137.2665,0,0,-16.5,0.05174,0.000005916,0.0269146,0.000011415,-0.0612622,0.000005975
24,1574293144.49818,1574293146.16662,0,0,-17,0.0339402,0.000001924,0.0175508,0.000012755,-0.0669018,0.000010354
25,1574293151.86179,1574293153.52765,0,0,-17.5,0.0229296,0.000000894,0.012349,0.000007176,-0.0712978,0.000004919
26,1574293162.07754,1574293163.74352,0,0,-18,0.0149488,0.000003271,0.0100246,0.000005128,-0.0747554,0.000003507
27,1574293170.49165,1574293172.15894,0,0,-18.5,0.0107386,0.000001673,0.0095612,0.000002775,-0.0771972,0.000001789
28,1574293181.03084,1574293182.69862,0,0,-19,0.007769,0.000001225,0.009423,0.000000707,-0.080456,0.000001414
29,1574293189.09207,1574293190.75885,0,0,-19.5,0.0059744,0.000002966,0.0092196,0.000001673,-0.084674,0.000002646
30,1574293200.56442,1574293202.23202,0,0,-20,0.0044306,0.000000894,0.0087802,0.000002588,-0.0918198,0.000002387
31,1574293207.97092,1574293209.63822,0,0,-20.5,0.0030726,0.000004393,0.0081274,0.00000305,-0.102362,0.000005477
32,1574293216.60602,1574293218.27412,0,0,-21,0.0016446,0.000003647,0.0073328,0.000002387,-0.1171608,0.000007918
33,1574293225.13026,1574293226.79685,0,0,-21.5,-0.0002484,0.000002302,0.0064606,0.00000114,-0.1385336,0.00000994
34,1574293233.57361,1574293235.23953,0,0,-22,-0.0037172,0.000005404,0.0053986,0.000001517,-0.1767262,0.000005541
35,1574293240.53762,1574293242.64317,0,0,-22.5,-0.0075928,0.000008319,0.004649,0.000002345,-0.216916,0.000011402
36,1574293250.44543,1574293252.11313,0,0,-23,-0.0135488,0.000017035,0.0038572,0.000001924,-0.275996,0.000005477
37,1574293257.31492,1574293258.98095,0,0,-23.5,-0.0217618,0.00001152,0.0032294,0.000005413,-0.354448,0.000021679
38,1574293265.33765,1574293267.00513,0,0,-24,-0.0359456,0.000035253,0.0032034,0.000007829,-0.48678,0.00007874
