cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574372117.8386,1574372119.95818,0,0,-5,-0.0073974,0.000079166,-0.0023802,0.000092329,-0.1327174,0.000103304
1,1574372131.91784,1574372133.58562,0,0,-5.5,-0.0102884,0.000159701,-0.0037272,0.00018046,-0.1152638,0.000183043
2,1574372141.6387,1574372143.30483,0,0,-6,-0.0128262,0.000133496,-0.0044356,0.000161234,-0.1015578,0.000159689
3,1574372148.75053,1574372150.41746,0,0,-6.5,-0.0148248,0.000154967,-0.0046632,0.000182696,-0.0923596,0.000182514
4,1574372157.98998,1574372159.65786,0,0,-7,-0.0161348,0.000154421,-0.0045198,0.000181234,-0.0870604,0.000182585
5,1574372164.44652,1574372166.11288,0,0,-7.5,-0.0168684,0.000154066,-0.0040214,0.000183135,-0.0842662,0.000186058
6,1574372172.79862,1574372174.46487,0,0,-8,-0.0169412,0.000000837,-0.0032566,0.000002074,-0.0833168,0.000012677
7,1574372180.02169,1574372181.69003,0,0,-8.5,-0.0167092,0.000154738,-0.0021434,0.000182585,-0.0833884,0.000186065
8,1574372190.02158,1574372191.68972,0,0,-9,-0.0161232,0.000145233,-0.0008878,0.000170642,-0.0837184,0.000172561
9,1574372197.54239,1574372199.20992,0,0,-9.5,-0.0150578,0.00000228,0.0008386,0.000001342,-0.0841738,0.000008319
10,1574372207.84635,1574372209.51253,0,0,-10,-0.0139072,0.000002387,0.0023974,0.000001949,-0.0846042,0.000003962
11,1574372216.43853,1574372218.10566,0,0,-10.5,-0.0126578,0.000156082,0.003814,0.000182243,-0.0849982,0.000181573
12,1574372224.742,1574372226.40927,0,0,-11,-0.0113386,0.000156196,0.0051142,0.000182917,-0.0850768,0.000182505
13,1574372233.36567,1574372235.03388,0,0,-11.5,-0.0099758,0.000000837,0.0062398,0.000001095,-0.0848342,0.00000497
14,1574372244.45363,1574372246.12032,0,0,-12,-0.0086576,0.00008803,0.0070684,0.000102556,-0.0846044,0.000099322
15,1574372253.82281,1574372255.4889,0,0,-12.5,-0.0072134,0.000155188,0.0076702,0.000184593,-0.084214,0.000183362
16,1574372265.15008,1574372266.81649,0,0,-13,-0.0060396,0.000124335,0.0080304,0.000143354,-0.0835606,0.000135055
17,1574372273.93464,1574372275.60161,0,0,-13.5,-0.0047434,0.000155207,0.00822,0.000183363,-0.0828636,0.000180807
18,1574372284.72642,1574372286.39343,0,0,-14,-0.0031256,0.000001517,0.0084412,0.000001304,-0.0817862,0.000001304
19,1574372291.44655,1574372293.11389,0,0,-14.5,-0.0015408,0.000156084,0.0084976,0.000182589,-0.0806634,0.000178821
20,1574372301.53432,1574372303.20018,0,0,-15,-0.0003364,0.000007057,0.0087042,0.000009176,-0.079701,0.000011853
21,1574372309.74975,1574372311.41707,0,0,-15.5,0.0008704,0.000155083,0.0088552,0.00018403,-0.0786182,0.00017879
22,1574372318.55035,1574372320.21774,0,0,-16,0.0018586,0.00015463,0.0091304,0.000184705,-0.077792,0.000184517
24,1574372380.04635,1574372381.71377,0,0,-16.5,0.0030394,0.00000445,0.0096686,0.000005639,-0.0765628,0.000009039
25,1574372516.02181,1574372517.68922,0,0,-17,0.0036896,0.000003209,0.010014,0.000008426,-0.0759496,0.000023234
26,1574372523.6296,1574372525.29788,0,0,-17.5,0.0043844,0.000156762,0.010511,0.0001884,-0.0753556,0.000189818
27,1574372534.52635,1574372536.19355,0,0,-18,0.004808,0.000066019,0.0109426,0.000081965,-0.0753492,0.000078843
28,1574372541.38201,1574372543.0499,0,0,-18.5,0.0049498,0.000156977,0.0111434,0.000188071,-0.076223,0.000189022
29,1574372550.51769,1574372552.18591,0,0,-19,0.0049358,0.000005541,0.0112254,0.000001673,-0.0786936,0.00000532
30,1574372557.23761,1574372558.90571,0,0,-19.5,0.0044908,0.000160138,0.0108562,0.000187963,-0.0831174,0.000182275
31,1574372567.38206,1574372569.04993,0,0,-20,0.0039456,0.000005367,0.0103968,0.000002387,-0.0900622,0.000007918
32,1574372574.02983,1574372575.69518,0,0,-20.5,0.000987,0.000012,0.0072336,0.000000894,-0.1031214,0.000009154
33,1574372584.4703,1574372586.13607,0,0,-21,-0.0006122,0.00001509,0.0062638,0.000001483,-0.1206092,0.00001988
34,1574372591.2137,1574372592.88122,0,0,-21.5,-0.0024672,0.000030012,0.0054282,0.000001095,-0.1401304,0.000007603
35,1574372599.76625,1574372601.43216,0,0,-22,-0.0065406,0.000029305,0.0042992,0.000002683,-0.1786258,0.000009884
36,1574372608.66162,1574372610.76718,0,0,-22.5,-0.0119544,0.000016994,0.0033616,0.000002302,-0.225996,0.000045056
37,1574372617.69399,1574372619.36172,0,0,-23,-0.0204234,0.00003726,0.0024252,0.000001924,-0.297124,0.000024083
38,1574372623.55835,1574372625.22516,0,0,-23.5,-0.0304066,0.000011908,0.0018494,0.000002408,-0.378728,0.000022804
39,1574372631.39778,1574372633.06556,0,0,-24,-0.0467214,0.000072238,0.0019448,0.000005541,-0.510776,0.000092628
