cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574373176.6357,1574373178.75476,0,0,-5,-0.0083286,0.000001517,-0.0052026,0.000002608,-0.1376442,0.000008758
1,1574373184.07939,1574373185.74416,0,0,-5.5,-0.0110758,0.000001483,-0.0060044,0.000003209,-0.1231044,0.000015437
2,1574373191.88343,1574373193.55213,0,0,-6,-0.0141714,0.00000251,-0.0063748,0.000001483,-0.1089858,0.000003033
3,1574373199.18802,1574373200.85559,0,0,-6.5,-0.0167038,0.000002049,-0.0062228,0.00000295,-0.1002226,0.000002408
4,1574373207.08868,1574373208.75598,0,0,-7,-0.0183928,0.000002864,-0.0057604,0.000001817,-0.0965276,0.000006107
5,1574373214.63684,1574373216.3042,0,0,-7.5,-0.020068,0.000001,-0.0046856,0.000001673,-0.0957028,0.000004764
6,1574373222.80864,1574373224.47388,0,0,-8,-0.0212752,0.000001789,-0.0032412,0.000002864,-0.0975684,0.000017994
7,1574373229.32422,1574373230.99058,0,0,-8.5,-0.0229148,0.000001483,-0.0004816,0.000000548,-0.1022154,0.000001517
8,1574373237.57686,1574373239.24266,0,0,-9,-0.0246806,0.000000548,0.002862,0.000002121,-0.1075836,0.000007503
9,1574373244.75502,1574373246.42163,0,0,-9.5,-0.0273138,0.000000837,0.0088434,0.00000251,-0.1144052,0.00000743
10,1574373253.97982,1574373255.64562,0,0,-10,-0.0295286,0.000002302,0.0209768,0.000001304,-0.1173984,0.000001342
11,1574373261.34852,1574373263.01476,0,0,-10.5,-0.0289348,0.000000837,0.0384836,0.000004037,-0.1036816,0.000006693
12,1574373269.46808,1574373271.13578,0,0,-11,-0.026617,0.000001581,0.062647,0.000002121,-0.0734992,0.000002588
13,1574373275.46831,1574373277.13599,0,0,-11.5,-0.0242654,0.00000114,0.0677212,0.00000249,-0.0568418,0.000005933
14,1574373283.05779,1574373284.72509,0,0,-12,-0.022209,0.000002236,0.0488156,0.00000305,-0.0551196,0.000003362
15,1574373290.15455,1574373291.82237,0,0,-12.5,-0.0205304,0.000001517,0.0310752,0.00000249,-0.0578978,0.000005848
16,1574373297.92813,1574373299.5951,0,0,-13,-0.0189982,0.000002683,0.0212894,0.000002302,-0.0595502,0.000003899
17,1574373304.35426,1574373306.02137,0,0,-13.5,-0.01713,0.000001414,0.0148488,0.000003033,-0.0589892,0.000006221
18,1574373312.87814,1574373314.54351,0,0,-14,-0.0153178,0.000002775,0.0104804,0.000002702,-0.055503,0.000006325
19,1574373320.04954,1574373321.71546,0,0,-14.5,-0.0138268,0.000000837,0.0070218,0.000000837,-0.050893,0.000003808
20,1574373327.66812,1574373329.33444,0,0,-15,-0.0101406,0.000001517,-0.0011682,0.000001643,-0.0454194,0.000008204
21,1574373334.77258,1574373336.43975,0,0,-15.5,-0.005698,0.000001581,-0.0139946,0.000001817,-0.051214,0.000005958
22,1574373343.0752,1574373344.7416,0,0,-16,-0.0020296,0.000003975,-0.035094,0.000006403,-0.0753038,0.000008585
23,1574373351.65716,1574373353.3226,0,0,-16.5,-0.0000738,0.00000295,-0.0544146,0.00000114,-0.1019598,0.00001318
24,1574373362.13719,1574373363.80487,0,0,-17,0.0009724,0.00000251,-0.0479704,0.000001517,-0.107769,0.000003391
25,1574373371.02125,1574373372.6887,0,0,-17.5,0.0016606,0.00000114,-0.0284734,0.00000114,-0.1036424,0.000004879
26,1574373378.95594,1574373380.62274,0,0,-18,0.0021546,0.000000548,-0.0119626,0.000001673,-0.0977076,0.000005413
27,1574373389.49584,1574373391.1614,0,0,-18.5,0.0024276,0.00000114,-0.0014344,0.000004722,-0.0930186,0.000007503
29,1574373406.70604,1574373408.37118,0,0,-19,0.0024264,0.00000305,0.0029972,0.000001643,-0.0916062,0.000006723
30,1574373417.43944,1574373419.1059,0,0,-19.5,0.0022042,0.000002588,0.0055612,0.000003633,-0.0935134,0.000016103
31,1574373426.96247,1574373428.62969,0,0,-20,0.001837,0.000003937,0.0063746,0.000001949,-0.0985896,0.000024755
32,1574373435.56644,1574373437.23306,0,0,-20.5,0.0013364,0.000005683,0.006476,0.000001581,-0.1066462,0.000005263
33,1574373443.4188,1574373445.08383,0,0,-21,0.0002346,0.000000548,0.0060034,0.000001342,-0.125235,0.000003
34,1574373450.44028,1574373452.10722,0,0,-21.5,-0.001042,0.000017234,0.0054218,0.000001789,-0.1455032,0.000003564
35,1574373459.1907,1574373460.85864,0,0,-22,-0.003639,0.000013675,0.0045782,0.000002168,-0.1821128,0.000030882
36,1574373465.95615,1574373468.06075,0,0,-22.5,-0.0074072,0.000007981,0.0037266,0.000001517,-0.23109,0
37,1574373475.72308,1574373477.38949,0,0,-23,-0.01471,0.00003386,0.0026716,0.000002302,-0.319424,0.000005477
38,1574373483.92938,1574373485.59649,0,0,-23.5,-0.0209548,0.000056923,0.00219,0.000003162,-0.392456,0.0000251
39,1574373495.56501,1574373497.23162,0,0,-24,-0.0306348,0.00001348,0.002207,0.000001581,-0.502896,0.000005477
