cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574373616.89352,1574373619.0134,0,0,-5,-0.007497,0.000002,-0.006002,0.000004,-0.1379794,0.000023985
1,1574373625.65045,1574373627.31837,0,0,-5.5,-0.0107804,0.000001817,-0.007024,0.000001414,-0.1192816,0.000006693
2,1574373634.06381,1574373635.73067,0,0,-6,-0.0140724,0.000002074,-0.0075292,0.000001304,-0.1029724,0.000008562
3,1574373641.17321,1574373642.84044,0,0,-6.5,-0.0163314,0.000001817,-0.00757,0.000002121,-0.093463,0.000003937
4,1574373649.23308,1574373650.90094,0,0,-7,-0.0184418,0.000002168,-0.0073048,0.000002049,-0.0863306,0.000010455
5,1574373656.6528,1574373658.32006,0,0,-7.5,-0.0199452,0.000001304,-0.006906,0.000001414,-0.0824644,0.000005177
7,1574373674.74349,1574373676.41031,0,0,-8,-0.0212728,0.000001304,-0.006434,0.000001871,-0.0799936,0.000002793
8,1574373720.23944,1574373721.90546,0,0,-8.5,-0.022751,0.000001871,-0.0060116,0.000002302,-0.0779882,0.000012931
9,1574373728.13537,1574373729.80166,0,0,-9,-0.0250434,0.00000114,-0.0058114,0.00000114,-0.0756656,0.000005505
10,1574373735.08173,1574373736.74874,0,0,-9.5,-0.0290578,0.000002683,-0.0064312,0.000001643,-0.0727904,0.000003715
11,1574373746.39245,1574373748.06008,0,0,-10,-0.0346916,0.000001949,-0.0094694,0.00000114,-0.0717282,0.000003633
12,1574373758.16847,1574373759.83599,0,0,-10.5,-0.0373604,0.000001673,-0.0161568,0.000000837,-0.0794294,0.00000313
13,1574373771.55435,1574373773.21888,0,0,-11,-0.0364152,0.000007259,-0.0250836,0.00000251,-0.0939622,0.000019588
14,1574373781.98826,1574373783.65479,0,0,-11.5,-0.033698,0.000001,-0.0272496,0.000002074,-0.1039674,0.000004336
15,1574373795.73137,1574373797.39781,0,0,-12,-0.0307646,0.00000305,-0.017499,0.000002345,-0.1062928,0.000011584
16,1574373811.86608,1574373813.53288,0,0,-12.5,-0.028613,0.000000707,-0.0049372,0.000001304,-0.1039266,0.000002702
17,1574373827.19102,1574373828.85756,0,0,-13,-0.0276562,0.000002168,0.002018,0.000001225,-0.1015778,0.000003114
18,1574373842.69372,1574373844.35991,0,0,-13.5,-0.0270406,0.000000894,0.0074902,0.00000249,-0.0989008,0.000006221
19,1574373851.84649,1574373853.51444,0,0,-14,-0.0271742,0.000001304,0.0111822,0.000001924,-0.0963018,0.000006943
20,1574373861.90454,1574373863.57076,0,0,-14.5,-0.027648,0.000002915,0.01421,0.000002345,-0.0938716,0.00000251
21,1574373873.07346,1574373874.74119,0,0,-15,-0.0276696,0.000006387,0.017221,0.000003391,-0.0911212,0.000044201
22,1574373883.6603,1574373885.32733,0,0,-15.5,-0.025456,0.000003742,0.0199588,0.000003114,-0.0879486,0.000021326
23,1574373894.99229,1574373896.65992,0,0,-16,-0.0192506,0.00000251,0.0241876,0.000001342,-0.080749,0.00002094
24,1574373904.25755,1574373905.92338,0,0,-16.5,-0.011274,0.000004743,0.0286226,0.000001817,-0.0711206,0.000027208
25,1574373915.5437,1574373917.21046,0,0,-17,-0.0060594,0.000006189,0.0265432,0.00000249,-0.0680516,0.000023394
26,1574373923.51403,1574373925.17994,0,0,-17.5,-0.0026822,0.00000295,0.0199436,0.000002074,-0.069147,0.000003742
27,1574373932.56569,1574373934.23157,0,0,-18,-0.0007556,0.00000305,0.0152466,0.000001517,-0.071125,0.000021378
28,1574373945.7364,1574373947.40289,0,0,-18.5,0.000599,0.000005244,0.0121674,0.000005225,-0.0742262,0.000064682
29,1574373960.35651,1574373962.02313,0,0,-19,0.0012628,0.000006221,0.0103798,0.000001304,-0.0784902,0.000019176
30,1574373969.38615,1574373971.05339,0,0,-19.5,0.0013736,0.000005727,0.009467,0.000001581,-0.0833194,0.000029905
31,1574373981.68981,1574373983.35558,0,0,-20,0.0012198,0.000001643,0.0086052,0.00000228,-0.0905724,0.000027862
32,1574373993.19842,1574373994.86514,0,0,-20.5,0.0008104,0.000008173,0.007707,0.000002236,-0.1009846,0.000036787
33,1574374003.80271,1574374005.46857,0,0,-21,-0.000026,0.000008276,0.006688,0.000004,-0.1175244,0.000042418
34,1574374015.25235,1574374016.91885,0,0,-21.5,-0.0013818,0.000010426,0.0057086,0.000002191,-0.1404188,0.000039796
35,1574374024.79026,1574374026.45818,0,0,-22,-0.0033654,0.000007893,0.0048236,0.00000114,-0.1693398,0.000033342
36,1574374031.92068,1574374034.02638,0,0,-22.5,-0.0074662,0.00000955,0.0037218,0.000001304,-0.222514,0.000026077
37,1574374042.17154,1574374043.84004,0,0,-23,-0.0129572,0.000014167,0.0027918,0.000002168,-0.288434,0.000051284
38,1574374050.23764,1574374051.90381,0,0,-23.5,-0.0194594,0.000025511,0.0021196,0.000001517,-0.362906,0.000067305
39,1574374073.88055,1574374075.54678,0,0,-24,-0.0328244,0.000022579,0.0019836,0.000002074,-0.51147,0.00001
