cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574378465.58886,1574378467.7085,0,0,-5,-0.007222,0.000002739,-0.0049444,0.000000894,-0.1421756,0.000004219
1,1574378472.5808,1574378474.24695,0,0,-5.5,-0.0106786,0.000004336,-0.00591,0.000005292,-0.1233864,0.00003008
2,1574378483.1084,1574378484.77431,0,0,-6,-0.0134156,0.000002074,-0.0062292,0.000002775,-0.1106792,0.000015547
3,1574378488.73331,1574378490.40002,0,0,-6.5,-0.0160978,0.000001304,-0.006029,0.000000707,-0.1008962,0.000006017
4,1574378495.12508,1574378496.79244,0,0,-7,-0.0172774,0.000001517,-0.0056628,0.000001924,-0.0980018,0.000002775
5,1574378501.10053,1574378502.76797,0,0,-7.5,-0.0186116,0.000001817,-0.0046058,0.000003421,-0.0967416,0.00001563
6,1574378509.71609,1574378511.38414,0,0,-8,-0.0193668,0.000000447,-0.0027826,0.000000894,-0.0989264,0.000003507
7,1574378518.51697,1574378520.18501,0,0,-8.5,-0.019716,0.000003536,-0.000233,0.000002121,-0.1030692,0.000023942
8,1574378527.07684,1574378528.74198,0,0,-9,-0.0198534,0.000001673,0.0041518,0.000001483,-0.1096048,0.000004764
9,1574378533.78082,1574378535.44788,0,0,-9.5,-0.0195252,0.00000295,0.010589,0.000003536,-0.1159046,0.000013813
10,1574378541.94069,1574378543.60826,0,0,-10,-0.0184216,0.000001517,0.0194112,0.000001924,-0.1181094,0.00000114
11,1574378549.32551,1574378550.99262,0,0,-10.5,-0.0169604,0.000008792,0.0389328,0.000019435,-0.1033444,0.000051447
12,1574378800.82852,1574378802.49534,0,0,-11,-0.0169314,0.000002302,0.0392308,0.000001483,-0.1031994,0.000010574
13,1574378809.1806,1574378810.84679,0,0,-11.5,-0.01706,0.000001,0.0717038,0.000001643,-0.0518448,0.000007396
14,1574378817.24437,1574378818.91133,0,0,-12,-0.0170668,0.000006686,0.071742,0.000056147,-0.051618,0.000285654
15,1574378919.78878,1574378921.45437,0,0,-12.5,-0.0186972,0.000001095,0.0277244,0.000001673,-0.033318,0.000005831
16,1574378927.30108,1574378928.96892,0,0,-13,-0.0174426,0.00000114,0.0107926,0.000001517,-0.0335946,0.000003975
17,1574378935.61236,1574378937.27798,0,0,-13.5,-0.0095718,0.000001483,-0.00757,0.000002646,-0.0364658,0.00000228
18,1574378944.43649,1574378946.10276,0,0,-14,0.0080788,0.000001483,-0.0284358,0.000001789,-0.0532112,0.000003768
19,1574378951.1887,1574378952.85641,0,0,-14.5,0.0247374,0.000002302,-0.0536006,0.00000532,-0.0918254,0.000010015
20,1574378958.07619,1574378959.74385,0,0,-15,0.032679,0.000000707,-0.0717046,0.00000114,-0.1334414,0.000007956
21,1574378966.1804,1574378967.84725,0,0,-15.5,0.0308896,0.000067456,-0.051833,0.000035637,-0.1430268,0.000371787
22,1574378974.38823,1574378976.05474,0,0,-16,0.0232864,0.000003362,-0.0092312,0.000009445,-0.1219288,0.000011649
23,1574378981.21998,1574378982.88715,0,0,-16.5,0.0156636,0.000001817,0.0306932,0.000005848,-0.0897928,0.000002387
24,1574378997.07591,1574378998.74393,0,0,-17,0.0100772,0.000001304,0.0436924,0.00000114,-0.072088,0.000005385
25,1574379006.65185,1574379008.31785,0,0,-17.5,0.007483,0.000001225,0.0327422,0.000001924,-0.0703518,0.000003114
26,1574379024.66044,1574379026.3264,0,0,-18,0.0058284,0.00000114,0.0215958,0.000001304,-0.0718102,0.000010521
27,1574379032.6679,1574379034.3358,0,0,-18.5,0.0048284,0.000000894,0.0155422,0.000014061,-0.0741324,0.000072241
28,1574379041.74056,1574379043.40638,0,0,-19,0.0041336,0.000001817,0.0123522,0.000007259,-0.0772884,0.000031166
29,1574379048.33244,1574379049.99834,0,0,-19.5,0.0035874,0.000000548,0.0105662,0.000001789,-0.0826904,0.000015274
30,1574379057.14056,1574379058.80739,0,0,-20,0.0032076,0.000000894,0.009583,0.000001871,-0.0888622,0.000010941
31,1574379063.96411,1574379065.63011,0,0,-20.5,0.002746,0.000002,0.0085184,0.000000894,-0.0996116,0.000006768
32,1574379072.52457,1574379074.18988,0,0,-21,0.0021474,0.000000548,0.0074436,0.000001673,-0.1161896,0.00000498
33,1574379079.96406,1574379081.63038,0,0,-21.5,0.001157,0.000002915,0.0064048,0.000001304,-0.1411394,0.000003209
34,1574379092.3008,1574379093.96809,0,0,-22,-0.0003426,0.000003209,0.005424,0.00000255,-0.1746016,0.000012621
35,1574379098.34782,1574379100.45403,0,0,-22.5,-0.0022308,0.000001924,0.0046482,0.000003701,-0.211642,0.000004472
36,1574379107.09279,1574379108.75966,0,0,-23,-0.0060688,0.000001924,0.00363,0.000002236,-0.279626,0.000027019
37,1574379112.75594,1574379114.42381,0,0,-23.5,-0.0115536,0.000003847,0.0028452,0.000001789,-0.369392,0.000022804
38,1574379120.35651,1574379122.02297,0,0,-24,-0.018052,0.000006481,0.0027022,0.000005805,-0.47056,0.000007071
