cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574379330.34799,1574379332.46783,0,0,-5,-0.0095284,0.000004722,-0.0053586,0.000001817,-0.1282076,0.000055532
1,1574379336.69205,1574379338.35907,0,0,-5.5,-0.0122086,0.000006804,-0.00578,0.000002236,-0.1132952,0.000042252
2,1574379344.25203,1574379345.92018,0,0,-6,-0.0144908,0.000002775,-0.0058524,0.000002074,-0.1019032,0.00001006
3,1574379349.68427,1574379351.35016,0,0,-6.5,-0.0166522,0.000003033,-0.0056794,0.000001517,-0.0925876,0.000008735
4,1574379357.53273,1574379359.1996,0,0,-7,-0.0185218,0.000001095,-0.0052758,0.000002387,-0.0858962,0.000003834
5,1574379363.1244,1574379364.79173,0,0,-7.5,-0.0197382,0.000001924,-0.0048136,0.000001342,-0.0823372,0.000006686
6,1574379370.65223,1574379372.31909,0,0,-7.8,-0.0208608,0.00000228,-0.0042354,0.000000548,-0.0797286,0.000010164
7,1574379421.58788,1574379423.25538,0,0,-8.5,-0.0222538,0.000001304,-0.0036606,0.000003209,-0.0773,0.000006245
8,1574379428.556,1574379430.22396,0,0,-9,-0.0249428,0.000002775,-0.0034292,0.000006496,-0.073248,0.000052953
9,1574379434.20451,1574379435.87311,0,0,-9.5,-0.0295452,0.000002387,-0.0042714,0.000001517,-0.0671534,0.000006269
10,1574379442.29245,1574379443.9589,0,0,-10,-0.0351408,0.000003899,-0.0073556,0.00000114,-0.059892,0.000003391
11,1574379449.76417,1574379451.43123,0,0,-10.5,-0.0395082,0.000019842,-0.0145922,0.000007855,-0.0555654,0.000025793
12,1574379457.50027,1574379459.16805,0,0,-11.5,-0.0434666,0.000007232,-0.0325326,0.000005727,-0.0612342,0.000008438
13,1574379465.54879,1574379467.21639,0,0,-11.5,-0.04651,0.000002,-0.050863,0.000005148,-0.0718558,0.000010232
14,1574379502.2198,1574379503.88685,0,0,-12,-0.0499238,0.000003033,-0.0630562,0.00000455,-0.084069,0.000003082
15,1574379510.51686,1574379512.18296,0,0,-12.5,-0.0524132,0.000002775,-0.0612488,0.00000638,-0.0908616,0.000006348
16,1574379520.77991,1574379522.44681,0,0,-13,-0.0542036,0.000002074,-0.0542296,0.000004669,-0.0936402,0.00000497
17,1574379526.39654,1574379528.06343,0,0,-13.5,-0.055896,0.000000707,-0.04499,0.000007969,-0.0940234,0.000004219
18,1574379534.79592,1574379536.46321,0,0,-14,-0.0572,0.000001414,-0.0343318,0.000002775,-0.0922944,0.000001517
19,1574379540.57249,1574379542.23823,0,0,-14.5,-0.0570994,0.000003507,-0.0282932,0.000008871,-0.091199,0.000012083
20,1574379549.25195,1574379550.91983,0,0,-15,-0.0544718,0.000001304,-0.0227272,0.000006686,-0.090482,0.000002
21,1574379555.63615,1574379557.30264,0,0,-15.5,-0.0462884,0.00000305,-0.0186898,0.000002387,-0.0902802,0.00000507
22,1574379564.42042,1574379566.08726,0,0,-16,-0.0338354,0.000002191,-0.0161208,0.000001304,-0.091458,0.000001732
23,1574379571.61186,1574379573.27906,0,0,-16.5,-0.0205332,0.000002864,-0.0143192,0.000006797,-0.0932614,0.000008019
24,1574379583.16424,1574379584.83062,0,0,-17,-0.0066542,0.000001304,-0.0039254,0.000006693,-0.0882386,0.000001517
25,1574379591.69234,1574379593.35915,0,0,-17.5,-0.0046978,0.000001095,-0.0009502,0.000003271,-0.0864944,0.000005595
26,1574379600.66029,1574379602.32618,0,0,-18,-0.002377,0.000001581,0.002723,0.000001581,-0.0842604,0.000006914
27,1574379606.56458,1574379608.23209,0,0,-18.5,-0.0005672,0.000001643,0.0054758,0.000000837,-0.0827406,0.000008849
28,1574379615.36402,1574379617.03127,0,0,-19,0.0004582,0.000001643,0.006936,0.000001225,-0.0829358,0.000005718
29,1574379621.2449,1574379622.91091,0,0,-19.5,0.0010396,0.00000305,0.0076706,0.000002702,-0.0859232,0.000003834
30,1574379631.88435,1574379633.55182,0,0,-20,0.0010946,0.00000493,0.007598,0.000000707,-0.0932342,0.000009524
31,1574379638.12429,1574379639.79119,0,0,-20.5,0.0008576,0.000004393,0.0071566,0.000003362,-0.1023226,0.000002074
32,1574379646.58875,1574379648.25545,0,0,-21,0.00026,0.000007348,0.0064094,0.000002608,-0.1182304,0.000014328
33,1574379653.87596,1574379655.54325,0,0,-21.5,-0.0010322,0.000004604,0.0053828,0.000002168,-0.1447772,0.000001095
34,1574379664.02021,1574379665.68715,0,0,-22,-0.0027366,0.000003647,0.0045276,0.000001673,-0.1741504,0.000005367
35,1574379672.94794,1574379675.05391,0,0,-22.5,-0.0057344,0.000014484,0.0035066,0.000002302,-0.220216,0.000035777
36,1574379681.88384,1574379683.55207,0,0,-23,-0.0101674,0.000007668,0.0024964,0.000001817,-0.28161,0
37,1574379688.70822,1574379690.37595,0,0,-23.5,-0.0163934,0.000024521,0.001601,0.000001414,-0.36401,0.000044721
38,1574379696.38892,1574379698.05597,0,0,-24,-0.0292094,0.000024735,0.0013904,0.000003847,-0.527338,0.000008367
