cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574449336.24904,1574449338.36926,0,0,-5,-0.0145698,0.000000837,0.0021558,0.000003564,-0.1348108,0.000008349
1,1574449351.69577,1574449353.36339,0,0,-5.5,-0.0169362,0.000001643,0.000133,0.000003742,-0.1134378,0.000005848
2,1574449362.11703,1574449363.78437,0,0,-6,-0.0188976,0.000003975,-0.0011396,0.000002302,-0.096585,0.000017706
3,1574449369.94386,1574449371.60981,0,0,-6.5,-0.0202528,0.000008871,-0.001857,0.000006285,-0.0846828,0.000095925
4,1574449377.61603,1574449379.28271,0,0,-7,-0.02093,0.000005148,-0.0022668,0.00000228,-0.0767734,0.000041113
5,1574449385.25705,1574449386.92264,0,0,-7.5,-0.0209956,0.000001517,-0.0026254,0.000002881,-0.0701046,0.000012137
6,1574449393.10554,1574449394.77144,0,0,-8,-0.0204294,0.000001517,-0.0030996,0.000001517,-0.0646068,0.000004266
7,1574449401.19579,1574449402.86319,0,0,-8.5,-0.0192348,0.000001924,-0.0040648,0.000001789,-0.058492,0.000007382
8,1574449409.03437,1574449410.7025,0,0,-9,-0.0173192,0.000001095,-0.0063286,0.000001817,-0.0506984,0.000007668
9,1574449416.65833,1574449418.32654,0,0,-9.5,-0.0149248,0.000001483,-0.011182,0.000001581,-0.0426234,0.000006542
10,1574449423.77391,1574449425.44234,0,0,-10,-0.0122272,0.000003194,-0.0227502,0.000000837,-0.040464,0.000005788
11,1574449433.56738,1574449435.23239,0,0,-10.5,-0.0100108,0.000001304,-0.0459264,0.000001949,-0.065089,0.000009566
12,1574449443.06304,1574449444.73022,0,0,-11,-0.0084632,0.000000837,-0.0748374,0.000008385,-0.1074848,0.000032399
13,1574449456.08385,1574449457.75178,0,0,-11.5,-0.0076122,0.000001095,-0.0744664,0.000001817,-0.1265298,0.000002775
14,1574449465.10941,1574449466.77612,0,0,-12,-0.0072216,0.00000114,-0.0436666,0.000003362,-0.1259434,0.000012219
15,1574449473.39657,1574449475.0637,0,0,-12.5,-0.0069858,0.000000837,-0.0183702,0.00001359,-0.1203792,0.000006648
16,1574449480.39989,1574449482.06775,0,0,-13,-0.0065366,0.000001517,-0.0036528,0.000001789,-0.1158274,0.00000862
17,1574449487.49196,1574449489.15867,0,0,-13.5,-0.0057146,0.000001517,0.0047606,0.000001342,-0.113463,0.000007714
18,1574449495.74145,1574449497.40808,0,0,-14,-0.004829,0.000001871,0.0106214,0.000002191,-0.1134146,0.000015662
19,1574449506.37121,1574449508.03867,0,0,-14.5,-0.00413,0.000001581,0.016603,0.000002345,-0.1153158,0.000003271
20,1574449513.13061,1574449514.79527,0,0,-15,-0.0033484,0.000001817,0.0244766,0.000002302,-0.1166118,0.000008786
21,1574449520.20751,1574449521.87565,0,0,-15.5,-0.0023366,0.000001517,0.0393232,0.000046762,-0.1079726,0.000033201
22,1574449527.73275,1574449529.40044,0,0,-16,-0.0014206,0.000000894,0.0627814,0.000001673,-0.0782056,0.000016303
23,1574449539.43756,1574449541.10358,0,0,-16.5,-0.0006184,0.00000114,0.0870796,0.000000894,-0.0414542,0.000009257
24,1574449546.17477,1574449547.84204,0,0,-17,-0.0000186,0.000002408,0.0828058,0.000001643,-0.029696,0.000004472
25,1574449548.26315,1574449549.93113,0,0,-17,-0.0000202,0.000002387,0.0828066,0.000001817,-0.0297068,0.00001006
26,1574449559.85813,1574449561.52567,0,0,-17.5,0.0004462,0.000000447,0.0543134,0.000002302,-0.0345422,0.000007396
27,1574449569.63918,1574449571.30472,0,0,-18,0.0007438,0.000001789,0.033251,0.000011,-0.0426076,0.000004037
28,1574449577.39189,1574449579.05898,0,0,-18.5,0.0008506,0.000004159,0.0220344,0.000001342,-0.0497762,0.000016438
29,1574449584.58428,1574449586.2511,0,0,-19,0.000775,0.000001,0.0157306,0.000001517,-0.0566822,0.000032561
30,1574449592.87444,1574449594.541,0,0,-19.5,0.0005644,0.000001949,0.0123864,0.000002302,-0.0633314,0.000004669
31,1574449599.54448,1574449601.21074,0,0,-20,0.0001954,0.000001817,0.0099688,0.000004494,-0.0718494,0.00001031
32,1574449606.21793,1574449607.88523,0,0,-20.5,-0.0002944,0.000001817,0.0081048,0.000002387,-0.0830342,0.000011967
33,1574449613.83757,1574449615.50395,0,0,-21,-0.0010684,0.000005128,0.006361,0.00000255,-0.099945,0.000018303
34,1574449620.89712,1574449622.56255,0,0,-21.5,-0.0022436,0.000000894,0.0049464,0.000001817,-0.1213284,0.000010761
35,1574449627.35233,1574449629.01901,0,0,-22,-0.0042032,0.000004147,0.0035782,0.000003564,-0.1515556,0.000009915
36,1574449634.41974,1574449636.08696,0,0,-22.5,-0.0074934,0.000008355,0.0022096,0.00000445,-0.1947612,0.000033544
37,1574449636.50832,1574449638.61377,0,0,-22.5,-0.0089958,0.002082292,0.0017802,0.00056549,-0.2161856,0.027609725
38,1574449666.01375,1574449667.68057,0,0,-23,-0.0128064,0.000019334,0.0008046,0.000003847,-0.255696,0.000067305
39,1574449674.38217,1574449676.04874,0,0,-23.5,-0.0199332,0.000007662,-0.000352,0.000003808,-0.32974,0.000029155
40,1574449681.34538,1574449683.0136,0,0,-24,-0.031102,0.000015215,-0.0010972,0.000003194,-0.436082,0.000016432
