cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574449336,1574449338,0,0,-5,-0.0145698,0.000000837,0.0021558,0.000003564,-0.1348108,0.000008349
1,1574449352,1574449353,0,0,-5.5,-0.0169362,0.000001643,0.000133,0.000003742,-0.1134378,0.000005848
2,1574449362,1574449364,0,0,-6,-0.0188976,0.000003975,-0.0011396,0.000002302,-0.096585,0.000017706
3,1574449370,1574449372,0,0,-6.5,-0.0202528,0.000008871,-0.001857,0.000006285,-0.0846828,0.000095925
4,1574449378,1574449379,0,0,-7,-0.02093,0.000005148,-0.0022668,0.00000228,-0.0767734,0.000041113
5,1574449385,1574449387,0,0,-7.5,-0.0209956,0.000001517,-0.0026254,0.000002881,-0.0701046,0.000012137
6,1574449393,1574449395,0,0,-8,-0.0204294,0.000001517,-0.0030996,0.000001517,-0.0646068,0.000004266
7,1574449401,1574449403,0,0,-8.5,-0.0192348,0.000001924,-0.0040648,0.000001789,-0.058492,0.000007382
8,1574449409,1574449411,0,0,-9,-0.0173192,0.000001095,-0.0063286,0.000001817,-0.0506984,0.000007668
9,1574449417,1574449418,0,0,-9.5,-0.0149248,0.000001483,-0.011182,0.000001581,-0.0426234,0.000006542
10,1574449424,1574449425,0,0,-10,-0.0122272,0.000003194,-0.0227502,0.000000837,-0.040464,0.000005788
11,1574449434,1574449435,0,0,-10.5,-0.0100108,0.000001304,-0.0459264,0.000001949,-0.065089,0.000009566
12,1574449443,1574449445,0,0,-11,-0.0084632,0.000000837,-0.0748374,0.000008385,-0.1074848,0.000032399
13,1574449456,1574449458,0,0,-11.5,-0.0076122,0.000001095,-0.0744664,0.000001817,-0.1265298,0.000002775
14,1574449465,1574449467,0,0,-12,-0.0072216,0.00000114,-0.0436666,0.000003362,-0.1259434,0.000012219
15,1574449473,1574449475,0,0,-12.5,-0.0069858,0.000000837,-0.0183702,0.00001359,-0.1203792,0.000006648
16,1574449480,1574449482,0,0,-13,-0.0065366,0.000001517,-0.0036528,0.000001789,-0.1158274,0.00000862
17,1574449487,1574449489,0,0,-13.5,-0.0057146,0.000001517,0.0047606,0.000001342,-0.113463,0.000007714
18,1574449496,1574449497,0,0,-14,-0.004829,0.000001871,0.0106214,0.000002191,-0.1134146,0.000015662
19,1574449506,1574449508,0,0,-14.5,-0.00413,0.000001581,0.016603,0.000002345,-0.1153158,0.000003271
20,1574449513,1574449515,0,0,-15,-0.0033484,0.000001817,0.0244766,0.000002302,-0.1166118,0.000008786
21,1574449520,1574449522,0,0,-15.5,-0.0023366,0.000001517,0.0393232,0.000046762,-0.1079726,0.000033201
22,1574449528,1574449529,0,0,-16,-0.0014206,0.000000894,0.0627814,0.000001673,-0.0782056,0.000016303
23,1574449539,1574449541,0,0,-16.5,-0.0006184,0.00000114,0.0870796,0.000000894,-0.0414542,0.000009257
24,1574449546,1574449548,0,0,-17,-0.0000186,0.000002408,0.0828058,0.000001643,-0.029696,0.000004472
26,1574449560,1574449562,0,0,-17.5,0.0004462,0.000000447,0.0543134,0.000002302,-0.0345422,0.000007396
27,1574449570,1574449571,0,0,-18,0.0007438,0.000001789,0.033251,0.000011,-0.0426076,0.000004037
28,1574449577,1574449579,0,0,-18.5,0.0008506,0.000004159,0.0220344,0.000001342,-0.0497762,0.000016438
29,1574449585,1574449586,0,0,-19,0.000775,0.000001,0.0157306,0.000001517,-0.0566822,0.000032561
30,1574449593,1574449595,0,0,-19.5,0.0005644,0.000001949,0.0123864,0.000002302,-0.0633314,0.000004669
31,1574449600,1574449601,0,0,-20,0.0001954,0.000001817,0.0099688,0.000004494,-0.0718494,0.00001031
32,1574449606,1574449608,0,0,-20.5,-0.0002944,0.000001817,0.0081048,0.000002387,-0.0830342,0.000011967
33,1574449614,1574449616,0,0,-21,-0.0010684,0.000005128,0.006361,0.00000255,-0.099945,0.000018303
34,1574449621,1574449623,0,0,-21.5,-0.0022436,0.000000894,0.0049464,0.000001817,-0.1213284,0.000010761
35,1574449627,1574449629,0,0,-22,-0.0042032,0.000004147,0.0035782,0.000003564,-0.1515556,0.000009915
36,1574449634,1574449636,0,0,-22.5,-0.0074934,0.000008355,0.0022096,0.00000445,-0.1947612,0.000033544
38,1574449666,1574449668,0,0,-23,-0.0128064,0.000019334,0.0008046,0.000003847,-0.255696,0.000067305
39,1574449674,1574449676,0,0,-23.5,-0.0199332,0.000007662,-0.000352,0.000003808,-0.32974,0.000029155
40,1574449681,1574449683,0,0,-24,-0.031102,0.000015215,-0.0010972,0.000003194,-0.436082,0.000016432
