cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574450806.35469,1574450808.47458,0,0,-5,-0.0129548,0.000013065,0.001449,0.000009327,-0.1407226,0.000182177
1,1574450821.81926,1574450823.48786,0,0,-5.5,-0.0158022,0.000002168,0.0001268,0.000000837,-0.120046,0.000003162
2,1574450828.98434,1574450830.65183,0,0,-6,-0.0180504,0.00000114,-0.0004308,0.000001643,-0.106385,0.000004899
3,1574450836.07323,1574450837.74058,0,0,-6.5,-0.0201136,0.000004336,-0.0005902,0.000001095,-0.0964784,0.000020538
4,1574450843.33802,1574450845.00592,0,0,-7,-0.0217976,0.000006877,-0.000471,0.000002121,-0.0907522,0.000025665
5,1574450850.0217,1574450851.68938,0,0,-7.5,-0.0235516,0.000009813,-0.0001336,0.000001517,-0.0873564,0.000011675
6,1574450857.85371,1574450859.51992,0,0,-8,-0.025558,0.000012669,0.0003978,0.000003564,-0.08572,0.000012708
7,1574450864.44393,1574450866.1116,0,0,-8.5,-0.0285928,0.000023837,0.0010848,0.000003033,-0.0848494,0.000012402
8,1574450871.57329,1574450873.23893,0,0,-9,-0.0333958,0.00000712,0.001802,0.000001414,-0.084211,0.000009592
9,1574450878.27147,1574450879.93951,0,0,-9.5,-0.0406174,0.000001673,0.0022716,0.00000251,-0.0838724,0.000014223
10,1574450885.25939,1574450886.9265,0,0,-10,-0.0484274,0.000015742,0.0020786,0.000001949,-0.084504,0.000002449
11,1574450893.11605,1574450894.78174,0,0,-10.5,-0.0512128,0.000001483,0.0006344,0.00000503,-0.088112,0.000009165
12,1574450900.08072,1574450901.74909,0,0,-11,-0.0488264,0.000003362,-0.0009684,0.000001673,-0.0925562,0.000005263
13,1574450907.15974,1574450908.82743,0,0,-11.5,-0.0444776,0.000001673,0.0005438,0.00000563,-0.0945982,0.000018295
14,1574450913.71205,1574450915.37955,0,0,-12,-0.0402486,0.000001673,0.0041728,0.000001924,-0.0948996,0.000006841
15,1574450921.34472,1574450923.01196,0,0,-12.5,-0.0369458,0.000001483,0.0070916,0.00000251,-0.0942268,0.000008927
16,1574450927.42444,1574450929.0914,0,0,-13,-0.0349414,0.00000114,0.009075,0.000000707,-0.0931008,0.000008672
17,1574450934.42492,1574450936.09217,0,0,-13.5,-0.033822,0.000000707,0.0104072,0.000001304,-0.0920074,0.00000658
18,1574450942.64615,1574450944.31298,0,0,-14,-0.0338928,0.000001304,0.0110604,0.000002074,-0.0912028,0.000008167
19,1574450949.62934,1574450951.29758,0,0,-14.5,-0.034615,0.000002236,0.0117068,0.000000837,-0.0904696,0.000016072
20,1574450956.71771,1574450958.38414,0,0,-15,-0.0343044,0.000001949,0.0130094,0.000002881,-0.0893996,0.000005079
21,1574450964.29201,1574450965.95724,0,0,-15.5,-0.0300872,0.000001643,0.0151876,0.000001673,-0.0870048,0.000007294
22,1574450971.21713,1574450972.88503,0,0,-16,-0.0218918,0.000077283,0.0183952,0.000028709,-0.081917,0.00005636
23,1574450978.95189,1574450980.61978,0,0,-16.5,-0.0138186,0.00000114,0.0213248,0.00000228,-0.0765016,0.000004099
24,1574450986.57075,1574450988.23749,0,0,-17,-0.0080592,0.000001643,0.0204104,0.00000114,-0.0743786,0.00000555
25,1574450993.70795,1574450995.37543,0,0,-17.5,-0.0042594,0.000001342,0.0167608,0.000000837,-0.0745802,0.000002864
26,1574450999.91861,1574451001.58631,0,0,-18,-0.0018992,0.000000447,0.013956,0.000001414,-0.0755926,0.000008234
27,1574451006.66729,1574451008.33455,0,0,-18.5,-0.0006128,0.000002049,0.0125032,0.000001643,-0.0772624,0.000008678
28,1574451013.21773,1574451014.88504,0,0,-19,-0.000088,0.000001581,0.011736,0.000002828,-0.0797298,0.000016529
29,1574451019.71898,1574451021.38602,0,0,-19.5,0.0000498,0.000001095,0.011081,0.000005099,-0.083912,0.000012787
30,1574451028.38437,1574451030.0511,0,0,-20,-0.0000888,0.000001643,0.0103942,0.000001789,-0.090689,0.0000199
31,1574451038.0828,1574451039.75087,0,0,-20.5,-0.0004392,0.000002775,0.0096186,0.000000548,-0.1010712,0.00001509
32,1574451046.77308,1574451048.44056,0,0,-21,-0.0010004,0.000018716,0.0087302,0.000002864,-0.1158242,0.000061178
33,1574451053.86036,1574451055.52759,0,0,-21.5,-0.0019858,0.000003564,0.0077386,0.00000305,-0.1398946,0.000053088
34,1574451059.99792,1574451061.6651,0,0,-22,-0.0035372,0.000003271,0.0068368,0.00000249,-0.1705314,0.000027428
35,1574451066.49772,1574451068.60316,0,0,-22.5,-0.0063156,0.000008385,0.0058656,0.000004336,-0.217216,0.000065422
36,1574451073.85595,1574451075.52274,0,0,-23,-0.0099266,0.000002408,0.005093,0.000004301,-0.271052,0.000031937
37,1574451081.50885,1574451083.17622,0,0,-23.5,-0.0159142,0.000006834,0.004474,0.000002828,-0.35143,0.000058737
38,1574451089.23667,1574451090.90383,0,0,-24,-0.0258426,0.000023933,0.0048102,0.000170665,-0.469892,0.001759679
