cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574451675.00731,1574451677.12701,0,0,-5,-0.0130458,0.000003033,0.0018134,0.000002074,-0.1401068,0.000011498
1,1574451682.20745,1574451683.87473,0,0,-5.5,-0.0152938,0.000001643,0.0004688,0.000000447,-0.1216426,0.000012482
2,1574451687.90641,1574451689.57425,0,0,-6,-0.0173032,0.00000634,-0.0002542,0.000003114,-0.1068994,0.000056655
3,1574451693.24526,1574451694.91018,0,0,-6.5,-0.0187492,0.00000228,-0.0004956,0.000008414,-0.0972832,0.000024263
4,1574451699.45417,1574451701.12228,0,0,-7,-0.0197304,0.000000548,-0.000399,0.000000707,-0.0909236,0.000011283
5,1574451705.21355,1574451706.88178,0,0,-7.5,-0.0200736,0.000001517,-0.0000562,0.000001304,-0.087925,0.000019196
6,1574451711.17692,1574451712.84476,0,0,-8,-0.019951,0.000003606,0.000565,0.000002449,-0.086556,0.000017804
7,1574451716.71085,1574451718.37811,0,0,-8.5,-0.0193876,0.000002608,0.0015108,0.000000837,-0.0862138,0.000005119
8,1574451724.67133,1574451726.33908,0,0,-9,-0.0185934,0.000000894,0.0025434,0.00000114,-0.086438,0.000008155
9,1574451730.216,1574451731.88348,0,0,-9.5,-0.0174834,0.00000114,0.003807,0.000001225,-0.0868844,0.000006768
10,1574451735.9964,1574451737.66229,0,0,-10,-0.0161722,0.000002168,0.0051352,0.000000837,-0.0873518,0.000015643
11,1574451741.43103,1574451743.0979,0,0,-10.5,-0.0147136,0.000001673,0.0064306,0.000001517,-0.087732,0.000008602
12,1574451747.55808,1574451749.2244,0,0,-11,-0.0134768,0.000002588,0.0073638,0.000003768,-0.0879198,0.000004658
13,1574451753.22808,1574451754.89558,0,0,-11.5,-0.0120908,0.000001643,0.0082196,0.000001342,-0.087949,0.000034409
14,1574451759.35331,1574451761.02091,0,0,-12,-0.0108158,0.000000837,0.0087988,0.000001643,-0.0877346,0.000012075
15,1574451765.99716,1574451767.66314,0,0,-12.5,-0.0095372,0.000001304,0.0091478,0.00000295,-0.0873076,0.000015143
16,1574451771.85873,1574451773.52622,0,0,-13,-0.0082846,0.000001517,0.0092664,0.000002074,-0.0867466,0.000014117
17,1574451777.65279,1574451779.31977,0,0,-13.5,-0.007045,0.000001581,0.0092094,0.000001949,-0.0860278,0.000021371
18,1574451783.74239,1574451785.40825,0,0,-14,-0.005773,0.000001414,0.0090596,0.000000894,-0.085224,0.000017161
19,1574451790.67987,1574451792.34723,0,0,-14.5,-0.004545,0.000001871,0.0088904,0.000002608,-0.0842848,0.000017866
20,1574451797.14546,1574451798.81201,0,0,-15,-0.0032534,0.00000114,0.0087576,0.000001949,-0.083243,0.000006042
21,1574451803.10284,1574451804.76981,0,0,-15.5,-0.0020884,0.000002191,0.0087174,0.000001817,-0.0822396,0.000020379
22,1574451809.61331,1574451811.28103,0,0,-16,-0.0009812,0.000000837,0.0088072,0.000004817,-0.0811618,0.00001152
23,1574451816.15199,1574451817.81852,0,0,-16.5,-0.0001322,0.000001304,0.0090166,0.00000114,-0.0802634,0.000022434
24,1574451822.54305,1574451824.21124,0,0,-17,0.0006206,0.000000894,0.009387,0.00000255,-0.0793746,0.000031832
25,1574451829.04015,1574451830.70796,0,0,-17.5,0.0011752,0.000001643,0.0097918,0.000003633,-0.0787968,0.000018267
26,1574451835.30096,1574451836.96785,0,0,-18,0.0014952,0.000000447,0.010127,0.000003464,-0.0787024,0.000015372
27,1574451842.33635,1574451844.00353,0,0,-18.5,0.0015894,0.000002702,0.0103454,0.000003847,-0.0793338,0.000025004
28,1574451849.08021,1574451850.74565,0,0,-19,0.00147,0.000002449,0.0103582,0.000001095,-0.0812628,0.000030136
29,1574451855.81579,1574451857.48433,0,0,-19.5,0.0011206,0.000001517,0.0100888,0.000000447,-0.0856018,0.000010569
30,1574451861.7263,1574451863.39451,0,0,-20,0.0007396,0.000000894,0.0096694,0.000002302,-0.091222,0.00002126
31,1574451867.98554,1574451869.65366,0,0,-20.5,0.0001432,0.00000455,0.0089386,0.000004506,-0.1015044,0.000057068
32,1574451874.54674,1574451876.21341,0,0,-21,-0.000652,0.000006595,0.0080654,0.000002702,-0.116827,0.000016016
33,1574451881.00001,1574451882.66525,0,0,-21.5,-0.0017926,0.000001517,0.0071564,0.000004393,-0.137983,0.000018276
34,1574451886.44874,1574451888.11621,0,0,-22,-0.0037484,0.00000532,0.0061378,0.000001643,-0.1703832,0.000035815
35,1574451893.22753,1574451895.33413,0,0,-22.5,-0.0065948,0.000001643,0.0052282,0.00000507,-0.21179,0.000048477
36,1574451900.09707,1574451901.76521,0,0,-23,-0.0112858,0.000014446,0.0043418,0.000010616,-0.273092,0.000189921
37,1574451907.40907,1574451909.07571,0,0,-23.5,-0.0182482,0.000007887,0.003814,0.000051381,-0.354694,0.000547841
38,1574451913.81504,1574451915.48242,0,0,-24,-0.0287218,0.000005586,0.0037928,0.000004494,-0.469638,0.000194859
