cyc,times,time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1574106600.5704,1574106601.77424,0,0,0,-8.47866,0.022401853,3.33378,0.114583559,0.51,0
1,1574106612.6119,1574106613.81269,0,0,1,-10.39696,0.209945941,3.01608,0.047916719,0.534756,0.000054129
2,1574106621.81226,1574106623.01428,0,0,3,-8.00478,0.034218591,3.55932,0.083374528,0.570506,0.000016733
3,1574106630.5522,1574106631.75481,0,0,5,-7.3108,0.022870396,4.60134,0.063189105,0.601638,0.000013038
4,1574106645.55486,1574106646.75711,0,0,7,-6.51996,0.012867129,5.75712,0.036789496,0.629298,0.000034928
5,1574106654.54715,1574106655.74823,0,0,9,-5.2326,0.118316208,7.81672,0.119667506,0.652736,0.000011402
6,1574106664.3746,1574106665.57551,0,0,11,-4.49014,0.24817847,7.28158,0.024591503,0.671566,0.000034351
7,1574106673.26529,1574106674.46464,0,0,13,-2.85542,0.06370861,9.45308,0.017689036,0.68468,0.00001
8,1574106682.75078,1574106683.95309,0,0,15,-3.23672,0.011848713,8.37662,0.01371047,0.691234,0.000011402
9,1574106691.80247,1574106693.0051,0,0,17,-1.89124,0.075317681,8.19094,0.066145468,0.692946,0.000011402
10,1574106702.53609,1574106703.73654,0,0,19,-1.75942,0.151143366,7.40364,0.030924392,0.68991,0.000014142
11,1574106711.6333,1574106712.83652,0,0,21,-0.76792,0.00871992,5.7643,0.011222745,0.682954,0.000013416
12,1574106725.01802,1574106726.21966,0,0,23,-2.44422,0.030152728,1.60904,0.032112739,0.67359,0.000021213
13,1574107414.44414,1574107415.64366,-4.5,0,0,-57.0524,0.013011533,9.69522,0.046467698,0.521506,0.000019494
14,1574107426.00691,1574107427.20737,-4.5,0,1,-57.2474,0.004335897,8.02958,0.040251857,0.541726,0.000029665
15,1574107435.96163,1574107437.16493,-4.5,0,3,-54.1746,0.081885896,9.80766,0.275028722,0.577838,0.000164833
16,1574107456.08797,1574107457.29053,-4.5,0,5,-49.5774,0.015931102,9.7185,0.142690294,0.612708,0.000013038
17,1574107471.34216,1574107472.54452,-4.5,0,7,-38.7762,0.005215362,9.715,0.119070924,0.63929,0.00001
18,1574107484.73949,1574107485.94101,-4.5,0,9,-33.495,0.256381552,10.23302,0.982842527,0.663456,0.000026077
19,1574107494.57278,1574107495.77232,-4.5,0,11,-28.048,0.01776232,10.70404,0.023021251,0.682768,0.000019235
20,1574107504.80776,1574107506.00807,-4.5,0,13,-20.43006,0.003216053,10.8307,0.005538953,0.695584,0.000005477
21,1574107516.40643,1574107517.60879,-4.5,0,15,-13.41064,0.011498174,9.47488,0.049318881,0.701428,0.000020494
22,1574107527.05039,1574107528.25294,-4.5,0,17,-6.04964,0.001275931,9.31644,0.025595468,0.701988,0.000014832
23,1574107538.44504,1574107539.64693,-4.5,0,19,2.3698,1.0335886,8.68868,0.728658272,0.697288,0.000096799
24,1574107550.93193,1574107552.13311,-4.5,0,21,7.27336,0.004992294,6.9203,0.047961599,0.689164,0.000008944
25,1574107559.36548,1574107560.56689,-4.5,0,23,10.76894,0.003858497,6.98728,0.037245228,0.677576,0.000008944
26,1574107831.20123,1574107832.40365,-8.5,0,0,-100.5362,0.621487892,17.3799,0.627014394,0.52979,0.000047958
